country,region,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio
United Kingdom,,21157,44714,26707,105141,2020-04-10,981,2.3
Italy,,26977,43406,33146,66525,2020-03-27,919,2.3
France,,23327,38738,26955,86285,2020-04-15,1440,2.0
Brazil,,4603,35708,12789,86194,2020-04-23,425,1.2
Spain,,23521,32230,27402,44122,2020-04-02,961,2.6
Germany,,6126,19699,8491,43440,2020-04-15,510,1.4
Belgium,,7207,12370,8888,23169,2020-04-10,496,2.7
Canada,,2841,10481,4388,19312,2020-04-16,251,0.8
Netherlands,,4534,10443,5760,22785,2020-04-07,234,3.4
Iran,,5806,9781,7152,15155,2020-04-04,158,1.5
Sweden,,2274,7511,3976,15854,2020-04-21,185,1.2
Mexico,,1434,7051,2670,14747,2020-04-23,212,1.1
Turkey,,2900,6627,4088,14534,2020-04-22,133,1.4
Russia,,794,4195,1673,10176,2020-04-26,66,1.3
India,,939,3259,1366,7005,2020-04-24,59,0.7
Ireland,,1102,3029,1569,5767,2020-04-24,220,3.4
Portugal,,928,2982,1698,5854,2020-04-03,37,1.2
Switzerland,,1665,2711,2010,4708,2020-04-04,75,1.0
Romania,,641,2650,1380,5702,2020-04-25,34,1.0
Poland,,562,2575,875,6077,2020-04-24,40,1.3
Indonesia,,765,1790,992,3063,2020-04-14,60,1.2
Austria,,549,1063,726,2100,2020-04-08,30,2.9
Hungary,,280,1053,434,2976,2020-04-24,23,1.5
Finland,,193,1028,330,2499,2020-04-21,43,4.7
Philippines,,511,1020,621,1836,2020-04-12,50,1.6
Denmark,,427,766,561,1186,2020-04-04,22,3.0
Czechia,,223,460,347,616,2020-04-14,18,3.0
Norway,,205,416,288,829,2020-04-20,16,1.8
Croatia,,59,279,124,1013,2020-04-19,8,0.8
Greece,,136,255,187,360,2020-04-03,10,2.0
Bulgaria,,58,240,116,802,2020-04-22,4,1.0
Luxembourg,,88,150,113,206,2020-04-11,8,
Slovenia,,83,143,104,239,2020-04-07,6,3.0
Estonia,,50,117,92,140,2020-04-02,6,2.0
Lithuania,,41,97,74,137,2020-04-10,6,
Latvia,,13,63,48,82,2020-04-21,4,1.0
Slovakia,,18,41,26,75,2020-04-15,4,
Cyprus,,15,32,28,49,2020-03-30,2,1.0
Malta,,4,12,10,13,2020-04-25,1,
