country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
United Kingdom,,569,354,833
France,,453,242,811
Italy,,380,246,556
Brazil,,327,239,422
Spain,,305,201,455
Belgium,,177,111,267
Germany,,175,107,245
Canada,,130,80,185
Turkey,,120,73,207
Netherlands,,101,56,148
Mexico,,92,63,129
Sweden,,89,62,119
Iran,,80,48,120
Russia,,60,42,77
Ireland,,44,26,66
India,,40,20,62
Switzerland,,29,17,45
Portugal,,27,18,36
Romania,,23,16,30
Indonesia,,20,11,32
Poland,,20,11,28
Hungary,,11,7,16
Austria,,11,6,18
Philippines,,11,4,19
Finland,,8,5,13
Denmark,,8,5,12
Czechia,,6,3,8
Norway,,5,2,8
Bulgaria,,2,1,5
Croatia,,2,1,4
Greece,,2,1,4
Luxembourg,,2,0,3
Slovenia,,2,0,3
Estonia,,1,1,2
Lithuania,,1,0,2
Slovakia,,1,0,2
Latvia,,1,0,1
Cyprus,,0,0,1
Malta,,0,0,1
