country,region,subregion,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio,projection_end_date
US,NY,New York City,23550,24026,23594,26152,2020-04-07,814,86.1,2020-11-01
US,CA,Los Angeles,4702,7827,5898,11112,2020-07-29,92,4.9,2020-11-01
Canada,,Quebec,5683,5937,5714,6577,2020-05-31,202,61.9,2020-11-01
US,IL,Cook,4897,5871,5048,7581,2020-05-13,140,27.5,2020-11-01
US,AZ,Maricopa,2108,4397,3399,5662,2020-07-30,96,6.8,2020-11-01
US,FL,Miami-Dade,1694,3480,2540,4932,2020-07-31,96,1.4,2020-11-01
US,MI,Wayne,2805,3101,2876,3702,2020-04-22,173,23.3,2020-11-01
Canada,,Ontario,2825,3073,2847,3813,2020-05-04,120,21.7,2020-11-01
US,MA,Middlesex,1988,2394,2057,3093,2020-04-25,201,15.1,2020-11-01
US,TX,Harris,767,2288,1438,3524,2020-07-31,23,3.0,2020-11-01
US,NY,Nassau,2194,2218,2200,2296,2020-04-07,338,,2020-11-01
US,NJ,Essex,2104,2206,2129,2469,2020-06-25,247,24.1,2020-11-01
US,NJ,Bergen,2041,2179,2070,2488,2020-06-25,265,41.4,2020-11-01
US,NY,Suffolk,1997,2043,2005,2182,2020-05-06,226,,2020-11-01
US,FL,Broward,748,2029,1338,2871,2020-07-30,38,7.0,2020-11-01
US,PA,Philadelphia,1692,1865,1724,2222,2020-05-01,97,14.7,2020-11-01
US,NV,Clark,702,1814,1098,2902,2020-07-21,26,1.0,2020-11-01
US,FL,Palm Beach,845,1698,1218,2343,2020-07-28,21,1.1,2020-11-01
US,CA,Orange,651,1685,1007,2761,2020-08-01,31,,2020-11-01
US,TX,Bexar,622,1672,1119,2287,2020-07-27,158,1.5,2020-11-01
US,NJ,Hudson,1503,1571,1523,1683,2020-04-19,178,17.7,2020-11-01
US,TX,Dallas,691,1528,1033,2204,2020-07-29,36,3.9,2020-11-01
US,NY,Westchester,1446,1472,1452,1556,2020-04-06,144,,2020-11-01
US,CA,Riverside,695,1359,931,2070,2020-07-28,34,,2020-11-01
US,MA,Suffolk,1059,1211,1085,1564,2020-04-25,106,27.4,2020-11-01
US,CA,San Diego,565,1177,796,1890,2020-04-22,24,,2020-11-01
US,CA,San Bernardino,418,1009,621,1592,2020-07-29,24,7.1,2020-11-01
US,TX,Tarrant,391,940,608,1441,2020-07-25,15,,2020-11-01
US,FL,Hillsborough,348,886,577,1271,2020-07-16,40,8.1,2020-11-01
US,WA,King,658,869,688,1316,2020-03-28,27,11.1,2020-11-01
US,FL,Orange,239,862,537,1294,2020-07-29,24,1.8,2020-11-01
US,LA,Orleans,560,617,577,699,2020-04-14,32,,2020-11-01
US,CA,Sacramento,145,583,248,1304,2020-04-09,11,1.7,2020-11-01
Canada,,Alberta,196,492,270,985,2020-05-04,9,,2020-11-01
US,CA,Alameda,189,395,255,663,2020-04-15,13,,2020-11-01
US,CA,Santa Clara,191,348,228,610,2020-07-14,13,,2020-11-01
Canada,,British Columbia,195,255,205,375,2020-04-13,11,,2020-11-01
US,NV,Washoe,115,248,152,405,2020-05-25,6,1.5,2020-11-01
