country,region,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio
US,,78792,188698,110282,331561,2020-04-16,4591,1.3
US,NY,26612,34351,29792,46203,2020-04-16,3215,2.0
US,NJ,9116,17598,11582,26596,2020-04-30,457,1.8
US,PA,3779,13362,6622,22375,2020-05-05,341,2.3
US,IL,3349,12506,6280,19452,2020-05-05,175,1.2
US,MA,4840,10216,6622,18092,2020-04-19,302,1.2
US,IN,1490,8288,3403,15048,2020-05-06,166,2.6
US,CA,2687,8024,3835,17355,2020-04-22,139,1.0
US,MI,4530,7983,5775,13080,2020-04-22,238,1.0
US,MD,1614,6137,2556,14420,2020-04-20,121,1.2
US,FL,1715,5981,2407,12421,2020-04-23,94,1.3
US,CT,2932,5633,3767,9539,2020-04-20,204,1.7
US,OH,1331,5400,2305,9867,2020-04-29,138,2.5
US,TX,1066,5216,2039,11672,2020-06-26,62,1.5
US,VA,827,4173,1406,9716,2020-07-24,59,3.9
US,GA,1403,4079,1911,8783,2020-04-07,100,12.7
US,LA,2267,3897,2886,5940,2020-04-14,129,1.6
US,MN,558,3547,1109,7566,2020-06-27,47,2.0
US,CO,967,3197,1409,6726,2020-04-24,122,4.7
US,AZ,532,2935,1383,5615,2020-05-08,67,2.5
US,MS,421,2550,1051,5204,2020-07-07,35,2.9
US,MO,494,2268,994,4455,2020-04-27,47,2.4
US,IA,252,2230,1067,4046,2020-06-25,32,3.6
US,AL,390,2044,947,3985,2020-05-06,28,3.6
US,NC,551,1863,863,4191,2020-05-05,30,0.9
US,RI,418,1578,837,2650,2020-04-17,31,0.8
US,WA,921,1519,1088,2865,2020-04-06,45,1.4
US,SC,330,1469,663,2875,2020-04-29,39,1.7
US,NV,313,1009,553,2021,2020-04-07,26,0.5
US,DC,311,978,496,1652,2020-05-08,19,1.4
US,WI,398,905,580,1731,2020-04-05,20,0.8
US,DE,221,893,409,1628,2020-04-28,12,1.1
US,NM,191,841,340,1736,2020-05-03,13,1.0
US,KY,304,831,454,1665,2020-04-07,20,1.3
US,NH,131,716,358,1311,2020-05-07,22,0.9
US,OK,270,651,405,1167,2020-04-21,21,1.8
US,KS,174,627,282,1591,2020-04-11,13,1.2
US,TN,242,507,350,834,2020-04-14,15,
US,NE,90,430,197,1069,2020-04-30,14,
US,UT,66,335,137,725,2020-05-05,6,0.8
US,AR,88,319,181,614,2020-05-02,8,
US,OR,127,297,172,626,2020-04-09,11,1.0
US,ME,64,273,114,636,2020-04-23,5,3.0
US,SD,34,212,84,471,2020-05-06,5,1.0
US,PR,108,200,144,316,2020-04-09,9,3.0
US,ND,35,145,77,283,2020-05-06,6,0.5
US,WV,52,144,84,283,2020-04-20,6,
US,ID,67,111,85,147,2020-04-15,6,
US,VT,53,85,72,107,2020-04-16,4,
US,HI,17,34,24,44,2020-04-27,2,
US,WY,7,32,21,50,2020-04-22,4,
US,MT,16,29,23,44,2020-03-30,4,
US,AK,10,15,14,18,2020-04-04,2,
US,GU,5,15,11,30,2020-04-11,1,
US,VI,4,11,9,13,2020-04-26,1,
US,MP,2,9,7,12,2020-04-07,1,
US,AS,0,,,,,,
