country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
US,,1656,1096,2312
US,NY,344,213,514
US,NJ,215,145,292
US,MA,153,114,199
US,MI,105,70,142
US,PA,100,66,139
US,IL,88,63,109
US,CT,71,49,99
US,CA,67,43,93
US,MD,50,35,67
US,LA,43,28,60
US,OH,37,26,50
US,IN,37,25,50
US,FL,37,22,53
US,GA,31,21,43
US,TX,27,18,36
US,CO,25,17,35
US,VA,25,16,34
US,MN,20,13,27
US,NC,16,11,22
US,AZ,12,8,16
US,MO,12,8,16
US,WA,12,7,21
US,RI,11,8,15
US,DC,10,6,13
US,MS,10,6,13
US,AL,9,6,13
US,SC,9,6,13
US,IA,8,6,11
US,DE,7,5,10
US,WI,7,4,11
US,KY,7,4,10
US,NV,7,4,10
US,NM,6,4,9
US,OK,6,4,9
US,KS,4,2,6
US,TN,4,2,6
US,NE,3,2,5
US,NH,3,2,5
US,AR,3,2,4
US,OR,2,1,4
US,PR,2,1,4
US,ME,2,1,3
US,UT,2,1,3
US,WV,2,1,3
US,ID,1,0,2
US,ND,1,0,2
US,SD,1,0,2
US,VT,1,0,2
US,HI,1,0,1
US,AK,0,0,1
US,GU,0,0,1
US,MP,0,0,1
US,MT,0,0,1
US,VI,0,0,1
US,WY,0,0,1
US,AS,,,
