date,actual_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,country,region
2020-01-27,,,,,Italy,ALL
2020-01-28,,,,,Italy,ALL
2020-01-29,,,,,Italy,ALL
2020-01-30,,,,,Italy,ALL
2020-01-31,,,,,Italy,ALL
2020-02-01,,,,,Italy,ALL
2020-02-02,,,,,Italy,ALL
2020-02-03,,,,,Italy,ALL
2020-02-04,,,,,Italy,ALL
2020-02-05,,,,,Italy,ALL
2020-02-06,,,,,Italy,ALL
2020-02-07,,,,,Italy,ALL
2020-02-08,,,,,Italy,ALL
2020-02-09,,,,,Italy,ALL
2020-02-10,,,,,Italy,ALL
2020-02-11,,,,,Italy,ALL
2020-02-12,,,,,Italy,ALL
2020-02-13,,,,,Italy,ALL
2020-02-14,,,,,Italy,ALL
2020-02-15,,,,,Italy,ALL
2020-02-16,,,,,Italy,ALL
2020-02-17,,,,,Italy,ALL
2020-02-18,,,,,Italy,ALL
2020-02-19,,,,,Italy,ALL
2020-02-20,,,,,Italy,ALL
2020-02-21,1,,,,Italy,ALL
2020-02-22,1,,,,Italy,ALL
2020-02-23,1,,,,Italy,ALL
2020-02-24,4,,,,Italy,ALL
2020-02-25,3,,,,Italy,ALL
2020-02-26,2,,,,Italy,ALL
2020-02-27,5,,,,Italy,ALL
2020-02-28,4,,,,Italy,ALL
2020-02-29,8,,,,Italy,ALL
2020-03-01,5,,,,Italy,ALL
2020-03-02,18,,,,Italy,ALL
2020-03-03,27,,,,Italy,ALL
2020-03-04,28,,,,Italy,ALL
2020-03-05,41,,,,Italy,ALL
2020-03-06,49,,,,Italy,ALL
2020-03-07,36,,,,Italy,ALL
2020-03-08,133,,,,Italy,ALL
2020-03-09,97,,,,Italy,ALL
2020-03-10,168,,,,Italy,ALL
2020-03-11,196,,,,Italy,ALL
2020-03-12,0,,,,Italy,ALL
2020-03-13,439,,,,Italy,ALL
2020-03-14,175,,,,Italy,ALL
2020-03-15,368,,,,Italy,ALL
2020-03-16,349,,,,Italy,ALL
2020-03-17,345,,,,Italy,ALL
2020-03-18,475,,,,Italy,ALL
2020-03-19,427,,,,Italy,ALL
2020-03-20,627,,,,Italy,ALL
2020-03-21,793,,,,Italy,ALL
2020-03-22,651,,,,Italy,ALL
2020-03-23,601,,,,Italy,ALL
2020-03-24,743,,,,Italy,ALL
2020-03-25,683,,,,Italy,ALL
2020-03-26,712,,,,Italy,ALL
2020-03-27,919,,,,Italy,ALL
2020-03-28,889,,,,Italy,ALL
2020-03-29,756,,,,Italy,ALL
2020-03-30,812,,,,Italy,ALL
2020-03-31,837,,,,Italy,ALL
2020-04-01,727,,,,Italy,ALL
2020-04-02,760,,,,Italy,ALL
2020-04-03,,696,633,800,Italy,ALL
2020-04-04,,652,578,774,Italy,ALL
2020-04-05,,606,522,744,Italy,ALL
2020-04-06,,559,468,709,Italy,ALL
2020-04-07,,513,417,672,Italy,ALL
2020-04-08,,468,369,631,Italy,ALL
2020-04-09,,425,326,589,Italy,ALL
2020-04-10,,385,287,547,Italy,ALL
2020-04-11,,347,252,505,Italy,ALL
2020-04-12,,313,222,464,Italy,ALL
2020-04-13,,281,194,424,Italy,ALL
2020-04-14,,252,170,387,Italy,ALL
2020-04-15,,226,150,352,Italy,ALL
2020-04-16,,202,131,318,Italy,ALL
2020-04-17,,181,116,288,Italy,ALL
2020-04-18,,162,102,260,Italy,ALL
2020-04-19,,145,91,234,Italy,ALL
2020-04-20,,130,81,211,Italy,ALL
2020-04-21,,117,72,190,Italy,ALL
2020-04-22,,105,64,171,Italy,ALL
2020-04-23,,95,58,155,Italy,ALL
2020-04-24,,85,52,139,Italy,ALL
2020-04-25,,77,47,125,Italy,ALL
2020-04-26,,70,43,113,Italy,ALL
2020-04-27,,63,39,102,Italy,ALL
2020-04-28,,58,36,93,Italy,ALL
2020-04-29,,53,33,85,Italy,ALL
2020-04-30,,48,30,77,Italy,ALL
2020-05-01,,44,28,70,Italy,ALL
2020-05-02,,41,26,65,Italy,ALL
2020-05-03,,38,24,60,Italy,ALL
2020-05-04,,35,22,55,Italy,ALL
2020-05-05,,33,21,52,Italy,ALL
2020-05-06,,30,19,47,Italy,ALL
2020-05-07,,29,18,45,Italy,ALL
2020-05-08,,27,17,43,Italy,ALL
2020-05-09,,25,15,40,Italy,ALL
2020-05-10,,24,15,38,Italy,ALL
2020-05-11,,23,14,37,Italy,ALL
2020-05-12,,22,13,35,Italy,ALL
2020-05-13,,21,13,34,Italy,ALL
2020-05-14,,20,12,32,Italy,ALL
2020-05-15,,19,11,31,Italy,ALL
2020-05-16,,18,10,30,Italy,ALL
2020-05-17,,18,10,29,Italy,ALL
2020-05-18,,17,9,28,Italy,ALL
2020-05-19,,17,10,28,Italy,ALL
2020-05-20,,16,9,27,Italy,ALL
2020-05-21,,16,9,27,Italy,ALL
2020-05-22,,15,8,25,Italy,ALL
2020-05-23,,15,8,25,Italy,ALL
2020-05-24,,14,7,24,Italy,ALL
2020-05-25,,14,7,24,Italy,ALL
2020-05-26,,14,7,24,Italy,ALL
2020-05-27,,13,6,23,Italy,ALL
2020-05-28,,13,7,22,Italy,ALL
2020-05-29,,13,7,22,Italy,ALL
2020-05-30,,12,6,21,Italy,ALL
2020-05-31,,12,6,21,Italy,ALL
2020-06-01,,12,6,21,Italy,ALL
2020-06-02,,12,6,20,Italy,ALL
2020-06-03,,11,5,19,Italy,ALL
2020-06-04,,11,5,19,Italy,ALL
2020-06-05,,11,5,19,Italy,ALL
2020-06-06,,11,5,19,Italy,ALL
2020-06-07,,10,5,18,Italy,ALL
2020-06-08,,10,5,18,Italy,ALL
2020-06-09,,10,5,18,Italy,ALL
2020-06-10,,10,5,17,Italy,ALL
2020-06-11,,9,4,16,Italy,ALL
2020-06-12,,9,4,16,Italy,ALL
2020-06-13,,9,4,16,Italy,ALL
2020-06-14,,9,4,16,Italy,ALL
2020-06-15,,9,4,15,Italy,ALL
2020-06-16,,8,3,14,Italy,ALL
2020-06-17,,8,4,14,Italy,ALL
2020-06-18,,8,3,14,Italy,ALL
2020-06-19,,7,3,13,Italy,ALL
2020-06-20,,7,3,13,Italy,ALL
2020-06-21,,7,3,13,Italy,ALL
2020-06-22,,7,3,12,Italy,ALL
2020-06-23,,7,3,12,Italy,ALL
2020-06-24,,7,3,12,Italy,ALL
2020-06-25,,6,2,11,Italy,ALL
2020-06-26,,6,2,11,Italy,ALL
2020-06-27,,6,3,10,Italy,ALL
2020-06-28,,5,2,9,Italy,ALL
2020-06-29,,5,2,9,Italy,ALL
2020-06-30,,5,2,9,Italy,ALL
