date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper,country,region,subregion
2020-02-05,0,0,,,,,,,126,63,178,126,63,178,126,63,178,2.27522016119,2.1,2.4,US,,
2020-02-06,0,0,,,,,,,126,63,178,251,127,356,252,126,356,2.27521051036,2.09999213573,2.39999976065,US,,
2020-02-07,0,0,,,,,,,126,63,178,377,191,534,378,189,534,2.27520727991,2.09998936795,2.39999963585,US,,
2020-02-08,0,0,,,,,,,126,63,178,502,255,712,504,252,712,2.27520295464,2.09998568086,2.39999943741,US,,
2020-02-09,0,0,,,,,,,290,162,406,792,433,1103,794,414,1118,2.2751971581,2.09998071513,2.39999914015,US,,
2020-02-10,0,0,,,,,,,290,162,406,1082,601,1504,1084,576,1524,2.27518938219,2.09997402734,2.39999867224,US,,
2020-02-11,0,0,,,,,,,290,162,406,1372,767,1907,1374,738,1930,2.27517894028,2.09996502031,2.39999797083,US,,
2020-02-12,0,0,,,,,,,290,162,406,1662,931,2310,1664,900,2336,2.27516490317,2.09995285283,2.39999689991,US,,
2020-02-13,0,0,,,,,,,469,280,651,2131,1230,2941,2133,1180,2987,2.27514601165,2.0999371013,2.39999520492,US,,
2020-02-14,0,0,,,,,,,677,412,937,2808,1647,3873,2810,1592,3924,2.27509359835,2.09988480105,2.39997212325,US,,
2020-02-15,0,0,,,,,,,1160,715,1534,3968,2414,5377,3970,2307,5458,2.2750558879,2.09985190708,2.39996671858,US,,
2020-02-16,0,0,,,,,,,2175,1325,2788,6143,3854,8110,6145,3632,8246,2.27499847316,2.09980016416,2.39995320546,US,,
2020-02-17,0,0,,,,,,,3591,2332,4546,9734,6315,12569,9736,5964,12792,2.27492473613,2.09973485831,2.39993684259,US,,
2020-02-18,0,0,,,,,,,4010,2646,5083,13744,9002,17625,13746,8610,17875,2.27482791668,2.09965029143,2.39991526535,US,,
2020-02-19,0,0,,,,,,,4681,3144,5917,18424,12203,23506,18427,11754,23792,2.27469909163,2.09953909617,2.39988535735,US,,
2020-02-20,0,0,,,,,,,4821,3248,6108,23120,15398,29430,23248,15002,29900,2.274525388,2.0993905959,2.39984267363,US,,
2020-02-21,0,0,,,,,,,5353,3665,6769,28348,19024,36003,28601,18667,36669,2.27428963024,2.09919097747,2.39978105963,US,,
2020-02-22,0,0,,,,,,,6432,4475,8143,34654,23482,43929,35033,23142,44812,2.27397195029,2.09893293509,2.39969382441,US,,
2020-02-23,0,0,,,,,,,7733,5468,9758,42262,28977,53440,42766,28610,54570,2.27354378215,2.09859228062,2.39957170006,US,,
2020-02-24,0,0,,,,,,,9830,6932,12455,51802,35825,65430,52596,35542,67025,2.27296427439,2.09812913844,2.39940238711,US,,
2020-02-25,0,0,,,,,,,14980,10180,19080,66491,46005,83990,67576,45722,86105,2.27217716176,2.09751144844,2.399147533,US,,
2020-02-26,0,0,,,,,,,18212,12568,23192,84413,58454,106741,85788,58290,109297,2.27110479982,2.09668643922,2.39878271177,US,,
2020-02-27,0,0,,,,,,,19834,13621,25401,103958,71925,131722,105622,71911,134698,2.26964168037,2.09560282819,2.39824894653,US,,
2020-02-28,0,0,,,,,,,23938,16300,30956,127427,87943,162014,129560,88211,165654,2.26764227483,2.09422373576,2.39746513813,US,,
2020-02-29,1,1,,,,,,,29081,19331,38160,155830,106865,199190,158641,107542,203814,2.26490529473,2.09241009266,2.39630947337,US,,
2020-03-01,0,1,,,,,,,37535,24483,49710,192205,130686,247259,196176,132025,253524,2.2611534931,2.09010886976,2.39476046498,US,,
2020-03-02,5,6,,,,,,,46531,30120,62107,236561,159566,306447,242707,162145,315631,2.25600690939,2.08675208501,2.39260150098,US,,
2020-03-03,1,7,,,,,,,57521,37085,77341,290492,194398,379122,300228,199230,392972,2.24894861625,2.08195102218,2.38954132502,US,,
2020-03-04,4,11,,,,,,,70149,44822,95234,356631,236657,469133,370377,244052,488206,2.23928158606,2.07593211435,2.38478992291,US,,
2020-03-05,1,12,,,,,,,87080,55295,118459,439030,288890,581539,457457,299347,606665,2.22607919976,2.0677147287,2.37745818954,US,,
