date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,country,region
2020-02-17,,,,,,,,,100,100,100,100,100,100,Austria,ALL
2020-02-18,,,,,,,,,100,100,100,200,200,200,Austria,ALL
2020-02-19,,,,,,,,,100,100,100,300,300,300,Austria,ALL
2020-02-20,,,,,,,,,100,100,100,400,400,400,Austria,ALL
2020-02-21,,,,,,,,,100,100,100,500,500,500,Austria,ALL
2020-02-22,,,,,,,,,100,100,100,600,600,600,Austria,ALL
2020-02-23,,,,,,,,,100,100,100,700,700,700,Austria,ALL
2020-02-24,,,,,,,,,100,100,100,800,800,800,Austria,ALL
2020-02-25,,,,,,,,,100,100,100,900,900,900,Austria,ALL
2020-02-26,,,,,,,,,310,279,356,1210,1179,1256,Austria,ALL
2020-02-27,,,,,,,,,309,278,354,1519,1457,1610,Austria,ALL
2020-02-28,,,,,,,,,330,294,383,1849,1751,1993,Austria,ALL
2020-02-29,,,,,,,,,372,325,444,2220,2076,2437,Austria,ALL
2020-03-01,,,,,,,,,459,389,569,2680,2465,3007,Austria,ALL
2020-03-02,,,,,,,,,595,489,763,3275,2954,3769,Austria,ALL
2020-03-03,,,,,,,,,702,568,913,3878,3422,4582,Austria,ALL
2020-03-04,,,,,,,,,799,638,1048,4577,3960,5530,Austria,ALL
2020-03-05,,,,,,,,,917,721,1212,5394,4581,6643,Austria,ALL
2020-03-06,,,,,,,,,1060,821,1416,6354,5302,7959,Austria,ALL
2020-03-07,,,,,,,,,1234,946,1657,7488,6148,9516,Austria,ALL
2020-03-08,,,,,,,,,1407,1077,1867,8795,7125,11283,Austria,ALL
2020-03-09,,,,,,,,,1573,1210,2049,10267,8236,13232,Austria,ALL
2020-03-10,,,,,,,,,1736,1351,2218,11903,9487,15350,Austria,ALL
2020-03-11,,,,,,,,,1895,1502,2366,13698,10889,17616,Austria,ALL
2020-03-12,1,1,,,,,,,2047,1654,2492,15435,12264,19752,Austria,ALL
2020-03-13,0,1,,,,,,,2177,1804,2584,17303,13790,21982,Austria,ALL
2020-03-14,0,1,,,,,,,2277,1923,2683,19251,15419,24281,Austria,ALL
2020-03-15,0,1,,,,,,,2345,1957,2779,21224,17051,26616,Austria,ALL
2020-03-16,2,3,,,,,,,2383,1978,2851,23148,18639,28898,Austria,ALL
2020-03-17,0,3,,,,,,,2394,1925,2896,24947,20075,31031,Austria,ALL
2020-03-18,1,4,,,,,,,2380,1862,2949,26625,21369,33067,Austria,ALL
2020-03-19,2,6,,,,,,,2345,1770,3026,28171,22501,35045,Austria,ALL
2020-03-20,0,6,,,,,,,2295,1711,3031,29548,23491,36864,Austria,ALL
2020-03-21,2,8,,,,,,,2233,1635,3015,30721,24305,38463,Austria,ALL
2020-03-22,8,16,,,,,,,2164,1542,3015,31652,24901,39821,Austria,ALL
2020-03-23,5,21,,,,,,,2092,1457,3006,32337,25281,40960,Austria,ALL
2020-03-24,7,28,,,,,,,2016,1360,2956,32780,25431,41867,Austria,ALL
2020-03-25,2,30,,,,,,,1939,1259,2882,32984,25338,42532,Austria,ALL
2020-03-26,19,49,,,,,,,1863,1167,2819,32951,25003,42985,Austria,ALL
2020-03-27,9,58,,,,,,,1787,1086,2748,32691,24434,43241,Austria,ALL
2020-03-28,10,68,,,,,,,1714,1011,2676,32228,23641,43334,Austria,ALL
2020-03-29,18,86,,,,,,,1643,943,2600,31594,22661,43251,Austria,ALL
2020-03-30,22,108,,,,,,,1574,874,2527,30823,21578,42999,Austria,ALL
2020-03-31,20,128,,,,,,,1508,811,2453,29948,20411,42602,Austria,ALL
2020-04-01,18,146,,,,,,,1446,755,2401,28999,19241,42106,Austria,ALL
2020-04-02,12,158,,,,,,,1385,709,2352,28004,18089,41509,Austria,ALL
2020-04-03,10,168,,,,,,,1328,667,2300,26987,16986,40783,Austria,ALL
2020-04-04,18,186,,,,,,,1274,628,2244,25966,15903,39996,Austria,ALL
2020-04-05,18,204,,,,,,,1223,589,2188,24956,14856,39169,Austria,ALL
2020-04-06,16,220,,,,,,,1174,554,2133,23965,13868,38287,Austria,ALL
2020-04-07,23,243,,,,,,,1127,516,2080,23001,12927,37361,Austria,ALL
2020-04-08,30,273,,,,,,,1083,482,2028,22068,12050,36433,Austria,ALL
2020-04-09,22,295,,,,,,,1042,451,1977,21171,11242,35528,Austria,ALL
2020-04-10,24,319,,,,,,,1002,423,1928,20310,10499,34636,Austria,ALL
2020-04-11,,,22,17,29,341,336,348,964,397,1880,19487,9810,33768,Austria,ALL
