date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,country,region,subregion
2020-02-17,,,,,,,,,66,50,75,66,50,75,66,50,75,2.47118195002,Algeria,ALL,
2020-02-18,,,,,,,,,66,50,75,133,100,150,133,100,150,2.46525133548,Algeria,ALL,
2020-02-19,,,,,,,,,66,50,75,199,150,225,199,150,225,2.46392946188,Algeria,ALL,
2020-02-20,,,,,,,,,66,50,75,265,200,300,265,200,300,2.46231028567,Algeria,ALL,
2020-02-21,,,,,,,,,66,50,75,332,250,375,332,250,375,2.46032547577,Algeria,ALL,
2020-02-22,,,,,,,,,66,50,75,398,300,450,398,300,450,2.45789017417,Algeria,ALL,
2020-02-23,,,,,,,,,66,50,75,464,350,525,464,350,525,2.45489853914,Algeria,ALL,
2020-02-24,,,,,,,,,66,50,75,531,400,600,531,400,600,2.45121784914,Algeria,ALL,
2020-02-25,,,,,,,,,66,50,75,597,450,675,597,450,675,2.44668061002,Algeria,ALL,
2020-02-26,,,,,,,,,227,158,285,824,608,960,824,608,960,2.44104095905,Algeria,ALL,
2020-02-27,,,,,,,,,226,158,284,1051,767,1244,1051,767,1244,2.43408792322,Algeria,ALL,
2020-02-28,,,,,,,,,245,169,312,1295,936,1555,1295,936,1555,2.42543031421,Algeria,ALL,
2020-02-29,,,,,,,,,282,191,369,1577,1128,1924,1577,1128,1924,2.41462088852,Algeria,ALL,
2020-03-01,,,,,,,,,360,238,487,1938,1366,2411,1938,1366,2411,2.40106302413,Algeria,ALL,
2020-03-02,,,,,,,,,482,311,674,2419,1678,3084,2419,1678,3084,2.38398413854,Algeria,ALL,
2020-03-03,,,,,,,,,580,370,831,2933,1999,3839,2999,2049,3914,2.36239703562,Algeria,ALL,
2020-03-04,,,,,,,,,674,425,990,3540,2374,4754,3673,2474,4904,2.33507833181,Algeria,ALL,
2020-03-05,,,,,,,,,793,493,1200,4267,2818,5879,4466,2968,6104,2.30058743025,Algeria,ALL,
2020-03-06,,,,,,,,,942,576,1468,5142,3345,7271,5408,3545,7571,2.25734051253,Algeria,ALL,
2020-03-07,,,,,,,,,1124,672,1797,6200,3968,8992,6531,4218,9367,2.20377141676,Algeria,ALL,
2020-03-08,,,,,,,,,1309,758,2134,7443,4677,11051,7841,4977,11501,2.13856931767,Algeria,ALL,
2020-03-09,,,,,,,,,1493,844,2463,8869,5471,13439,9334,5821,13964,2.0609584858,Algeria,ALL,
2020-03-10,,,,,,,,,1680,932,2780,10483,6353,16143,11013,6753,16743,1.97098524807,Algeria,ALL,
2020-03-11,,,,,,,,,1867,1055,3062,12284,7359,19130,12881,7809,19805,1.86976171349,Algeria,ALL,
2020-03-12,1,1,,,,,,,2047,1125,3340,14103,8325,22185,14928,8934,23144,1.75959489387,Algeria,ALL,
2020-03-13,1,2,,,,,,,2202,1174,3497,16079,9342,25397,17130,10109,26640,1.64390393926,Algeria,ALL,
2020-03-14,1,3,,,,,,,2322,1218,3722,18157,10392,28807,19452,11328,30362,1.52687550842,Algeria,ALL,
2020-03-15,1,4,,,,,,,2407,1251,3964,20282,11451,32401,21859,12580,34325,1.41292038219,Algeria,ALL,
2020-03-16,0,4,,,,,,,2459,1272,3982,22381,12485,35896,24318,13852,38307,1.3060842804,Algeria,ALL,
2020-03-17,0,4,,,,,,,2481,1258,3967,24380,13432,39189,26799,15111,42273,1.20957115862,Algeria,ALL,
2020-03-18,3,7,,,,,,,2475,1240,4010,26275,14302,42368,29274,16351,46282,1.12546421796,Algeria,ALL,
2020-03-19,2,9,,,,,,,2446,1218,4097,28047,15094,45475,31720,17569,50379,1.05464669973,Algeria,ALL,
2020-03-20,2,11,,,,,,,2401,1190,4068,29655,15792,48343,34121,18760,54447,0.996892075041,Algeria,ALL,
2020-03-21,4,15,,,,,,,2344,1163,3921,31057,16378,50797,36464,19923,58368,0.951096582793,Algeria,ALL,
