date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,country,region,subregion
2020-02-05,0,0,,,,,,,99,50,150,99,50,150,99,50,150,2.26391124678,US,,
2020-02-06,0,0,,,,,,,99,50,150,198,100,300,198,100,300,2.26234624262,US,,
2020-02-07,0,0,,,,,,,99,50,150,296,150,450,296,150,450,2.26209364437,US,,
2020-02-08,0,0,,,,,,,99,50,150,395,200,600,395,200,600,2.26180039464,US,,
2020-02-09,0,0,,,,,,,235,100,400,630,300,1000,630,300,1000,2.26145999079,US,,
2020-02-10,0,0,,,,,,,235,100,400,864,400,1400,864,400,1400,2.26106490296,US,,
2020-02-11,0,0,,,,,,,235,100,400,1098,500,1800,1098,500,1800,2.26060641589,US,,
2020-02-12,0,0,,,,,,,235,100,400,1333,600,2200,1333,600,2200,2.26007444776,US,,
2020-02-13,0,0,,,,,,,363,150,650,1695,750,2850,1695,750,2850,2.25945734284,US,,
2020-02-14,0,0,,,,,,,508,229,860,2202,979,3710,2202,979,3710,2.25874163492,US,,
2020-02-15,0,0,,,,,,,700,329,1159,2900,1309,4869,2900,1309,4869,2.25791177761,US,,
2020-02-16,0,0,,,,,,,725,345,1197,3626,1654,6065,3626,1654,6065,2.2569498379,US,,
2020-02-17,0,0,,,,,,,855,407,1374,4482,2061,7439,4482,2061,7439,2.25583514838,US,,
2020-02-18,0,0,,,,,,,1148,546,1857,5631,2608,9296,5631,2608,9296,2.25454391366,US,,
2020-02-19,0,0,,,,,,,2415,1186,3545,8045,3795,12841,8045,3795,12841,2.25304876543,US,,
2020-02-20,0,0,,,,,,,2509,1233,3674,10454,4980,16364,10553,5030,16514,2.25131826031,US,,
2020-02-21,0,0,,,,,,,2912,1400,4251,13269,6330,20464,13467,6430,20764,2.24931631296,US,,
