date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,country,region
2020-02-17,,,,,,,,,134,100,200,134,100,200,Austria,ALL
2020-02-18,,,,,,,,,134,100,200,268,200,400,Austria,ALL
2020-02-19,,,,,,,,,134,100,200,401,300,600,Austria,ALL
2020-02-20,,,,,,,,,134,100,200,535,400,800,Austria,ALL
2020-02-21,,,,,,,,,134,100,200,669,500,1000,Austria,ALL
2020-02-22,,,,,,,,,134,100,200,803,600,1200,Austria,ALL
2020-02-23,,,,,,,,,134,100,200,936,700,1400,Austria,ALL
2020-02-24,,,,,,,,,134,100,200,1070,800,1600,Austria,ALL
2020-02-25,,,,,,,,,134,100,200,1204,900,1800,Austria,ALL
2020-02-26,,,,,,,,,382,278,559,1586,1178,2359,Austria,ALL
2020-02-27,,,,,,,,,380,276,557,1966,1454,2915,Austria,ALL
2020-02-28,,,,,,,,,401,291,586,2367,1745,3502,Austria,ALL
2020-02-29,,,,,,,,,446,320,647,2813,2065,4148,Austria,ALL
2020-03-01,,,,,,,,,537,382,772,3350,2447,4921,Austria,ALL
2020-03-02,,,,,,,,,680,477,966,4030,2924,5886,Austria,ALL
2020-03-03,,,,,,,,,790,550,1112,4686,3374,6799,Austria,ALL
2020-03-04,,,,,,,,,886,612,1234,5438,3886,7833,Austria,ALL
2020-03-05,,,,,,,,,999,684,1366,6303,4469,8998,Austria,ALL
2020-03-06,,,,,,,,,1133,769,1534,7302,5138,10332,Austria,ALL
2020-03-07,,,,,,,,,1294,873,1733,8463,5911,11865,Austria,ALL
2020-03-08,,,,,,,,,1451,977,1914,9780,6787,13579,Austria,ALL
2020-03-09,,,,,,,,,1594,1078,2111,11241,7766,15489,Austria,ALL
2020-03-10,,,,,,,,,1727,1181,2245,12834,8846,17534,Austria,ALL
2020-03-11,,,,,,,,,1849,1285,2356,14550,10032,19690,Austria,ALL
2020-03-12,1,1,,,,,,,1956,1393,2453,16124,11147,21585,Austria,ALL
2020-03-13,0,1,,,,,,,2037,1498,2582,17780,12369,23610,Austria,ALL
2020-03-14,0,1,,,,,,,2087,1594,2633,19466,13672,25657,Austria,ALL
2020-03-15,0,1,,,,,,,2108,1661,2703,21127,15013,27713,Austria,ALL
2020-03-16,2,3,,,,,,,2104,1672,2691,22694,16303,29632,Austria,ALL
2020-03-17,0,3,,,,,,,2082,1642,2666,24097,17468,31332,Austria,ALL
2020-03-18,1,4,,,,,,,2045,1596,2637,25352,18514,32858,Austria,ALL
2020-03-19,2,6,,,,,,,1995,1534,2610,26461,19437,34233,Austria,ALL
2020-03-20,0,6,,,,,,,1937,1457,2566,27399,20210,35434,Austria,ALL
2020-03-21,2,8,,,,,,,1875,1365,2500,28141,20806,36400,Austria,ALL
2020-03-22,8,16,,,,,,,1811,1267,2463,28658,21200,37130,Austria,ALL
2020-03-23,5,21,,,,,,,1746,1183,2401,28953,21406,37617,Austria,ALL
2020-03-24,7,28,,,,,,,1682,1116,2353,29040,21443,37860,Austria,ALL
2020-03-25,2,30,,,,,,,1619,1045,2308,28932,21308,37923,Austria,ALL
2020-03-26,19,49,,,,,,,1558,965,2271,28641,20988,37838,Austria,ALL
2020-03-27,9,58,,,,,,,1499,903,2230,28184,20497,37614,Austria,ALL
2020-03-28,10,68,,,,,,,1442,836,2215,27589,19834,37247,Austria,ALL
2020-03-29,18,86,,,,,,,1388,784,2189,26891,19025,36804,Austria,ALL
2020-03-30,22,108,,,,,,,1337,734,2172,26121,18098,36273,Austria,ALL
2020-03-31,20,128,,,,,,,1289,683,2144,25305,17109,35726,Austria,ALL
2020-04-01,18,146,,,,,,,1243,636,2123,24466,16103,35183,Austria,ALL
2020-04-02,12,158,,,,,,,1199,592,2106,23620,15099,34651,Austria,ALL
2020-04-03,10,168,,,,,,,1158,553,2088,22783,14117,34130,Austria,ALL
2020-04-04,18,186,,,,,,,1119,523,2078,21965,13183,33641,Austria,ALL
2020-04-05,18,204,,,,,,,1082,491,2066,21172,12309,33206,Austria,ALL
2020-04-06,16,220,,,,,,,1047,460,2060,20408,11502,32804,Austria,ALL
2020-04-07,23,243,,,,,,,1014,431,2050,19676,10750,32453,Austria,ALL
2020-04-08,30,273,,,,,,,983,405,2040,18978,10039,32140,Austria,ALL
2020-04-09,22,295,,,,,,,954,381,2028,18312,9375,31859,Austria,ALL
2020-04-10,24,319,,,,,,,926,359,2013,17680,8768,31602,Austria,ALL
2020-04-11,18,337,,,,,,,899,339,2003,17081,8205,31375,Austria,ALL
2020-04-12,13,350,,,,,,,874,321,1993,16512,7689,31153,Austria,ALL
2020-04-13,18,368,,,,,,,850,304,1983,15974,7209,30947,Austria,ALL
2020-04-14,16,384,,,,,,,827,289,1973,15464,6764,30747,Austria,ALL
2020-04-15,9,393,,,,,,,806,275,1962,14981,6355,30565,Austria,ALL
2020-04-16,,,16,11,23,409,404,416,785,262,1947,14523,5981,30389,Austria,ALL
2020-04-17,,,16,10,23,425,414,439,765,250,1929,14089,5639,30213,Austria,ALL
2020-04-18,,,15,9,22,440,423,461,746,239,1912,13677,5326,30037,Austria,ALL
2020-04-19,,,15,9,22,455,432,483,728,229,1882,13287,5032,29842,Austria,ALL
2020-04-20,,,14,8,22,469,440,505,711,220,1864,12916,4760,29640,Austria,ALL
2020-04-21,,,14,8,22,482,447,527,695,211,1854,12563,4512,29434,Austria,ALL
2020-04-22,,,13,7,21,495,454,548,679,203,1843,12228,4284,29228,Austria,ALL
2020-04-23,,,13,7,21,508,461,569,664,196,1833,11908,4075,29020,Austria,ALL
2020-04-24,,,12,6,21,520,467,590,649,189,1822,11604,3883,28815,Austria,ALL
2020-04-25,,,12,6,21,532,472,611,635,182,1812,11313,3707,28613,Austria,ALL
2020-04-26,,,11,5,21,543,478,632,621,176,1801,11036,3544,28411,Austria,ALL
2020-04-27,,,11,5,21,554,483,653,608,171,1790,10770,3394,28208,Austria,ALL
2020-04-28,,,11,5,21,564,488,673,596,165,1779,10516,3255,28004,Austria,ALL
2020-04-29,,,10,4,21,575,492,694,583,160,1768,10272,3127,27799,Austria,ALL
2020-04-30,,,10,4,20,585,496,714,572,155,1754,10038,3008,27590,Austria,ALL
2020-05-01,,,10,4,20,594,500,735,560,151,1743,9814,2897,27386,Austria,ALL
2020-05-02,,,9,4,20,603,504,755,549,147,1731,9597,2794,27188,Austria,ALL
2020-05-03,,,9,3,20,613,507,775,538,143,1720,9389,2697,26996,Austria,ALL
2020-05-04,,,9,3,20,621,510,795,528,139,1708,9188,2607,26822,Austria,ALL
2020-05-05,,,9,3,20,630,513,815,517,135,1697,8995,2523,26655,Austria,ALL
2020-05-06,,,8,3,20,638,516,834,508,132,1685,8808,2443,26487,Austria,ALL
2020-05-07,,,8,3,20,646,519,854,498,128,1674,8627,2369,26317,Austria,ALL
2020-05-08,,,8,3,19,654,522,873,488,125,1662,8451,2298,26146,Austria,ALL
2020-05-09,,,8,3,19,662,524,893,479,122,1650,8281,2231,25974,Austria,ALL
2020-05-10,,,8,2,19,669,527,912,470,119,1638,8116,2168,25800,Austria,ALL
2020-05-11,,,7,2,19,677,529,931,461,116,1626,7956,2107,25626,Austria,ALL
2020-05-12,,,7,2,19,684,531,949,452,113,1614,7800,2049,25451,Austria,ALL
2020-05-13,,,7,2,19,691,534,968,444,110,1602,7648,1994,25274,Austria,ALL
2020-05-14,,,7,2,18,698,536,986,436,107,1590,7500,1942,25096,Austria,ALL
2020-05-15,,,7,2,18,704,538,1005,427,105,1578,7356,1891,24921,Austria,ALL
2020-05-16,,,7,2,18,711,540,1023,419,102,1566,7215,1842,24744,Austria,ALL
2020-05-17,,,6,2,18,717,541,1041,411,100,1554,7077,1795,24566,Austria,ALL
2020-05-18,,,6,2,18,724,543,1059,404,97,1541,6943,1749,24388,Austria,ALL
2020-05-19,,,6,2,18,730,545,1077,396,94,1529,6811,1704,24208,Austria,ALL
2020-05-20,,,6,2,18,736,547,1095,388,92,1516,6681,1661,24028,Austria,ALL
2020-05-21,,,6,2,18,741,548,1112,381,90,1504,6555,1619,23846,Austria,ALL
2020-05-22,,,6,2,18,747,550,1130,373,87,1491,6430,1578,23664,Austria,ALL
2020-05-23,,,6,2,17,753,551,1147,366,85,1479,6308,1538,23481,Austria,ALL
2020-05-24,,,6,1,17,758,553,1165,359,83,1466,6188,1499,23297,Austria,ALL
2020-05-25,,,5,1,17,764,554,1182,352,80,1454,6070,1461,23112,Austria,ALL
2020-05-26,,,5,1,17,769,556,1199,345,78,1441,5954,1423,22927,Austria,ALL
2020-05-27,,,5,1,17,774,557,1216,338,76,1428,5840,1386,22740,Austria,ALL
2020-05-28,,,5,1,17,779,558,1233,331,73,1415,5727,1349,22553,Austria,ALL
2020-05-29,,,5,1,17,784,560,1250,324,71,1402,5616,1313,22365,Austria,ALL
2020-05-30,,,5,1,17,789,561,1266,318,69,1390,5506,1277,22177,Austria,ALL
2020-05-31,,,5,1,17,794,562,1283,311,67,1377,5397,1242,21987,Austria,ALL
2020-06-01,,,5,1,16,799,563,1299,362,80,1466,5348,1223,21899,Austria,ALL
2020-06-02,,,5,1,16,803,564,1315,354,78,1452,5298,1203,21810,Austria,ALL
2020-06-03,,,5,1,16,808,565,1332,349,75,1438,5251,1184,21719,Austria,ALL
2020-06-04,,,4,1,16,812,567,1348,348,74,1419,5210,1166,21622,Austria,ALL
2020-06-05,,,4,1,16,817,568,1364,353,74,1427,5183,1151,21545,Austria,ALL
2020-06-06,,,4,1,16,821,569,1379,365,75,1482,5174,1138,21536,Austria,ALL
2020-06-07,,,4,1,16,825,570,1395,372,75,1534,5180,1128,21591,Austria,ALL
2020-06-08,,,4,1,16,829,571,1411,375,74,1565,5196,1119,21690,Austria,ALL
2020-06-09,,,4,1,15,833,572,1426,378,72,1611,5223,1111,21847,Austria,ALL
2020-06-10,,,4,1,15,837,573,1441,383,71,1657,5260,1104,22063,Austria,ALL
2020-06-11,,,4,1,15,841,574,1456,390,70,1722,5312,1099,22357,Austria,ALL
2020-06-12,,,4,1,15,845,575,1471,397,69,1778,5377,1094,22719,Austria,ALL
2020-06-13,,,4,1,15,849,575,1486,402,68,1810,5455,1090,23127,Austria,ALL
2020-06-14,,,4,1,15,852,576,1501,408,66,1825,5546,1088,23562,Austria,ALL
2020-06-15,,,4,1,15,856,577,1516,414,64,1823,5648,1085,24008,Austria,ALL
2020-06-16,,,4,1,15,860,578,1530,420,63,1831,5707,1067,24373,Austria,ALL
2020-06-17,,,3,1,14,863,579,1545,427,61,1834,5780,1051,24755,Austria,ALL
2020-06-18,,,3,1,14,866,579,1559,434,59,1855,5865,1034,25171,Austria,ALL
2020-06-19,,,3,1,14,870,580,1573,441,57,1868,5958,1017,25620,Austria,ALL
2020-06-20,,,3,1,14,873,581,1588,448,55,1922,6053,997,26115,Austria,ALL
2020-06-21,,,3,1,14,877,582,1602,455,52,1988,6142,975,26621,Austria,ALL
2020-06-22,,,3,1,14,880,582,1616,463,50,2059,6233,950,27146,Austria,ALL
2020-06-23,,,3,1,15,883,583,1631,470,48,2132,6328,924,27713,Austria,ALL
2020-06-24,,,3,1,15,887,584,1646,478,45,2207,6428,897,28309,Austria,ALL
2020-06-25,,,3,1,14,890,585,1660,488,43,2285,6534,869,28937,Austria,ALL
2020-06-26,,,4,1,14,894,585,1674,497,42,2365,6641,841,29580,Austria,ALL
2020-06-27,,,4,1,14,897,586,1689,507,40,2448,6752,812,30251,Austria,ALL
2020-06-28,,,4,1,15,901,587,1704,518,38,2534,6867,782,30975,Austria,ALL
2020-06-29,,,4,1,15,905,588,1719,528,36,2623,6988,752,31773,Austria,ALL
2020-06-30,,,4,1,16,908,588,1734,540,35,2715,7114,723,32666,Austria,ALL
2020-07-01,,,4,1,16,912,589,1750,552,33,2810,7246,693,33646,Austria,ALL
2020-07-02,,,4,1,17,916,590,1767,564,32,2909,7384,664,34721,Austria,ALL
2020-07-03,,,4,1,17,920,590,1784,578,30,3010,7527,636,35877,Austria,ALL
2020-07-04,,,4,1,18,924,591,1802,591,29,3116,7678,608,37124,Austria,ALL
2020-07-05,,,4,1,18,928,592,1820,605,28,3224,7835,581,38426,Austria,ALL
2020-07-06,,,4,1,18,932,592,1838,620,27,3337,8000,555,39774,Austria,ALL
2020-07-07,,,4,1,18,936,593,1857,635,25,3453,8173,531,41168,Austria,ALL
2020-07-08,,,4,1,18,940,594,1875,651,24,3573,8354,507,42609,Austria,ALL
2020-07-09,,,4,1,18,945,594,1893,668,23,3697,8544,485,44099,Austria,ALL
2020-07-10,,,4,1,19,949,595,1912,685,22,3825,8742,464,45640,Austria,ALL
2020-07-11,,,4,1,19,953,596,1931,703,21,3957,8948,444,47232,Austria,ALL
2020-07-12,,,4,1,19,958,596,1950,722,20,4094,9162,424,48878,Austria,ALL
2020-07-13,,,5,1,20,962,597,1970,741,19,4236,9386,405,50579,Austria,ALL
2020-07-14,,,5,1,21,967,597,1990,762,19,4382,9619,388,52338,Austria,ALL
2020-07-15,,,5,0,21,972,598,2012,782,18,4532,9862,371,54155,Austria,ALL
2020-07-16,,,5,0,22,977,598,2034,804,17,4688,10114,354,56032,Austria,ALL
2020-07-17,,,5,0,23,981,598,2057,827,16,4849,10376,339,57972,Austria,ALL
2020-07-18,,,5,0,24,986,599,2080,850,15,5015,10649,324,59977,Austria,ALL
2020-07-19,,,5,0,25,992,599,2105,874,15,5186,10931,310,62047,Austria,ALL
2020-07-20,,,5,0,25,997,600,2130,899,14,5361,11225,296,64184,Austria,ALL
2020-07-21,,,5,0,26,1002,600,2156,925,14,5544,11530,283,66391,Austria,ALL
2020-07-22,,,5,0,27,1007,600,2184,951,13,5732,11846,271,68670,Austria,ALL
2020-07-23,,,6,0,28,1013,601,2212,979,12,5926,12173,259,71024,Austria,ALL
2020-07-24,,,6,0,29,1019,601,2241,1008,12,6123,12513,247,73450,Austria,ALL
2020-07-25,,,6,0,30,1024,601,2271,1037,11,6330,12865,237,75954,Austria,ALL
2020-07-26,,,6,0,31,1030,602,2302,1068,11,6543,13230,226,78540,Austria,ALL
2020-07-27,,,6,0,32,1036,602,2334,1100,10,6763,13607,216,81208,Austria,ALL
2020-07-28,,,6,0,33,1043,602,2368,1133,10,6989,13998,207,83962,Austria,ALL
2020-07-29,,,6,0,35,1049,602,2402,1166,9,7223,14403,198,86803,Austria,ALL
2020-07-30,,,7,0,36,1055,603,2438,1201,9,7464,14822,189,89735,Austria,ALL
2020-07-31,,,7,0,37,1062,603,2475,1238,9,7712,15256,181,92758,Austria,ALL
2020-08-01,,,7,0,38,1069,603,2513,1275,8,7967,15704,173,95876,Austria,ALL
2020-08-02,,,7,0,40,1076,603,2553,1314,8,8230,16168,165,99092,Austria,ALL
2020-08-03,,,7,0,41,1083,604,2594,1353,8,8501,16647,158,102407,Austria,ALL
2020-08-04,,,7,0,42,1091,604,2636,1394,7,8780,17143,151,105826,Austria,ALL
2020-02-14,,,,,,,,,351,100,500,351,100,500,Belgium,ALL
2020-02-15,,,,,,,,,351,100,500,702,200,1000,Belgium,ALL
2020-02-16,,,,,,,,,351,100,500,1053,300,1500,Belgium,ALL
2020-02-17,,,,,,,,,351,100,500,1404,400,2000,Belgium,ALL
2020-02-18,,,,,,,,,351,100,500,1755,500,2500,Belgium,ALL
2020-02-19,,,,,,,,,351,100,500,2106,600,3000,Belgium,ALL
2020-02-20,,,,,,,,,351,100,500,2457,700,3500,Belgium,ALL
2020-02-21,,,,,,,,,351,100,500,2807,800,4000,Belgium,ALL
2020-02-22,,,,,,,,,351,100,500,3158,900,4500,Belgium,ALL
2020-02-23,,,,,,,,,1045,340,1500,4203,1240,6000,Belgium,ALL
2020-02-24,,,,,,,,,1042,339,1496,5245,1579,7495,Belgium,ALL
2020-02-25,,,,,,,,,1108,367,1591,6353,1946,9087,Belgium,ALL
2020-02-26,,,,,,,,,1243,424,1787,7596,2370,10874,Belgium,ALL
2020-02-27,,,,,,,,,1523,541,2191,9120,2911,13065,Belgium,ALL
2020-02-28,,,,,,,,,1961,726,2823,11081,3638,15888,Belgium,ALL
2020-02-29,,,,,,,,,2315,881,3334,13045,4419,18722,Belgium,ALL
2020-03-01,,,,,,,,,2644,1035,3807,15338,5354,22029,Belgium,ALL
2020-03-02,,,,,,,,,3054,1236,4395,18042,6491,25924,Belgium,ALL
2020-03-03,,,,,,,,,3568,1498,5131,21258,7889,30555,Belgium,ALL
2020-03-04,,,,,,,,,4225,1839,6072,25132,9628,36127,Belgium,ALL
2020-03-05,,,,,,,,,4946,2227,7104,29727,11755,42731,Belgium,ALL
2020-03-06,,,,,,,,,5733,2669,8226,35109,14324,50457,Belgium,ALL
2020-03-07,,,,,,,,,6633,3199,9506,41391,17422,59463,Belgium,ALL
2020-03-08,,,,,,,,,7689,3845,11004,48729,21168,69966,Belgium,ALL
2020-03-09,,,,,,,,,8930,4634,12764,56615,25461,81230,Belgium,ALL
2020-03-10,,,,,,,,,10351,5571,14774,65924,30694,94508,Belgium,ALL
2020-03-11,3,3,,,,,,,11952,6678,17032,76768,37005,109949,Belgium,ALL
2020-03-12,0,3,,,,,,,13763,7994,19569,89288,44575,127731,Belgium,ALL
2020-03-13,0,3,,,,,,,15813,9219,22417,103578,53252,147957,Belgium,ALL
2020-03-14,1,4,,,,,,,18118,10638,25553,119735,63164,170687,Belgium,ALL
2020-03-15,0,4,,,,,,,20665,12262,28890,138085,74545,196243,Belgium,ALL
2020-03-16,1,5,,,,,,,23417,13545,32268,158858,87054,224704,Belgium,ALL
