date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,country,region,subregion
2020-02-17,,,,,,,,,65,50,75,65,50,75,65,50,75,2.57593277698,Algeria,ALL,
2020-02-18,,,,,,,,,65,50,75,129,100,150,129,100,150,2.57522981977,Algeria,ALL,
2020-02-19,,,,,,,,,65,50,75,194,150,225,194,150,225,2.57497925265,Algeria,ALL,
2020-02-20,,,,,,,,,65,50,75,259,200,300,259,200,300,2.57463916766,Algeria,ALL,
2020-02-21,,,,,,,,,65,50,75,324,250,375,324,250,375,2.57417735145,Algeria,ALL,
2020-02-22,,,,,,,,,65,50,75,388,300,450,388,300,450,2.57354985163,Algeria,ALL,
2020-02-23,,,,,,,,,65,50,75,453,350,525,453,350,525,2.57269662436,Algeria,ALL,
2020-02-24,,,,,,,,,65,50,75,518,400,600,518,400,600,2.57153553915,Algeria,ALL,
2020-02-25,,,,,,,,,65,50,75,583,450,675,583,450,675,2.56995411638,Algeria,ALL,
2020-02-26,,,,,,,,,230,159,300,813,609,975,813,609,975,2.56776428692,Algeria,ALL,
2020-02-27,,,,,,,,,229,159,299,1042,769,1274,1042,769,1274,2.56481795888,Algeria,ALL,
2020-02-28,,,,,,,,,250,170,332,1292,939,1606,1292,939,1606,2.56078400744,Algeria,ALL,
2020-02-29,,,,,,,,,292,193,398,1584,1133,2004,1584,1133,2004,2.55527478793,Algeria,ALL,
2020-03-01,,,,,,,,,378,242,536,1962,1376,2539,1962,1376,2539,2.5477424026,Algeria,ALL,
2020-03-02,,,,,,,,,514,318,753,2476,1694,3292,2476,1694,3292,2.53743906968,Algeria,ALL,
2020-03-03,,,,,,,,,627,379,941,3038,2024,4157,3103,2074,4232,2.52334985095,Algeria,ALL,
2020-03-04,,,,,,,,,739,438,1139,3712,2412,5220,3842,2512,5370,2.5041192785,Algeria,ALL,
2020-03-05,,,,,,,,,886,512,1403,4534,2874,6548,4728,3024,6773,2.47799114286,Algeria,ALL,
2020-03-06,,,,,,,,,1073,604,1744,5542,3429,8216,5801,3629,8516,2.44279162143,Algeria,ALL,
2020-03-07,,,,,,,,,1306,714,2162,6783,4093,10303,7106,4343,10678,2.39604868754,Algeria,ALL,
2020-03-08,,,,,,,,,1551,816,2584,8269,4859,12812,8658,5159,13262,2.33531374885,Algeria,ALL,
2020-03-09,,,,,,,,,1804,920,2966,10009,5730,15702,10462,6080,16227,2.25865375305,Algeria,ALL,
2020-03-10,,,,,,,,,2069,1034,3582,12013,6714,19208,12531,7114,19808,2.16515998895,Algeria,ALL,
2020-03-11,,,,,,,,,2343,1158,4281,14291,7823,23413,14873,8273,24088,2.05531581226,Algeria,ALL,
2020-03-12,1,1,,,,,,,2609,1278,5020,16670,8942,28133,17483,9551,29107,1.93119822475,Algeria,ALL,
2020-03-13,1,2,,,,,,,2843,1344,5439,19284,10127,33272,20326,10896,34546,1.79650357404,Algeria,ALL,
2020-03-14,1,3,,,,,,,3027,1449,5537,22061,11405,38477,23353,12345,40082,1.65631020886,Algeria,ALL,
2020-03-15,1,4,,,,,,,3156,1406,5679,24926,12618,43757,26510,13751,45761,1.5164969757,Algeria,ALL,
2020-03-16,0,4,,,,,,,3232,1362,5730,27780,13738,48952,29742,15114,51490,1.38289874652,Algeria,ALL,
2020-03-17,0,4,,,,,,,3258,1318,5633,30524,14738,53832,33000,16433,57123,1.26045853002,Algeria,ALL,
2020-03-18,3,7,,,,,,,3239,1276,5501,33136,15635,58391,36238,17710,62623,1.15268930523,Algeria,ALL,
2020-03-19,2,9,,,,,,,3182,1236,5295,35579,16434,62548,39421,18946,67918,1.0615533196,Algeria,ALL,
2020-03-20,2,11,,,,,,,3099,1198,5118,37792,17120,66263,42520,20145,73036,0.987553128342,Algeria,ALL,
2020-03-21,4,15,,,,,,,3000,1161,4938,39719,17677,69457,45520,21306,77973,0.92985036802,Algeria,ALL,
2020-03-22,2,17,,,,,,,2892,1126,4760,41305,18089,72056,48412,22433,82733,0.886503976975,Algeria,ALL,
2020-03-23,0,17,,,,,,,2780,1092,4686,42534,18366,74157,51191,23525,87419,0.854946075674,Algeria,ALL,
2020-03-24,2,19,,,,,,,2666,1061,4547,43396,18506,75738,53858,24587,91965,0.83254356189,Algeria,ALL,
2020-03-25,2,21,,,,,,,2554,1032,4381,43881,18504,76538,56412,25619,96346,0.816996274872,Algeria,ALL,
2020-03-26,4,25,,,,,,,2445,1004,4226,43983,18351,76483,58857,26624,100571,0.806491966743,Algeria,ALL,
2020-03-27,1,26,,,,,,,2339,979,4023,43713,18051,75486,61196,27603,104593,0.799691984838,Algeria,ALL,
2020-03-28,3,29,,,,,,,2239,956,3826,43109,17663,73873,63435,28559,108418,0.795645878855,Algeria,ALL,
2020-03-29,2,31,,,,,,,2143,934,3639,42225,17149,71975,65578,29494,112057,0.793695574866,Algeria,ALL,
2020-03-30,4,35,,,,,,,2053,915,3463,41122,16658,69759,67632,30410,115519,0.79339344703,Algeria,ALL,
2020-03-31,9,44,,,,,,,1969,898,3299,39859,16194,67328,69601,31308,118817,0.794439189147,Algeria,ALL,
2020-04-01,14,58,,,,,,,1890,883,3146,38491,15759,64840,71490,32192,121963,0.79663307823,Algeria,ALL,
2020-04-02,28,86,,,,,,,1816,870,3003,37069,15353,62343,73307,33063,124965,0.799841640768,Algeria,ALL,
2020-04-03,19,105,,,,,,,1748,859,2871,35635,14976,59918,75055,33922,127836,0.803972212305,Algeria,ALL,
2020-04-04,25,130,,,,,,,1686,850,2749,34221,14628,57549,76741,34773,130584,0.808953853304,Algeria,ALL,
2020-04-05,22,152,,,,,,,1628,843,2636,32850,14310,55247,78370,35617,133219,0.814722994355,Algeria,ALL,
2020-04-06,21,173,,,,,,,1576,838,2533,31534,14022,53020,79946,36455,135752,0.821212875427,Algeria,ALL,
2020-04-07,20,193,,,,,,,1529,828,2439,30283,13758,50773,81475,37284,138191,0.82834629513,Algeria,ALL,
2020-04-08,12,205,,,,,,,1486,820,2359,29102,13516,48585,82960,38104,140550,0.836031419277,Algeria,ALL,
2020-04-09,30,235,,,,,,,1447,819,2274,27995,13303,46478,84407,38923,142823,0.844160455697,Algeria,ALL,
2020-04-10,21,256,,,,,,,1412,819,2184,26963,13118,44436,85820,39742,145006,0.85261093773,Algeria,ALL,
2020-04-11,19,275,,,,,,,1382,820,2113,26005,12959,42527,87201,40563,147119,0.861249229175,Algeria,ALL,
2020-04-12,18,293,,,,,,,1354,822,2051,25121,12825,40752,88555,41385,149170,0.869935720534,Algeria,ALL,
2020-04-13,20,313,,,,,,,1330,824,1987,24307,12714,39100,89885,42209,151156,0.878531070709,Algeria,ALL,
2020-04-14,13,326,,,,,,,1308,827,1929,23561,12626,37566,91193,43036,153084,0.886902786076,Algeria,ALL,
2020-04-15,10,336,,,,,,,1289,830,1878,22881,12558,36145,92482,43867,154962,0.894931433341,Algeria,ALL,
2020-04-16,12,348,,,,,,,1272,834,1832,22263,12509,34832,93753,44701,156794,0.902515856899,Algeria,ALL,
2020-04-17,16,364,,,,,,,1256,838,1791,21703,12477,33620,95010,45540,158584,0.90957691125,Algeria,ALL,
2020-04-18,3,367,,,,,,,1243,842,1753,21197,12459,32502,96252,46382,160337,0.916059412944,Algeria,ALL,
2020-04-19,8,375,,,,,,,1230,846,1719,20741,12455,31472,97482,47229,162055,0.921932243605,Algeria,ALL,
2020-04-20,9,384,,,,,,,1219,851,1688,20331,12462,30524,98701,48080,163743,0.927186764275,Algeria,ALL,
2020-04-21,8,392,,,,,,,1208,855,1659,19964,12479,29650,99909,48935,165401,0.931833893221,Algeria,ALL,
2020-04-22,10,402,,,,,,,1199,841,1633,19634,12493,28843,101108,49777,167034,0.935900320077,Algeria,ALL,
2020-04-23,5,407,,,,,,,1190,836,1608,19338,12510,28092,102298,50614,168641,0.939424360562,Algeria,ALL,
2020-04-24,8,415,,,,,,,1181,831,1585,19072,12522,27403,103479,51446,170226,0.942451903192,Algeria,ALL,
2020-04-25,4,419,,,,,,,1173,826,1566,18833,12530,26786,104653,52272,171792,0.945032787755,Algeria,ALL,
2020-04-26,6,425,,,,,,,1166,821,1548,18617,12531,26220,105818,53094,173339,0.947217819728,Algeria,ALL,
2020-04-27,7,432,,,,,,,1158,816,1530,18421,12526,25698,106977,53911,174868,0.949056496967,Algeria,ALL,
2020-04-28,5,437,,,,,,,1151,811,1512,18243,12513,25224,108128,54723,176379,0.950595425509,Algeria,ALL,
2020-04-29,7,444,,,,,,,1144,806,1495,18078,12492,24790,109272,55529,177873,0.951877337844,Algeria,ALL,
2020-04-30,6,450,,,,,,,1137,799,1488,17927,12461,24399,110409,56329,179361,0.952940596751,Algeria,ALL,
