date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,country,region
2020-02-17,,,,,,,,,100,100,100,100,100,100,Austria,ALL
2020-02-18,,,,,,,,,100,100,100,200,200,200,Austria,ALL
2020-02-19,,,,,,,,,100,100,100,300,300,300,Austria,ALL
2020-02-20,,,,,,,,,100,100,100,400,400,400,Austria,ALL
2020-02-21,,,,,,,,,100,100,100,500,500,500,Austria,ALL
2020-02-22,,,,,,,,,100,100,100,600,600,600,Austria,ALL
2020-02-23,,,,,,,,,100,100,100,700,700,700,Austria,ALL
2020-02-24,,,,,,,,,100,100,100,800,800,800,Austria,ALL
2020-02-25,,,,,,,,,100,100,100,900,900,900,Austria,ALL
2020-02-26,,,,,,,,,309,279,350,1209,1179,1250,Austria,ALL
2020-02-27,,,,,,,,,308,278,347,1518,1457,1598,Austria,ALL
2020-02-28,,,,,,,,,329,294,375,1846,1751,1973,Austria,ALL
2020-02-29,,,,,,,,,371,325,432,2217,2076,2405,Austria,ALL
2020-03-01,,,,,,,,,458,389,549,2675,2465,2954,Austria,ALL
2020-03-02,,,,,,,,,593,489,731,3268,2954,3685,Austria,ALL
2020-03-03,,,,,,,,,699,568,880,3867,3422,4465,Austria,ALL
2020-03-04,,,,,,,,,795,638,1021,4562,3960,5386,Austria,ALL
2020-03-05,,,,,,,,,912,721,1196,5374,4581,6482,Austria,ALL
2020-03-06,,,,,,,,,1053,822,1398,6327,5303,7780,Austria,ALL
2020-03-07,,,,,,,,,1225,947,1614,7453,6149,9294,Austria,ALL
2020-03-08,,,,,,,,,1397,1079,1831,8749,7128,11025,Austria,ALL
2020-03-09,,,,,,,,,1560,1212,2009,10209,8240,12933,Austria,ALL
2020-03-10,,,,,,,,,1721,1355,2165,11830,9495,14999,Austria,ALL
2020-03-11,,,,,,,,,1878,1508,2304,13608,10904,17203,Austria,ALL
2020-03-12,1,1,,,,,,,2027,1672,2399,15326,12296,19252,Austria,ALL
2020-03-13,0,1,,,,,,,2155,1809,2550,17172,13827,21454,Austria,ALL
2020-03-14,0,1,,,,,,,2251,1923,2656,19095,15456,23735,Austria,ALL
2020-03-15,0,1,,,,,,,2317,1947,2779,21041,17078,26082,Austria,ALL
2020-03-16,2,3,,,,,,,2352,1924,2851,22935,18613,28384,Austria,ALL
2020-03-17,0,3,,,,,,,2361,1858,2909,24703,19982,30562,Austria,ALL
2020-03-18,1,4,,,,,,,2345,1806,2973,26349,21220,32655,Austria,ALL
2020-03-19,2,6,,,,,,,2308,1744,3035,27862,22326,34669,Austria,ALL
2020-03-20,0,6,,,,,,,2256,1654,3051,29205,23259,36524,Austria,ALL
2020-03-21,2,8,,,,,,,2193,1559,3049,30345,23996,38175,Austria,ALL
2020-03-22,8,16,,,,,,,2124,1466,3034,31243,24515,39595,Austria,ALL
2020-03-23,5,21,,,,,,,2050,1365,3029,31897,24801,40793,Austria,ALL
2020-03-24,7,28,,,,,,,1974,1277,2983,32311,24866,41767,Austria,ALL
2020-03-25,2,30,,,,,,,1897,1197,2943,32487,24709,42545,Austria,ALL
2020-03-26,19,49,,,,,,,1821,1113,2889,32430,24314,43129,Austria,ALL
2020-03-27,9,58,,,,,,,1746,1036,2812,32148,23678,43542,Austria,ALL
2020-03-28,10,68,,,,,,,1672,965,2718,31666,22834,43710,Austria,ALL
2020-03-29,18,86,,,,,,,1602,901,2637,31017,21812,43691,Austria,ALL
2020-03-30,22,108,,,,,,,1534,832,2556,30234,20697,43468,Austria,ALL
2020-03-31,20,128,,,,,,,1468,770,2468,29349,19543,43086,Austria,ALL
2020-04-01,18,146,,,,,,,1406,714,2412,28395,18399,42589,Austria,ALL
2020-04-02,12,158,,,,,,,1346,662,2356,27396,17254,41971,Austria,ALL
2020-04-03,10,168,,,,,,,1290,616,2300,26378,16126,41236,Austria,ALL
2020-04-04,18,186,,,,,,,1236,572,2244,25359,15045,40429,Austria,ALL
2020-04-05,18,204,,,,,,,1185,533,2188,24351,14019,39569,Austria,ALL
2020-04-06,16,220,,,,,,,1137,498,2133,23365,13050,38668,Austria,ALL
2020-04-07,23,243,,,,,,,1091,466,2079,22406,12152,37718,Austria,ALL
2020-04-08,30,273,,,,,,,1048,436,2005,21479,11311,36740,Austria,ALL
2020-04-09,22,295,,,,,,,1007,409,1956,20589,10523,35754,Austria,ALL
2020-04-10,,,22,17,29,317,312,324,968,385,1908,19736,9795,34773,Austria,ALL
2020-04-11,,,22,16,29,339,328,353,931,363,1861,18922,9121,33823,Austria,ALL
