date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,country,region,subregion
2020-02-05,0,0,,,,,,,99,50,150,99,50,150,99,50,150,2.26702378547,US,,
2020-02-06,0,0,,,,,,,99,50,150,199,99,300,198,100,300,2.26681054376,US,,
2020-02-07,0,0,,,,,,,99,50,150,298,150,450,297,150,450,2.26676325275,US,,
2020-02-08,0,0,,,,,,,99,50,150,398,199,600,396,200,600,2.26670546001,US,,
2020-02-09,0,0,,,,,,,249,114,386,646,332,968,645,314,986,2.26663482807,US,,
2020-02-10,0,0,,,,,,,249,114,386,895,452,1348,894,428,1372,2.26654849711,US,,
2020-02-11,0,0,,,,,,,249,114,386,1143,570,1730,1143,542,1758,2.26644296758,US,,
2020-02-12,0,0,,,,,,,249,114,386,1392,687,2113,1392,656,2144,2.26631395596,US,,
2020-02-13,0,0,,,,,,,384,190,610,1776,899,2701,1776,846,2754,2.26615621784,US,,
2020-02-14,0,0,,,,,,,536,284,835,2312,1190,3529,2312,1130,3589,2.26594784939,US,,
2020-02-15,0,0,,,,,,,728,417,1100,3040,1629,4607,3040,1547,4689,2.26571001155,US,,
2020-02-16,0,0,,,,,,,753,434,1133,3793,2073,5728,3793,1981,5822,2.26541517749,US,,
2020-02-17,0,0,,,,,,,2192,1350,2985,5985,3577,8635,5985,3331,8807,2.2650558882,US,,
2020-02-18,0,0,,,,,,,2516,1559,3436,8502,5180,12044,8501,4890,12243,2.26461716122,US,,
2020-02-19,0,0,,,,,,,2996,1937,4020,11498,7154,16029,11497,6827,16263,2.26408072918,US,,
2020-02-20,0,0,,,,,,,3096,2006,4153,14494,9117,20024,14593,8833,20416,2.26342374322,US,,
2020-02-21,0,0,,,,,,,3511,2282,4649,17906,11369,24498,18104,11115,25065,2.26261827929,US,,
2020-02-22,0,0,,,,,,,4367,2909,5770,22174,14259,30082,22471,14024,30835,2.26163196805,US,,
2020-02-23,0,0,,,,,,,5179,3486,6743,27253,17743,36621,27650,17510,37578,2.26042443973,US,,
2020-02-24,0,0,,,,,,,6180,4207,8146,33184,21878,44336,33830,21717,45724,2.25894526077,US,,
2020-02-25,0,0,,,,,,,7120,4978,9267,40056,26789,53173,40950,26695,54991,2.25713237309,US,,
2020-02-26,0,0,,,,,,,11279,7476,14681,51087,34204,67312,52229,34171,69672,2.25490934429,US,,
2020-02-27,0,0,,,,,,,11756,7831,15344,62594,41932,82216,63985,42002,85016,2.25218294166,US,,
2020-02-28,0,0,,,,,,,13637,9144,17912,75847,50882,99472,77622,51146,102928,2.24883846974,US,,
2020-02-29,1,1,,,,,,,15455,10227,20494,90766,60801,119068,93077,61373,123422,2.24473441653,US,,
2020-03-01,0,1,,,,,,,19300,12598,25717,109337,72980,143549,112377,73971,149139,2.23969639735,US,,
2020-03-02,5,6,,,,,,,24730,15915,33333,133314,88481,175551,137107,89886,182472,2.23350974764,US,,
2020-03-03,1,7,,,,,,,30257,19384,41077,161379,106569,213455,167364,109270,223549,2.22591063516,US,,
2020-03-04,4,11,,,,,,,35927,22852,49244,194790,127915,259097,203291,132122,272793,2.21657486308,US,,
2020-03-05,1,12,,,,,,,43767,27834,60493,235561,153891,315437,247058,159956,333286,2.20510451306,US,,
2020-03-06,2,14,,,,,,,52560,33144,73345,285025,185133,384525,299618,193100,406631,2.1910129776,US,,
2020-03-07,3,17,,,,,,,63400,39846,88896,344914,222828,468722,363018,232946,495527,2.17370931426,US,,
2020-03-08,4,21,,,,,,,75513,47641,105442,416060,267650,568400,438531,280587,600969,2.15248459187,US,,
2020-03-09,1,22,,,,,,,88722,56085,122733,499602,320345,684492,527253,336672,723702,2.12650563894,US,,
2020-03-10,6,28,,,,,,,103617,65756,140626,597039,381954,817078,630870,402428,864328,2.09482628103,US,,
2020-03-11,4,32,,,,,,,118785,76690,159067,708704,453671,966982,749655,479118,1023395,2.05643146315,US,,
2020-03-12,11,43,,,,,,,134058,89456,178218,831483,535689,1130527,883713,568574,1201613,2.01033259208,US,,
2020-03-13,9,52,,,,,,,148887,102717,195120,968614,630517,1310345,1032600,671291,1396733,1.95572764375,US,,
2020-03-14,7,59,,,,,,,162463,116607,211332,1117440,737880,1503752,1195063,787898,1608065,1.89222071651,US,,
2020-03-15,13,72,,,,,,,175028,129805,228609,1277014,857385,1711862,1370091,917703,1836674,1.82006288324,US,,
2020-03-16,28,100,,,,,,,186291,139586,243141,1444006,984389,1929242,1556382,1057289,2079815,1.74034258175,US,,
2020-03-17,34,134,,,,,,,196322,151119,256128,1615598,1119838,2151969,1752704,1208408,2335943,1.65504237712,US,,
2020-03-18,57,191,,,,,,,205170,158048,268676,1790511,1258873,2379438,1957874,1366456,2604619,1.56690547895,US,,
2020-03-19,77,268,,,,,,,212865,164924,279875,1967449,1401486,2609858,2170739,1531380,2884494,1.47911365972,US,,
2020-03-20,97,365,,,,,,,219573,172507,285651,2143255,1546795,2834835,2390312,1703887,3170145,1.39484415179,US,,
2020-03-21,90,455,,,,,,,225350,179182,288519,2316045,1693509,3049824,2615662,1883069,3458664,1.31681929644,US,,
2020-03-22,144,599,,,,,,,230245,185061,295350,2482891,1839353,3256100,2845907,2068130,3754014,1.24696900345,US,,
2020-03-23,184,783,,,,,,,234345,190049,297456,2641722,1982518,3447983,3080252,2258179,4051470,1.18628672322,US,,
2020-03-24,235,1018,,,,,,,237685,194345,299305,2790686,2121568,3624393,3317937,2452524,4350775,1.13488950453,US,,
2020-03-25,310,1328,,,,,,,240319,198383,303054,2927388,2254655,3786668,3558256,2650907,4653829,1.09222464351,US,,
