date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,country,region
2020-02-17,,,,,,,,,64,50,75,64,50,75,64,50,75,2.28137168139,Algeria,ALL
2020-02-18,,,,,,,,,64,50,75,128,100,150,128,100,150,2.27617501986,Algeria,ALL
2020-02-19,,,,,,,,,64,50,75,191,150,225,191,150,225,2.275023526,Algeria,ALL
2020-02-20,,,,,,,,,64,50,75,255,200,300,255,200,300,2.27361650569,Algeria,ALL
2020-02-21,,,,,,,,,64,50,75,319,250,375,319,250,375,2.27189700308,Algeria,ALL
2020-02-22,,,,,,,,,64,50,75,383,300,450,383,300,450,2.26979519145,Algeria,ALL
2020-02-23,,,,,,,,,64,50,75,447,350,525,447,350,525,2.26722534158,Algeria,ALL
2020-02-24,,,,,,,,,64,50,75,510,400,600,510,400,600,2.26408199236,Algeria,ALL
2020-02-25,,,,,,,,,64,50,75,574,450,675,574,450,675,2.26023506321,Algeria,ALL
2020-02-26,,,,,,,,,206,149,274,780,599,949,780,599,949,2.25552354031,Algeria,ALL
2020-02-27,,,,,,,,,205,149,271,986,748,1220,986,748,1220,2.24974721751,Algeria,ALL
2020-02-28,,,,,,,,,220,158,293,1206,907,1513,1206,907,1513,2.24265577097,Algeria,ALL
2020-02-29,,,,,,,,,251,177,342,1457,1085,1854,1457,1085,1854,2.23393421118,Algeria,ALL
2020-03-01,,,,,,,,,315,217,442,1772,1303,2296,1772,1303,2296,2.22318356186,Algeria,ALL
2020-03-02,,,,,,,,,414,279,596,2186,1583,2891,2186,1583,2891,2.2098956769,Algeria,ALL
2020-03-03,,,,,,,,,493,329,720,2615,1862,3536,2679,1912,3611,2.19342190503,Algeria,ALL
2020-03-04,,,,,,,,,568,375,838,3119,2187,4299,3247,2287,4449,2.1729377487,Algeria,ALL
2020-03-05,,,,,,,,,661,434,985,3716,2572,5208,3908,2722,5433,2.14741104776,Algeria,ALL
2020-03-06,,,,,,,,,776,488,1158,4428,3010,6290,4683,3210,6590,2.11559057339,Algeria,ALL
2020-03-07,,,,,,,,,917,567,1355,5281,3528,7570,5600,3778,7945,2.07604378777,Algeria,ALL
2020-03-08,,,,,,,,,1061,644,1541,6279,4122,9035,6661,4422,9485,2.02727939333,Algeria,ALL
2020-03-09,,,,,,,,,1205,716,1748,7419,4789,10707,7866,5139,11232,1.96797776019,Algeria,ALL
2020-03-10,,,,,,,,,1350,792,1998,8706,5531,12629,9216,5931,13229,1.89730972653,Algeria,ALL
2020-03-11,,,,,,,,,1497,875,2136,10138,6357,14690,10712,6807,15365,1.81526597929,Algeria,ALL
2020-03-12,1,1,,,,,,,1638,966,2299,11570,7174,16715,12351,7774,17664,1.7228872205,Algeria,ALL
2020-03-13,1,2,,,,,,,1761,1060,2473,13127,8085,18917,14112,8834,20137,1.62230877712,Algeria,ALL
2020-03-14,1,3,,,,,,,1857,1152,2640,14764,9079,21263,15970,9987,22776,1.51659353106,Algeria,ALL
2020-03-15,1,4,,,,,,,1924,1256,2700,16437,10158,23622,17894,11243,25475,1.40938685476,Algeria,ALL
2020-03-16,0,4,,,,,,,1962,1345,2694,18084,11286,25873,19855,12589,28169,1.30447132623,Algeria,ALL
2020-03-17,0,4,,,,,,,1971,1389,2732,19641,12395,28010,21827,13978,30900,1.20532093151,Algeria,ALL
2020-03-18,3,7,,,,,,,1955,1398,2673,21103,13464,29962,23782,15377,33572,1.1147424105,Algeria,ALL
2020-03-19,2,9,,,,,,,1916,1358,2595,22451,14447,31719,25697,16735,36167,1.0346509632,Algeria,ALL
2020-03-20,2,11,,,,,,,1858,1320,2499,23648,15333,33233,27556,18056,38666,0.96598791189,Algeria,ALL
2020-03-21,4,15,,,,,,,1789,1270,2382,24661,16115,34457,29345,19326,41047,0.908769808159,Algeria,ALL
2020-03-22,2,17,,,,,,,1712,1221,2296,25457,16769,35398,31057,20547,43342,0.862252391354,Algeria,ALL
2020-03-23,0,17,,,,,,,1631,1176,2152,26026,17301,36010,32688,21724,45494,0.825177479179,Algeria,ALL
2020-03-24,2,19,,,,,,,1549,1132,2073,26371,17718,36336,34237,22857,47567,0.796046463998,Algeria,ALL
2020-03-25,2,21,,,,,,,1467,1084,1965,26487,18009,36302,35703,23941,49531,0.773355642135,Algeria,ALL
2020-03-26,4,25,,,,,,,1386,1034,1827,26377,18168,35994,37089,24975,51358,0.755751455666,Algeria,ALL
2020-03-27,1,26,,,,,,,1308,984,1740,26047,18186,35435,38398,25960,53098,0.742101426276,Algeria,ALL
2020-03-28,3,29,,,,,,,1234,920,1642,25520,18046,34603,39632,26881,54739,0.731502904223,Algeria,ALL
2020-03-29,2,31,,,,,,,1163,842,1561,24825,17736,33525,40795,27723,56300,0.723257897977,Algeria,ALL
2020-03-30,4,35,,,,,,,1096,771,1483,23997,17250,32308,41891,28494,57782,0.716835713202,Algeria,ALL
2020-03-31,9,44,,,,,,,1033,706,1398,23068,16611,31012,42923,29201,59180,0.711835772702,Algeria,ALL
2020-04-01,14,58,,,,,,,973,647,1334,22070,15869,29614,43897,29848,60513,0.707955858879,Algeria,ALL
2020-04-02,28,86,,,,,,,918,594,1275,21032,15066,28216,44814,30443,61787,0.704966970967,Algeria,ALL
2020-04-03,19,105,,,,,,,866,546,1211,19983,14254,26832,45680,30990,62998,0.702694187027,Algeria,ALL
2020-04-04,25,130,,,,,,,817,511,1151,18942,13445,25483,46497,31501,64148,0.701002368899,Algeria,ALL
2020-04-05,22,152,,,,,,,772,475,1098,17925,12650,24199,47269,31977,65246,0.699785563751,Algeria,ALL
2020-04-06,21,173,,,,,,,730,435,1048,16943,11864,22951,48000,32412,66293,0.698959167733,Algeria,ALL
2020-04-07,20,193,,,,,,,691,399,1001,16003,11087,21800,48691,32811,67294,0.698454154676,Algeria,ALL
2020-04-08,12,205,,,,,,,655,367,965,15109,10322,20692,49345,33179,68258,0.69821287041,Algeria,ALL
2020-04-09,30,235,,,,,,,621,339,938,14263,9577,19665,49966,33518,69196,0.698186035184,Algeria,ALL
2020-04-10,21,256,,,,,,,589,314,918,13466,8857,18755,50555,33833,70113,0.698330688257,Algeria,ALL
2020-04-11,19,275,,,,,,,560,292,884,12717,8165,17899,51115,34125,70996,0.698608863018,Algeria,ALL
2020-04-12,18,293,,,,,,,533,272,853,12016,7517,17110,51648,34398,71849,0.698696782592,Algeria,ALL
2020-04-13,20,313,,,,,,,507,254,829,11360,6929,16378,52155,34653,72677,0.698882047717,Algeria,ALL
2020-04-14,13,326,,,,,,,483,237,810,10747,6396,15705,52638,34891,73487,0.699250479588,Algeria,ALL
2020-04-15,10,336,,,,,,,461,221,793,10175,5912,15100,53099,35113,74279,0.69970516175,Algeria,ALL
2020-04-16,12,348,,,,,,,440,208,775,9642,5472,14541,53539,35321,75054,0.700192262031,Algeria,ALL
2020-04-17,16,364,,,,,,,421,195,751,9146,5073,14017,53960,35517,75804,0.700763656345,Algeria,ALL
2020-04-18,3,367,,,,,,,403,184,726,8683,4711,13532,54363,35701,76530,0.701367334519,Algeria,ALL
2020-04-19,8,375,,,,,,,386,173,703,8251,4373,13085,54749,35875,77233,0.701916024822,Algeria,ALL
2020-04-20,9,384,,,,,,,370,164,682,7849,4062,12669,55118,36039,77914,0.702408745473,Algeria,ALL
2020-04-21,8,392,,,,,,,355,155,664,7474,3781,12285,55473,36194,78578,0.702846397915,Algeria,ALL
2020-04-22,10,402,,,,,,,341,145,645,7123,3528,11929,55814,36340,79222,0.703231459301,Algeria,ALL
2020-04-23,5,407,,,,,,,327,137,626,6796,3298,11590,56141,36477,79848,0.703567651826,Algeria,ALL
2020-04-24,8,415,,,,,,,315,131,609,6490,3090,11262,56456,36609,80457,0.703859636833,Algeria,ALL
2020-04-25,4,419,,,,,,,303,125,593,6204,2901,10937,56759,36734,81050,0.704112775428,Algeria,ALL
