date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,country,region
2020-02-05,0,0,,,,,,,93,50,150,93,50,150,US,
2020-02-06,0,0,,,,,,,93,50,150,185,100,300,US,
2020-02-07,0,0,,,,,,,93,50,150,278,150,450,US,
2020-02-08,0,0,,,,,,,93,50,150,370,200,600,US,
2020-02-09,0,0,,,,,,,254,150,450,624,350,1050,US,
2020-02-10,0,0,,,,,,,254,150,450,876,500,1500,US,
2020-02-11,0,0,,,,,,,254,150,450,1130,650,1950,US,
2020-02-12,0,0,,,,,,,400,250,750,1530,900,2700,US,
2020-02-13,0,0,,,,,,,400,250,750,1927,1150,3450,US,
2020-02-14,0,0,,,,,,,540,330,960,2467,1480,4410,US,
2020-02-15,0,0,,,,,,,716,430,1259,3182,1910,5669,US,
2020-02-16,0,0,,,,,,,752,461,1322,3934,2370,6991,US,
2020-02-17,0,0,,,,,,,873,523,1500,4805,2893,8492,US,
2020-02-18,0,0,,,,,,,1833,1009,2829,6640,3902,11320,US,
2020-02-19,0,0,,,,,,,2407,1397,3617,9044,5299,14938,US,
2020-02-20,0,0,,,,,,,2503,1465,3738,11456,6715,18525,US,
2020-02-21,0,0,,,,,,,3174,1902,4895,14536,8566,23270,US,
2020-02-22,0,0,,,,,,,4310,2533,6423,18750,11048,29541,US,
2020-02-23,0,0,,,,,,,4781,2860,7102,23443,13859,36494,US,
2020-02-24,0,0,,,,,,,6126,3728,9329,29312,17435,45373,US,
2020-02-25,0,0,,,,,,,6745,4148,10135,35806,21433,55058,US,
2020-02-26,0,0,,,,,,,7687,4756,11529,43239,26040,66137,US,
2020-02-27,0,0,,,,,,,10297,6138,15130,53137,31927,80516,US,
2020-02-28,0,0,,,,,,,11861,7210,17435,64600,38888,97202,US,
2020-02-29,1,1,,,,,,,13183,8067,19384,77244,46625,115626,US,
2020-03-01,0,1,,,,,,,15653,9623,23017,92180,55817,137385,US,
2020-03-02,5,6,,,,,,,20305,12491,29787,111734,67846,165850,US,
2020-03-03,1,7,,,,,,,24995,15494,36419,135857,82814,200767,US,
2020-03-04,4,11,,,,,,,30430,19063,44409,164451,100874,242346,US,
2020-03-05,1,12,,,,,,,36046,22892,52481,198091,122367,291210,US,
2020-03-06,2,14,,,,,,,43242,27901,62749,238830,148800,350223,US,
2020-03-07,3,17,,,,,,,51957,34113,74695,287613,181010,420021,US,
2020-03-08,4,21,,,,,,,62577,42146,88540,345881,220624,502141,US,
2020-03-09,1,22,,,,,,,74754,51900,104272,415853,269668,599305,US,
2020-03-10,6,28,,,,,,,88368,62714,122809,498095,328652,712787,US,
2020-03-11,8,36,,,,,,,103032,74646,141628,594385,399151,844274,US,
2020-03-12,4,40,,,,,,,119384,87774,161230,706082,482171,993976,US,
2020-03-13,7,47,,,,,,,136006,101835,181994,831794,577866,1160838,US,
2020-03-14,7,54,,,,,,,152454,115959,199609,972387,686612,1343010,US,
2020-03-15,9,63,,,,,,,167870,129975,216767,1127076,808520,1540397,US,
2020-03-16,22,85,,,,,,,181671,143789,230666,1293093,942689,1748041,US,
2020-03-17,23,108,,,,,,,193752,155338,241274,1466541,1085537,1959529,US,
2020-03-18,10,118,,,,,,,203845,164965,250132,1645397,1235008,2173237,US,
2020-03-19,82,200,,,,,,,211925,172434,256857,1826892,1388369,2385687,US,
2020-03-20,44,244,,,,,,,217982,176996,261951,2008828,1542477,2595157,US,
2020-03-21,63,307,,,,,,,221986,179384,267299,2187574,1693963,2799709,US,
2020-03-22,119,426,,,,,,,224071,179419,271938,2359682,1839276,2996956,US,
2020-03-23,125,551,,,,,,,224408,176662,276715,2521510,1973785,3185127,US,
2020-03-24,153,704,,,,,,,223211,171328,280390,2669965,2093214,3361246,US,
2020-03-25,237,941,,,,,,,220733,165136,281232,2802328,2195637,3519672,US,
2020-03-26,267,1208,,,,,,,217220,157879,282887,2916515,2278867,3660941,US,
2020-03-27,370,1578,,,,,,,212924,148805,283081,3010058,2339903,3782791,US,
2020-03-28,445,2023,,,,,,,208065,140833,282823,3082114,2378899,3883619,US,
2020-03-29,436,2459,,,,,,,202832,131866,282527,3132483,2394811,3966537,US,
2020-03-30,516,2975,,,,,,,197306,122902,279701,3161931,2387736,4029469,US,
2020-03-31,895,3870,,,,,,,191640,114244,277305,3171896,2358192,4076111,US,
2020-04-01,883,4753,,,,,,,185901,105824,274362,3164045,2308681,4109201,US,
2020-04-02,1169,5922,,,,,,,180170,98170,271174,3140369,2241887,4130247,US,
2020-04-03,1162,7084,,,,,,,174505,91141,267750,3102947,2160594,4141137,US,
2020-04-04,1320,8404,,,,,,,168933,84240,263828,3053899,2067835,4143017,US,
2020-04-05,1212,9616,,,,,,,163484,77958,259883,2995395,1966403,4135600,US,
2020-04-06,1162,10778,,,,,,,158187,72046,256001,2929519,1859035,4119666,US,
2020-04-07,1941,12719,,,,,,,153053,66587,251778,2858162,1748966,4094727,US,
2020-04-08,1973,14692,,,,,,,148089,61694,247125,2783044,1639328,4061472,US,
2020-04-09,1783,16475,,,,,,,143293,57163,243073,2705603,1531356,4023298,US,
2020-04-10,2104,18579,,,,,,,138679,52994,238641,2627062,1426469,3979054,US,
2020-04-11,1876,20455,,,,,,,134238,49106,234251,2548364,1326773,3930223,US,
2020-04-12,1560,22015,,,,,,,129959,45575,230110,2470265,1231517,3877512,US,
2020-04-13,1505,23520,,,,,,,125859,42334,225923,2393287,1141984,3820910,US,
2020-04-14,2321,25841,,,,,,,121912,39363,221887,2317894,1058443,3763096,US,
2020-04-15,2485,28326,,,,,,,118123,36614,218306,2244373,980815,3704097,US,
2020-04-16,,,2175,1655,2744,30501,29981,31070,114482,34045,214669,2172958,909036,3644406,US,
2020-04-17,,,2147,1584,2765,32644,31572,33831,110990,31673,210643,2103780,842538,3583873,US,
2020-04-18,,,2115,1510,2778,34757,33078,36609,107630,29506,207237,2036904,780908,3523359,US,
2020-04-19,,,2070,1432,2781,36825,34512,39393,104405,27523,203753,1972374,724200,3463290,US,
2020-04-20,,,2021,1341,2787,38849,35853,42175,101302,25719,200037,1910188,671960,3403434,US,
2020-04-21,,,1972,1251,2777,40820,37113,44945,98318,24057,196462,1850319,623967,3343891,US,
2020-04-22,,,1917,1170,2752,42738,38279,47700,95447,22493,192786,1792719,579877,3284898,US,
2020-04-23,,,1864,1085,2726,44602,39367,50427,92694,21113,189419,1737320,539293,3227190,US,
2020-04-24,,,1807,1006,2696,46410,40377,53122,90031,19833,186058,1684059,501961,3170175,US,
2020-04-25,,,1754,935,2667,48161,41310,55789,87474,18634,182762,1632854,467598,3114296,US,
2020-04-26,,,1702,867,2630,49862,42177,58420,85005,17526,179540,1583628,436021,3059582,US,
2020-04-27,,,1649,800,2595,51501,42985,61014,82630,16493,176428,1536294,406935,3005893,US,
2020-04-28,,,1597,742,2556,53097,43728,63571,80337,15545,173378,1490783,380148,2953350,US,
2020-04-29,,,1545,686,2519,54637,44411,66089,78127,14679,170392,1446996,355461,2901855,US,
2020-04-30,,,1493,634,2475,56123,45048,68560,75991,13903,167441,1404865,332737,2850993,US,
2020-05-01,,,1447,591,2434,57569,45632,70995,73932,13175,164476,1364313,311872,2800793,US,
2020-05-02,,,1398,540,2390,58968,46184,73381,71942,12458,161594,1325271,292656,2751746,US,
2020-05-03,,,1355,504,2349,60317,46689,75731,70017,11821,158668,1287658,274969,2703180,US,
2020-05-04,,,1311,468,2307,61630,47156,78031,68161,11236,155761,1251417,258682,2655191,US,
2020-05-05,,,1271,435,2266,62892,47593,80297,66364,10693,153017,1216473,243659,2608172,US,
2020-05-06,,,1227,399,2223,64126,47999,82519,64622,10219,150325,1182779,229819,2562040,US,
2020-05-07,,,1186,371,2189,65315,48372,84709,62941,9747,147661,1150265,217068,2516913,US,
2020-05-08,,,1153,346,2154,66469,48723,86854,61303,9305,145076,1118876,205268,2472568,US,
2020-05-09,,,1121,324,2111,67584,49051,88966,59722,8887,142516,1088569,194321,2429023,US,
2020-05-10,,,1085,300,2078,68666,49357,91038,58192,8477,140067,1059289,184164,2386337,US,
2020-05-11,,,1055,280,2042,69718,49634,93085,56708,8089,137585,1030987,174725,2344379,US,
