date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,country,region
2020-02-17,,,,,,,,,163,50,250,163,50,250,163,50,250,Austria,ALL
2020-02-18,,,,,,,,,163,50,250,326,100,500,326,100,500,Austria,ALL
2020-02-19,,,,,,,,,163,50,250,488,150,750,488,150,750,Austria,ALL
2020-02-20,,,,,,,,,163,50,250,651,200,1000,651,200,1000,Austria,ALL
2020-02-21,,,,,,,,,163,50,250,814,250,1250,814,250,1250,Austria,ALL
2020-02-22,,,,,,,,,163,50,250,977,300,1500,977,300,1500,Austria,ALL
2020-02-23,,,,,,,,,163,50,250,1139,350,1750,1139,350,1750,Austria,ALL
2020-02-24,,,,,,,,,163,50,250,1302,400,2000,1302,400,2000,Austria,ALL
2020-02-25,,,,,,,,,163,50,250,1465,450,2250,1465,450,2250,Austria,ALL
2020-02-26,,,,,,,,,441,159,681,1906,609,2931,1906,609,2931,Austria,ALL
2020-02-27,,,,,,,,,439,159,676,2345,769,3607,2345,769,3607,Austria,ALL
2020-02-28,,,,,,,,,462,171,708,2807,940,4314,2807,940,4314,Austria,ALL
2020-02-29,,,,,,,,,508,194,773,3315,1135,5086,3315,1135,5086,Austria,ALL
2020-03-01,,,,,,,,,604,243,909,3918,1379,5994,3918,1379,5994,Austria,ALL
2020-03-02,,,,,,,,,752,320,1133,4671,1700,7127,4671,1700,7127,Austria,ALL
2020-03-03,,,,,,,,,866,383,1282,5374,2033,8158,5536,2083,8408,Austria,ALL
2020-03-04,,,,,,,,,961,443,1431,6172,2427,9338,6498,2527,9838,Austria,ALL
2020-03-05,,,,,,,,,1071,520,1602,7081,2897,10690,7569,3047,11440,Austria,ALL
2020-03-06,,,,,,,,,1198,616,1751,8115,3464,12190,8766,3664,13190,Austria,ALL
2020-03-07,,,,,,,,,1347,739,1957,9299,4153,13897,10113,4403,15147,Austria,ALL
