date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,country,region
2020-02-17,,,,,,,,,Austria,ALL
2020-02-18,,,,,,,,,Austria,ALL
2020-02-19,,,,,,,,,Austria,ALL
2020-02-20,,,,,,,,,Austria,ALL
2020-02-21,,,,,,,,,Austria,ALL
2020-02-22,,,,,,,,,Austria,ALL
2020-02-23,,,,,,,,,Austria,ALL
2020-02-24,,,,,,,,,Austria,ALL
2020-02-25,,,,,,,,,Austria,ALL
2020-02-26,,,,,,,,,Austria,ALL
2020-02-27,,,,,,,,,Austria,ALL
2020-02-28,,,,,,,,,Austria,ALL
2020-02-29,,,,,,,,,Austria,ALL
2020-03-01,,,,,,,,,Austria,ALL
2020-03-02,,,,,,,,,Austria,ALL
2020-03-03,,,,,,,,,Austria,ALL
2020-03-04,,,,,,,,,Austria,ALL
2020-03-05,,,,,,,,,Austria,ALL
2020-03-06,,,,,,,,,Austria,ALL
2020-03-07,,,,,,,,,Austria,ALL
2020-03-08,,,,,,,,,Austria,ALL
2020-03-09,,,,,,,,,Austria,ALL
2020-03-10,,,,,,,,,Austria,ALL
2020-03-11,,,,,,,,,Austria,ALL
2020-03-12,1,1,,,,,,,Austria,ALL
2020-03-13,0,1,,,,,,,Austria,ALL
2020-03-14,0,1,,,,,,,Austria,ALL
2020-03-15,0,1,,,,,,,Austria,ALL
2020-03-16,2,3,,,,,,,Austria,ALL
2020-03-17,0,3,,,,,,,Austria,ALL
2020-03-18,1,4,,,,,,,Austria,ALL
2020-03-19,2,6,,,,,,,Austria,ALL
2020-03-20,0,6,,,,,,,Austria,ALL
2020-03-21,2,8,,,,,,,Austria,ALL
2020-03-22,8,16,,,,,,,Austria,ALL
2020-03-23,5,21,,,,,,,Austria,ALL
2020-03-24,7,28,,,,,,,Austria,ALL
2020-03-25,2,30,,,,,,,Austria,ALL
2020-03-26,19,49,,,,,,,Austria,ALL
2020-03-27,9,58,,,,,,,Austria,ALL
2020-03-28,10,68,,,,,,,Austria,ALL
2020-03-29,18,86,,,,,,,Austria,ALL
2020-03-30,22,108,,,,,,,Austria,ALL
2020-03-31,20,128,,,,,,,Austria,ALL
2020-04-01,18,146,,,,,,,Austria,ALL
2020-04-02,12,158,,,,,,,Austria,ALL
2020-04-03,10,168,,,,,,,Austria,ALL
2020-04-04,18,186,,,,,,,Austria,ALL
2020-04-05,18,204,,,,,,,Austria,ALL
2020-04-06,16,220,,,,,,,Austria,ALL
2020-04-07,23,243,,,,,,,Austria,ALL
2020-04-08,,,18,12,25,261,255,268,Austria,ALL
2020-04-09,,,18,11,26,280,266,294,Austria,ALL
2020-04-10,,,18,10,27,297,276,321,Austria,ALL
2020-04-11,,,17,8,28,314,284,349,Austria,ALL
2020-04-12,,,16,7,28,330,291,377,Austria,ALL
2020-04-13,,,16,6,29,346,297,407,Austria,ALL
2020-04-14,,,15,5,29,361,302,436,Austria,ALL
2020-04-15,,,14,4,29,375,306,465,Austria,ALL
2020-04-16,,,13,3,29,388,309,494,Austria,ALL
2020-04-17,,,13,3,29,401,312,523,Austria,ALL
2020-04-18,,,12,2,29,413,314,552,Austria,ALL
2020-04-19,,,11,2,28,424,316,581,Austria,ALL
2020-04-20,,,11,2,28,435,318,609,Austria,ALL
2020-04-21,,,10,1,28,445,319,637,Austria,ALL
2020-04-22,,,9,1,28,454,320,665,Austria,ALL
2020-04-23,,,9,1,27,463,321,693,Austria,ALL
2020-04-24,,,8,1,27,471,322,720,Austria,ALL
2020-04-25,,,8,1,26,479,323,746,Austria,ALL
2020-04-26,,,7,1,26,487,324,772,Austria,ALL
2020-04-27,,,7,1,25,493,325,797,Austria,ALL
2020-04-28,,,7,1,24,500,326,821,Austria,ALL
2020-04-29,,,6,1,23,506,327,844,Austria,ALL
2020-04-30,,,6,1,22,512,328,866,Austria,ALL
2020-05-01,,,5,0,22,517,328,888,Austria,ALL
2020-05-02,,,5,0,21,522,328,909,Austria,ALL
2020-05-03,,,5,0,20,527,328,929,Austria,ALL
2020-05-04,,,4,0,19,531,328,948,Austria,ALL
2020-05-05,,,4,0,18,536,328,966,Austria,ALL
2020-05-06,,,4,0,17,540,328,983,Austria,ALL
2020-05-07,,,4,0,16,543,328,1000,Austria,ALL
2020-05-08,,,3,0,15,547,328,1015,Austria,ALL
2020-05-09,,,3,0,15,550,328,1030,Austria,ALL
2020-05-10,,,3,0,14,553,328,1044,Austria,ALL
2020-05-11,,,3,0,13,556,328,1057,Austria,ALL
2020-05-12,,,3,0,12,559,328,1069,Austria,ALL
2020-05-13,,,3,0,12,562,328,1081,Austria,ALL
2020-05-14,,,3,0,11,564,328,1093,Austria,ALL
2020-05-15,,,2,0,11,567,328,1104,Austria,ALL
2020-05-16,,,2,0,10,569,328,1114,Austria,ALL
2020-05-17,,,2,0,9,571,328,1123,Austria,ALL
2020-05-18,,,2,0,9,573,328,1132,Austria,ALL
2020-05-19,,,2,0,8,575,328,1140,Austria,ALL
2020-05-20,,,2,0,8,577,328,1148,Austria,ALL
2020-05-21,,,2,0,8,579,328,1156,Austria,ALL
2020-05-22,,,2,0,7,581,328,1163,Austria,ALL
2020-05-23,,,2,0,7,583,328,1170,Austria,ALL
2020-05-24,,,2,0,7,584,328,1177,Austria,ALL
2020-05-25,,,1,0,6,586,328,1184,Austria,ALL
2020-05-26,,,1,0,6,587,328,1190,Austria,ALL
2020-05-27,,,1,0,6,588,328,1196,Austria,ALL
2020-05-28,,,1,0,6,590,328,1202,Austria,ALL
2020-05-29,,,1,0,6,591,328,1208,Austria,ALL
2020-05-30,,,1,0,5,592,328,1213,Austria,ALL
2020-05-31,,,1,0,5,593,328,1218,Austria,ALL
2020-06-01,,,1,0,5,594,328,1223,Austria,ALL
2020-06-02,,,1,0,4,595,328,1227,Austria,ALL
2020-06-03,,,1,0,4,596,328,1231,Austria,ALL
2020-06-04,,,1,0,4,597,328,1236,Austria,ALL
2020-06-05,,,1,0,4,597,328,1240,Austria,ALL
2020-06-06,,,1,0,4,598,328,1244,Austria,ALL
2020-06-07,,,1,0,4,599,328,1248,Austria,ALL
