date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,country,region
2020-02-17,,,,,,,,,163,50,250,163,50,250,163,50,250,Austria,ALL
2020-02-18,,,,,,,,,163,50,250,326,100,500,326,100,500,Austria,ALL
2020-02-19,,,,,,,,,163,50,250,489,150,750,489,150,750,Austria,ALL
2020-02-20,,,,,,,,,163,50,250,651,200,1000,651,200,1000,Austria,ALL
2020-02-21,,,,,,,,,163,50,250,814,250,1250,814,250,1250,Austria,ALL
2020-02-22,,,,,,,,,163,50,250,977,300,1500,977,300,1500,Austria,ALL
2020-02-23,,,,,,,,,163,50,250,1140,350,1750,1140,350,1750,Austria,ALL
2020-02-24,,,,,,,,,163,50,250,1303,400,2000,1303,400,2000,Austria,ALL
2020-02-25,,,,,,,,,163,50,250,1466,450,2250,1466,450,2250,Austria,ALL
2020-02-26,,,,,,,,,441,159,674,1907,609,2924,1907,609,2924,Austria,ALL
2020-02-27,,,,,,,,,439,159,670,2346,769,3593,2346,769,3593,Austria,ALL
2020-02-28,,,,,,,,,462,171,700,2808,940,4292,2808,940,4292,Austria,ALL
2020-02-29,,,,,,,,,508,194,765,3316,1135,5057,3316,1135,5057,Austria,ALL
2020-03-01,,,,,,,,,604,243,898,3920,1379,5955,3920,1379,5955,Austria,ALL
2020-03-02,,,,,,,,,752,320,1132,4672,1699,7086,4672,1699,7086,Austria,ALL
2020-03-03,,,,,,,,,866,383,1282,5375,2033,8118,5538,2083,8368,Austria,ALL
2020-03-04,,,,,,,,,961,443,1430,6174,2426,9297,6499,2526,9797,Austria,ALL
2020-03-05,,,,,,,,,1071,519,1600,7082,2896,10647,7571,3046,11397,Austria,ALL
2020-03-06,,,,,,,,,1198,615,1749,8117,3462,12146,8768,3662,13146,Austria,ALL
2020-03-07,,,,,,,,,1347,738,1955,9301,4150,13850,10115,4400,15100,Austria,ALL
