date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper,country,region,subregion
2020-02-17,,,,,,,,,73,37,100,73,37,100,73,37,100,2.6374310137,2.2,3,Algeria,ALL,
2020-02-18,,,,,,,,,73,37,100,145,74,200,145,74,200,2.63717855804,2.19992821939,2.99999729224,Algeria,ALL,
2020-02-19,,,,,,,,,73,37,100,218,111,300,218,111,300,2.63706670318,2.1998974567,2.9999919869,Algeria,ALL,
2020-02-20,,,,,,,,,73,37,100,290,148,400,290,148,400,2.63690479772,2.19985163983,2.9999818406,Algeria,ALL,
2020-02-21,,,,,,,,,73,37,100,363,185,500,363,185,500,2.63667011308,2.19978163618,2.99996387818,Algeria,ALL,
2020-02-22,,,,,,,,,73,37,100,435,222,600,435,222,600,2.63632943001,2.19968111845,2.99993273609,Algeria,ALL,
2020-02-23,,,,,,,,,73,37,100,508,259,700,508,259,700,2.63583413017,2.19950451602,2.99988230173,Algeria,ALL,
2020-02-24,,,,,,,,,73,37,100,580,296,800,580,296,800,2.63511298336,2.19922772607,2.99979368792,Algeria,ALL,
2020-02-25,,,,,,,,,73,37,100,653,333,900,653,333,900,2.6340615743,2.19879179835,2.99964424008,Algeria,ALL,
2020-02-26,,,,,,,,,264,131,384,917,464,1284,917,464,1284,2.63250113806,2.19808143116,2.99936459983,Algeria,ALL,
2020-02-27,,,,,,,,,263,131,383,1180,595,1666,1180,595,1666,2.63025599704,2.19723868625,2.99894090196,Algeria,ALL,
2020-02-28,,,,,,,,,287,143,424,1467,739,2090,1467,739,2090,2.62696829535,2.19593627149,2.99822510041,Algeria,ALL,
2020-02-29,,,,,,,,,337,165,505,1804,905,2594,1804,905,2594,2.62217256691,2.19423207883,2.99706539628,Algeria,ALL,
2020-03-01,,,,,,,,,439,208,680,2243,1113,3274,2243,1113,3274,2.61518628622,2.19204095902,2.99511267269,Algeria,ALL,
2020-03-02,,,,,,,,,600,275,955,2843,1389,4228,2843,1389,4228,2.60504366052,2.18862102542,2.99187254814,Algeria,ALL,
2020-03-03,,,,,,,,,735,329,1174,3506,1681,5302,3578,1718,5402,2.59040840377,2.18393680603,2.98650201355,Algeria,ALL,
2020-03-04,,,,,,,,,870,381,1389,4303,2026,6591,4449,2100,6791,2.56949940134,2.17730530194,2.97762414,Algeria,ALL,
2020-03-05,,,,,,,,,1046,454,1696,5277,2443,8186,5495,2554,8486,2.54007559489,2.15424524586,2.96351106858,Algeria,ALL,
2020-03-06,,,,,,,,,1270,549,2099,6474,2956,10184,6764,3104,10584,2.49954429191,2.11781466051,2.93992045898,Algeria,ALL,
2020-03-07,,,,,,,,,1546,673,2603,7948,3592,12686,8311,3777,13186,2.44528989507,2.02165880666,2.90356563391,Algeria,ALL,
2020-03-08,,,,,,,,,1836,812,3157,9711,4368,15743,10146,4590,16343,2.37523213519,1.88549796679,2.84374000393,Algeria,ALL,
2020-03-09,,,,,,,,,2130,954,3705,11768,5286,19348,12276,5545,20048,2.2884488782,1.72534840261,2.76829010604,Algeria,ALL,
2020-03-10,,,,,,,,,2437,1126,4313,14133,6375,23560,14714,6671,24360,2.18556626547,1.55116763992,2.73857002258,Algeria,ALL,
2020-03-11,,,,,,,,,2754,1278,5014,16814,7616,28473,17467,7949,29373,2.06872825805,1.38111052725,2.66183733962,Algeria,ALL,
2020-03-12,1,1,,,,,,,3065,1365,5657,19615,8851,33746,20532,9315,35029,1.94126353404,1.24205600089,2.56384632935,Algeria,ALL,
2020-03-13,1,2,,,,,,,3343,1466,6321,22696,10185,39684,23875,10781,41350,1.80728175441,1.11472300329,2.40959499084,Algeria,ALL,
2020-03-14,1,3,,,,,,,3573,1566,6716,25981,11609,45976,27448,12348,48065,1.67130033804,1.03873883394,2.30472198563,Algeria,ALL,
