date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,country,region
2020-02-17,,,,,,,,,129,100,200,129,100,200,129,100,200,Austria,ALL
2020-02-18,,,,,,,,,129,100,200,258,200,400,258,200,400,Austria,ALL
2020-02-19,,,,,,,,,129,100,200,386,300,600,386,300,600,Austria,ALL
2020-02-20,,,,,,,,,129,100,200,515,400,800,515,400,800,Austria,ALL
2020-02-21,,,,,,,,,129,100,200,644,500,1000,644,500,1000,Austria,ALL
2020-02-22,,,,,,,,,129,100,200,773,600,1200,773,600,1200,Austria,ALL
2020-02-23,,,,,,,,,129,100,200,902,700,1400,902,700,1400,Austria,ALL
2020-02-24,,,,,,,,,129,100,200,1031,800,1600,1031,800,1600,Austria,ALL
2020-02-25,,,,,,,,,129,100,200,1159,900,1800,1159,900,1800,Austria,ALL
2020-02-26,,,,,,,,,367,259,560,1527,1159,2360,1527,1159,2360,Austria,ALL
2020-02-27,,,,,,,,,366,259,558,1893,1419,2918,1893,1419,2918,Austria,ALL
2020-02-28,,,,,,,,,388,271,589,2281,1690,3506,2281,1690,3506,Austria,ALL
2020-02-29,,,,,,,,,431,295,651,2712,1985,4156,2712,1985,4156,Austria,ALL
2020-03-01,,,,,,,,,521,346,779,3233,2332,4935,3233,2332,4935,Austria,ALL
2020-03-02,,,,,,,,,661,426,978,3894,2758,5912,3894,2758,5912,Austria,ALL
2020-03-03,,,,,,,,,772,487,1131,4537,3146,6842,4666,3246,7042,Austria,ALL
2020-03-04,,,,,,,,,870,540,1261,5278,3586,7902,5535,3786,8302,Austria,ALL
2020-03-05,,,,,,,,,987,600,1413,6135,4087,9114,6522,4387,9714,Austria,ALL
2020-03-06,,,,,,,,,1126,672,1602,7132,4659,10516,7648,5059,11316,Austria,ALL
2020-03-07,,,,,,,,,1293,761,1808,8296,5321,12124,8940,5821,13124,Austria,ALL
2020-03-08,,,,,,,,,1455,854,2030,9622,6076,13954,10395,6676,15154,Austria,ALL
2020-03-09,,,,,,,,,1601,947,2211,11094,6924,15965,11996,7624,17365,Austria,ALL
2020-03-10,,,,,,,,,1732,1044,2373,12697,7868,18137,13728,8668,19737,Austria,ALL
2020-03-11,,,,,,,,,1846,1144,2461,14415,8912,20398,15574,9812,22198,Austria,ALL
2020-03-12,1,1,,,,,,,1940,1249,2524,15987,9902,22362,17514,11062,24722,Austria,ALL
2020-03-13,0,1,,,,,,,2004,1346,2632,17625,10989,24436,19519,12408,27353,Austria,ALL
2020-03-14,0,1,,,,,,,2036,1432,2698,19274,12150,26546,21555,13841,30051,Austria,ALL
2020-03-15,0,1,,,,,,,2041,1493,2743,20884,13348,28638,23596,15334,32794,Austria,ALL
2020-03-16,2,3,,,,,,,2025,1521,2773,22389,14522,30632,25621,16855,35566,Austria,ALL
2020-03-17,0,3,,,,,,,1995,1522,2703,23722,15618,32357,27616,18377,38268,Austria,ALL
2020-03-18,1,4,,,,,,,1953,1497,2650,24904,16628,33877,29569,19874,40918,Austria,ALL
2020-03-19,2,6,,,,,,,1904,1463,2608,25938,17551,35224,31474,21338,43526,Austria,ALL
2020-03-20,0,6,,,,,,,1851,1415,2509,26803,18366,36320,33324,22753,46034,Austria,ALL
2020-03-21,2,8,,,,,,,1796,1374,2418,27473,19068,37136,35121,24128,48451,Austria,ALL
2020-03-22,8,16,,,,,,,1742,1312,2321,27923,19619,37648,36863,25441,50772,Austria,ALL
2020-03-23,5,21,,,,,,,1689,1263,2239,28157,20028,37857,38552,26704,53010,Austria,ALL
2020-03-24,7,28,,,,,,,1638,1197,2182,28194,20278,37828,40190,27902,55192,Austria,ALL
2020-03-25,2,30,,,,,,,1588,1148,2116,28050,20382,37571,41778,29050,57307,Austria,ALL
2020-03-26,19,49,,,,,,,1540,1098,2070,27743,20336,37179,43318,30148,59377,Austria,ALL
2020-03-27,9,58,,,,,,,1494,1045,2025,27297,20132,36681,44812,31194,61402,Austria,ALL
2020-03-28,10,68,,,,,,,1450,999,1987,26743,19785,36036,46262,32194,63389,Austria,ALL
2020-03-29,18,86,,,,,,,1408,961,1960,26115,19315,35298,47670,33156,65348,Austria,ALL
2020-03-30,22,108,,,,,,,1368,917,1918,25441,18739,34472,49038,34073,67266,Austria,ALL
2020-03-31,20,128,,,,,,,1329,874,1892,24745,18093,33592,50367,34948,69158,Austria,ALL
2020-04-01,18,146,,,,,,,1293,830,1872,24043,17401,32761,51659,35779,71029,Austria,ALL
2020-04-02,12,158,,,,,,,1257,790,1851,23347,16695,31961,52917,36570,72879,Austria,ALL
2020-04-03,10,168,,,,,,,1224,757,1834,22667,15989,31187,54140,37328,74712,Austria,ALL
2020-04-04,18,186,,,,,,,1191,724,1817,22007,15298,30496,55332,38052,76529,Austria,ALL
2020-04-05,18,204,,,,,,,1161,694,1811,21372,14618,29889,56492,38746,78340,Austria,ALL
2020-04-06,16,220,,,,,,,1131,661,1803,20760,13966,29372,57624,39408,80143,Austria,ALL
2020-04-07,23,243,,,,,,,1103,630,1798,20174,13333,28930,58726,40038,81940,Austria,ALL
2020-04-08,30,273,,,,,,,1075,601,1788,19612,12737,28536,59802,40640,83728,Austria,ALL
2020-04-09,22,295,,,,,,,1049,574,1781,19073,12164,28202,60851,41214,85509,Austria,ALL
2020-04-10,24,319,,,,,,,1024,549,1774,18557,11614,27906,61875,41763,87283,Austria,ALL
2020-04-11,18,337,,,,,,,1000,525,1767,18064,11094,27648,62875,42289,89050,Austria,ALL
2020-04-12,13,350,,,,,,,977,502,1760,17590,10597,27421,63852,42791,90809,Austria,ALL
2020-04-13,18,368,,,,,,,955,481,1753,17137,10116,27214,64807,43273,92561,Austria,ALL
2020-04-14,16,384,,,,,,,933,461,1745,16702,9661,27041,65740,43735,94306,Austria,ALL
2020-04-15,9,393,,,,,,,912,443,1738,16285,9229,26886,66652,44178,96043,Austria,ALL
2020-04-16,17,410,,,,,,,892,425,1730,15885,8823,26744,67545,44603,97772,Austria,ALL
2020-04-17,21,431,,,,,,,873,408,1707,15501,8442,26601,68418,45012,99479,Austria,ALL
2020-04-18,12,443,,,,,,,854,393,1695,15132,8077,26462,69272,45405,101174,Austria,ALL
2020-04-19,9,452,,,,,,,836,378,1687,14777,7731,26331,70108,45783,102860,Austria,ALL
2020-04-20,18,470,,,,,,,819,364,1679,14435,7401,26199,70927,46148,104539,Austria,ALL
2020-04-21,21,491,,,,,,,802,351,1671,14106,7091,26067,71730,46499,106209,Austria,ALL
2020-04-22,19,510,,,,,,,786,338,1663,13789,6799,25932,72516,46838,107871,Austria,ALL
2020-04-23,12,522,,,,,,,770,326,1654,13484,6525,25798,73286,47165,109525,Austria,ALL
2020-04-24,8,530,,,,,,,755,315,1646,13189,6266,25662,74040,47481,111171,Austria,ALL
2020-04-25,6,536,,,,,,,740,305,1637,12905,6022,25524,74780,47786,112807,Austria,ALL
2020-04-26,6,542,,,,,,,725,295,1618,12630,5792,25375,75506,48081,114424,Austria,ALL
2020-04-27,,,12,7,19,554,549,561,711,285,1609,12365,5575,25223,76217,48367,116032,Austria,ALL
2020-04-28,,,11,6,19,565,555,579,698,276,1600,12108,5370,25071,76915,48643,117632,Austria,ALL
2020-04-29,,,11,6,18,576,562,597,684,267,1591,11859,5176,24917,77599,48911,119223,Austria,ALL
2020-04-30,,,11,6,18,587,568,614,672,259,1582,11618,4992,24762,78271,49170,120805,Austria,ALL
2020-05-01,,,11,5,18,597,573,632,659,251,1573,11385,4818,24606,78930,49422,122378,Austria,ALL
2020-05-02,,,10,5,18,608,579,650,647,244,1564,11159,4653,24463,79576,49666,123941,Austria,ALL
2020-05-03,,,10,5,18,618,584,668,635,236,1555,10939,4497,24323,80211,49902,125496,Austria,ALL
2020-05-04,,,10,5,18,627,589,685,623,229,1546,10725,4348,24182,80834,50132,127041,Austria,ALL
2020-05-05,,,10,4,18,637,594,703,611,223,1536,10518,4207,24039,81445,50356,128577,Austria,ALL
2020-05-06,,,9,4,18,646,599,720,600,216,1527,10316,4073,23895,82045,50572,130104,Austria,ALL
2020-05-07,,,9,4,18,656,603,738,589,210,1517,10119,3945,23750,82635,50783,131620,Austria,ALL
2020-05-08,,,9,4,18,664,608,755,579,204,1508,9928,3823,23603,83213,50988,133128,Austria,ALL
2020-05-09,,,9,4,18,673,612,772,568,199,1498,9741,3706,23455,83781,51187,134625,Austria,ALL
