date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper,country,region,subregion
2020-02-17,,,,,,,,,74,38,106,74,38,106,74,38,106,2.57523764557,2.2,3,Algeria,ALL,
2020-02-18,,,,,,,,,74,38,106,148,76,212,148,76,212,2.57500618051,2.19972205992,2.99998678501,Algeria,ALL,
2020-02-19,,,,,,,,,74,38,106,223,114,318,223,114,318,2.57490493619,2.19957369093,2.99997420097,Algeria,ALL,
2020-02-20,,,,,,,,,74,38,106,297,152,423,297,152,423,2.57475892616,2.19934720937,2.99995397647,Algeria,ALL,
2020-02-21,,,,,,,,,74,38,106,371,190,529,371,190,529,2.57454802551,2.19903100349,2.99992036156,Algeria,ALL,
2020-02-22,,,,,,,,,74,38,106,445,228,635,445,228,635,2.57424288583,2.19853297441,2.99986491872,Algeria,ALL,
2020-02-23,,,,,,,,,74,38,106,519,266,740,519,266,740,2.57380063102,2.19776050735,2.99977398302,Algeria,ALL,
2020-02-24,,,,,,,,,74,38,106,593,304,846,593,304,846,2.57315852497,2.19669278559,2.99962544479,Algeria,ALL,
2020-02-25,,,,,,,,,74,38,106,668,342,952,668,342,952,2.57222466814,2.1951704751,2.99938356025,Algeria,ALL,
2020-02-26,,,,,,,,,264,134,397,932,476,1348,932,476,1348,2.57083881068,2.1929234833,2.99895491532,Algeria,ALL,
2020-02-27,,,,,,,,,263,133,395,1195,610,1743,1195,610,1743,2.56885162438,2.18936349756,2.99833967177,Algeria,ALL,
2020-02-28,,,,,,,,,287,144,437,1482,755,2179,1482,755,2179,2.56594407949,2.18374185221,2.99743103571,Algeria,ALL,
2020-02-29,,,,,,,,,334,168,518,1816,924,2696,1816,924,2696,2.56170477207,2.17499259817,2.9958342839,Algeria,ALL,
2020-03-01,,,,,,,,,434,214,691,2250,1138,3386,2250,1138,3386,2.55552650115,2.16168559408,2.99325682826,Algeria,ALL,
