date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,country,region,subregion
2020-02-25,,,,,,,,,45,30,50,45,30,50,45,30,50,1.80740740741,Canada,ALL,Alberta
2020-02-26,,,,,,,,,45,30,50,90,60,100,90,60,100,1.8031482289,Canada,ALL,Alberta
2020-02-27,,,,,,,,,45,30,50,135,90,150,135,90,150,1.80220644768,Canada,ALL,Alberta
2020-02-28,,,,,,,,,45,30,50,180,120,200,180,120,200,1.80105661032,Canada,ALL,Alberta
2020-02-29,,,,,,,,,45,30,50,225,150,250,225,150,250,1.79965276907,Canada,ALL,Alberta
2020-03-01,,,,,,,,,45,30,50,270,180,300,270,180,300,1.79793877935,Canada,ALL,Alberta
2020-03-02,,,,,,,,,45,30,50,315,210,350,315,210,350,1.79584597307,Canada,ALL,Alberta
2020-03-03,,,,,,,,,45,30,50,360,240,400,360,240,400,1.79329024645,Canada,ALL,Alberta
2020-03-04,,,,,,,,,45,30,50,406,270,450,406,270,450,1.79016838096,Canada,ALL,Alberta
2020-03-05,,,,,,,,,125,83,150,531,353,600,531,353,600,1.78627475639,Canada,ALL,Alberta
2020-03-06,,,,,,,,,124,83,150,655,436,750,655,436,750,1.78160009857,Canada,ALL,Alberta
2020-03-07,,,,,,,,,131,87,159,785,524,908,785,524,908,1.77586355087,Canada,ALL,Alberta
2020-03-08,,,,,,,,,144,96,178,929,621,1086,929,621,1086,1.76884088872,Canada,ALL,Alberta
2020-03-09,,,,,,,,,171,115,218,1101,736,1304,1101,736,1304,1.76022889313,Canada,ALL,Alberta
2020-03-10,,,,,,,,,214,144,280,1315,881,1583,1315,881,1583,1.74965084233,Canada,ALL,Alberta
2020-03-11,,,,,,,,,247,167,329,1517,1019,1862,1562,1049,1912,1.73664189733,Canada,ALL,Alberta
2020-03-12,,,,,,,,,274,187,374,1746,1176,2186,1836,1236,2286,1.72064456585,Canada,ALL,Alberta
2020-03-13,,,,,,,,,306,209,428,2007,1356,2563,2142,1446,2713,1.70102624247,Canada,ALL,Alberta
2020-03-14,,,,,,,,,343,233,493,2305,1559,3005,2485,1679,3205,1.67711779685,Canada,ALL,Alberta
2020-03-15,,,,,,,,,389,266,572,2649,1796,3527,2874,1946,3777,1.64830296453,Canada,ALL,Alberta
2020-03-16,,,,,,,,,433,299,652,3037,2066,4128,3307,2246,4428,1.61414924195,Canada,ALL,Alberta
2020-03-17,,,,,,,,,474,332,727,3465,2368,4805,3781,2578,5155,1.57453948789,Canada,ALL,Alberta
2020-03-18,,,,,,,,,514,352,797,3934,2690,5551,4295,2930,5951,1.52975685802,Canada,ALL,Alberta
2020-03-19,,,,,,,,,553,366,861,4442,3027,6362,4847,3297,6812,1.48048553825,Canada,ALL,Alberta
2020-03-20,1,1,,,,,,,591,380,913,4908,3324,7125,5439,3678,7725,1.42774218819,Canada,ALL,Alberta
2020-03-21,0,1,,,,,,,626,389,949,5410,3631,7923,6065,4068,8673,1.37277076196,Canada,ALL,Alberta
2020-03-22,0,1,,,,,,,656,400,964,5935,3944,8729,6721,4469,9636,1.31692564827,Canada,ALL,Alberta
2020-03-23,0,1,,,,,,,680,412,964,6472,4260,9514,7401,4881,10600,1.26156123745,Canada,ALL,Alberta
2020-03-24,0,1,,,,,,,699,418,974,7000,4563,10270,8100,5300,11573,1.20794544625,Canada,ALL,Alberta
2020-03-25,1,2,,,,,,,714,424,989,7499,4843,10979,8814,5724,12562,1.15720742504,Canada,ALL,Alberta
2020-03-26,0,2,,,,,,,724,429,1010,7977,5105,11660,9538,6154,13572,1.11030694939,Canada,ALL,Alberta
2020-03-27,0,2,,,,,,,729,432,1016,8432,5350,12302,10267,6586,14587,1.06799752614,Canada,ALL,Alberta
2020-03-28,0,2,,,,,,,730,428,1004,8855,5569,12878,10997,7015,15590,1.03076872735,Canada,ALL,Alberta
2020-03-29,0,2,,,,,,,728,422,1007,9240,5758,13392,11725,7438,16596,0.998788847208,Canada,ALL,Alberta
2020-03-30,1,3,,,,,,,723,416,1002,9574,5908,13822,12448,7855,17598,0.971893234906,Canada,ALL,Alberta
2020-03-31,5,8,,,,,,,716,413,992,9857,6022,14162,13164,8268,18590,0.949644680497,Canada,ALL,Alberta
2020-04-01,1,9,,,,,,,707,412,976,10090,6102,14411,13871,8681,19565,0.931445012709,Canada,ALL,Alberta
2020-04-02,4,13,,,,,,,697,410,955,10274,6160,14568,14569,9091,20519,0.916650080536,Canada,ALL,Alberta
2020-04-03,0,13,,,,,,,686,407,930,10407,6201,14638,15255,9499,21449,0.904652295823,Canada,ALL,Alberta
2020-04-04,5,18,,,,,,,674,404,911,10491,6225,14635,15929,9904,22359,0.894922506863,Canada,ALL,Alberta
2020-04-05,2,20,,,,,,,662,401,898,10527,6237,14585,16592,10305,23257,0.887021065078,Canada,ALL,Alberta
2020-04-06,3,23,,,,,,,650,398,887,10520,6234,14508,17241,10703,24144,0.880591893244,Canada,ALL,Alberta
2020-04-07,1,24,,,,,,,637,394,874,10477,6216,14418,17878,11098,25018,0.875349926896,Canada,ALL,Alberta
2020-04-08,2,26,,,,,,,624,390,860,10401,6188,14304,18502,11488,25877,0.871067673362,Canada,ALL,Alberta
2020-04-09,3,29,,,,,,,611,386,845,10298,6150,14160,19112,11875,26721,0.867563324379,Canada,ALL,Alberta
2020-04-10,3,32,,,,,,,598,382,828,10172,6103,13978,19710,12257,27549,0.864691072227,Canada,ALL,Alberta
2020-04-11,8,40,,,,,,,585,378,812,10028,6048,13774,20295,12635,28360,0.862333506053,Canada,ALL,Alberta
2020-04-12,0,40,,,,,,,572,373,795,9870,5994,13565,20868,13009,29155,0.860395721047,Canada,ALL,Alberta
2020-04-13,6,46,,,,,,,560,369,772,9703,5941,13330,21428,13379,29926,0.858800757308,Canada,ALL,Alberta
2020-04-14,2,48,,,,,,,548,367,746,9527,5891,13074,21976,13746,30672,0.857486046946,Canada,ALL,Alberta
2020-04-15,0,48,,,,,,,536,364,721,9347,5842,12803,22511,14111,31392,0.856400622846,Canada,ALL,Alberta
2020-04-16,0,48,,,,,,,524,356,696,9164,5786,12523,23035,14467,32087,0.855502906748,Canada,ALL,Alberta
2020-04-17,2,50,,,,,,,512,352,671,8979,5728,12239,23548,14819,32758,0.854758943024,Canada,ALL,Alberta
