date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper,country,region,subregion
2020-02-25,,,,,,,,,57,31,74,57,31,74,57,31,74,1.75505246125,1.2,2,Canada,ALL,Alberta
2020-02-26,,,,,,,,,57,31,74,114,63,148,114,63,148,1.7541331651,1.19992413041,1.99994662898,Canada,ALL,Alberta
2020-02-27,,,,,,,,,57,31,74,171,95,222,171,95,222,1.75384599654,1.19989369674,1.99992297991,Canada,ALL,Alberta
2020-02-28,,,,,,,,,57,31,74,227,127,296,227,127,296,1.7534673703,1.19985095975,1.99988837493,Canada,ALL,Alberta
2020-02-29,,,,,,,,,57,31,74,284,159,370,284,159,370,1.75296763255,1.19979091086,1.99983719628,Canada,ALL,Alberta
2020-03-01,,,,,,,,,57,31,74,341,191,444,341,191,444,1.75230740238,1.1997064923,1.99976193233,Canada,ALL,Alberta
2020-03-02,,,,,,,,,57,31,74,398,223,518,398,223,518,1.75143439823,1.19958775804,1.99965582882,Canada,ALL,Alberta
2020-03-03,,,,,,,,,57,31,74,455,255,592,455,255,592,1.75027927863,1.19942069451,1.99950007276,Canada,ALL,Alberta
2020-03-04,,,,,,,,,57,31,74,512,287,666,512,287,666,1.74875024319,1.19918556735,1.99927347207,Canada,ALL,Alberta
2020-03-05,,,,,,,,,156,88,210,667,376,876,667,376,876,1.74662904459,1.19877194312,1.99886708251,Canada,ALL,Alberta
2020-03-06,,,,,,,,,155,88,209,822,464,1085,822,464,1085,1.74393867964,1.1982952819,1.99844574055,Canada,ALL,Alberta
2020-03-07,,,,,,,,,163,91,222,984,555,1307,984,555,1307,1.74036506966,1.19761703416,1.99780579558,Canada,ALL,Alberta
2020-03-08,,,,,,,,,179,99,249,1163,655,1556,1163,655,1556,1.73566147597,1.19667296199,1.99689579385,Canada,ALL,Alberta
2020-03-09,,,,,,,,,213,120,303,1376,775,1858,1376,775,1858,1.72948424017,1.1953565922,1.99560586354,Canada,ALL,Alberta
2020-03-10,,,,,,,,,266,151,388,1642,927,2246,1642,927,2246,1.72140489605,1.19352178362,1.99395720122,Canada,ALL,Alberta
2020-03-11,,,,,,,,,306,173,455,1891,1069,2626,1948,1100,2700,1.71090215807,1.19096956523,1.99154962535,Canada,ALL,Alberta
2020-03-12,,,,,,,,,340,189,512,2174,1226,3063,2288,1290,3211,1.69736948517,1.18743498846,1.98805987581,Canada,ALL,Alberta
2020-03-13,,,,,,,,,380,204,583,2497,1399,3572,2668,1495,3794,1.68014765911,1.18257704829,1.98314583326,Canada,ALL,Alberta
2020-03-14,,,,,,,,,427,221,668,2867,1588,4166,3094,1716,4462,1.65856995346,1.17596943872,1.97677225593,Canada,ALL,Alberta
2020-03-15,,,,,,,,,484,245,771,3294,1801,4862,3578,1961,5232,1.6320425904,1.16688786655,1.96731392599,Canada,ALL,Alberta
2020-03-16,,,,,,,,,540,264,879,3777,2033,5667,4118,2225,6111,1.60014413043,1.15522766716,1.95583942734,Canada,ALL,Alberta
2020-03-17,,,,,,,,,593,282,986,4314,2284,6578,4711,2508,7096,1.56271058721,1.12459373695,1.94003300164,Canada,ALL,Alberta
2020-03-18,,,,,,,,,645,297,1095,4902,2549,7599,5357,2805,8191,1.51988458545,1.08802830789,1.91506742662,Canada,ALL,Alberta
2020-03-19,,,,,,,,,697,306,1211,5543,2824,8736,6054,3112,9402,1.47211381973,1.05782846511,1.87958606,Canada,ALL,Alberta
2020-03-20,1,1,,,,,,,749,322,1332,6136,3058,9857,6803,3434,10733,1.42012264382,1.01863290104,1.83125675975,Canada,ALL,Alberta
2020-03-21,0,1,,,,,,,797,330,1440,6778,3301,11089,7600,3765,12173,1.36488048779,0.979057628965,1.76910725209,Canada,ALL,Alberta
2020-03-22,0,1,,,,,,,837,340,1547,7452,3550,12413,8437,4106,13720,1.30757080412,0.957966658074,1.69407566217,Canada,ALL,Alberta
2020-03-23,0,1,,,,,,,869,347,1604,8142,3798,13768,9306,4453,15324,1.24954715619,0.928090908323,1.61101872483,Canada,ALL,Alberta
2020-03-24,0,1,,,,,,,894,350,1695,8823,4028,15161,10200,4804,17018,1.19226150004,0.894572237345,1.55572739416,Canada,ALL,Alberta
2020-03-25,1,2,,,,,,,911,353,1757,9469,4231,16530,11110,5158,18775,1.13716540232,0.877832036641,1.49248803996,Canada,ALL,Alberta
2020-03-26,0,2,,,,,,,920,350,1803,10082,4408,17878,12030,5509,20577,1.08559721385,0.862588705519,1.42224217503,Canada,ALL,Alberta
2020-03-27,0,2,,,,,,,921,351,1841,10663,4569,19207,12951,5860,22418,1.03866948453,0.83640804162,1.32367613407,Canada,ALL,Alberta
2020-03-28,0,2,,,,,,,915,353,1829,11198,4718,20453,13865,6213,24246,0.997170043522,0.820156759015,1.24597053144,Canada,ALL,Alberta
2020-03-29,0,2,,,,,,,903,353,1793,11674,4851,21578,14769,6567,26039,0.96149552865,0.800575364835,1.17279196014,Canada,ALL,Alberta
2020-03-30,1,3,,,,,,,888,349,1745,12079,4955,22553,15657,6917,27784,0.931640677623,0.769515474144,1.11606527795,Canada,ALL,Alberta
2020-03-31,5,8,,,,,,,870,341,1696,12409,5032,23369,16527,7258,29480,0.907253902897,0.754640805057,1.05702836461,Canada,ALL,Alberta
2020-04-01,1,9,,,,,,,850,337,1620,12666,5087,24003,17377,7595,31099,0.88774282732,0.749477935684,1.00803422457,Canada,ALL,Alberta
2020-04-02,4,13,,,,,,,829,334,1544,12849,5125,24452,18206,7930,32643,0.872394798325,0.738686716938,0.972287075557,Canada,ALL,Alberta
2020-04-03,0,13,,,,,,,807,333,1479,12958,5151,24720,19012,8263,34121,0.860480000158,0.720553080901,0.950809782083,Canada,ALL,Alberta
2020-04-04,5,18,,,,,,,785,330,1404,12994,5159,24792,19797,8594,35525,0.851321185372,0.711305016181,0.935684038101,Canada,ALL,Alberta
2020-04-05,2,20,,,,,,,763,329,1327,12960,5158,24679,20559,8923,36851,0.844329980742,0.702898281897,0.925317107501,Canada,ALL,Alberta
2020-04-06,3,23,,,,,,,741,327,1250,12864,5145,24382,21300,9251,38101,0.839018056506,0.698244145269,0.917331092363,Canada,ALL,Alberta
2020-04-07,1,24,,,,,,,720,325,1186,12714,5123,23963,22020,9577,39286,0.834992936526,0.685592168748,0.912547985747,Canada,ALL,Alberta
2020-04-08,2,26,,,,,,,699,318,1144,12520,5091,23412,22720,9895,40429,0.83194627064,0.67602467188,0.909018074698,Canada,ALL,Alberta
2020-04-09,3,29,,,,,,,679,310,1109,12289,5048,22764,23399,10206,41538,0.829639659178,0.670461913142,0.906226950827,Canada,ALL,Alberta
2020-04-10,3,32,,,,,,,660,302,1074,12029,5000,22034,24059,10509,42611,0.827890849028,0.665160678748,0.903742628595,Canada,ALL,Alberta
2020-04-11,8,40,,,,,,,642,293,1030,11750,4942,21223,24701,10802,43641,0.826561594968,0.661054864492,0.902272861412,Canada,ALL,Alberta
2020-04-12,0,40,,,,,,,624,286,991,11460,4875,20386,25325,11089,44632,0.825547589415,0.657878470373,0.901087767032,Canada,ALL,Alberta
2020-04-13,6,46,,,,,,,607,279,958,11163,4801,19550,25932,11368,45589,0.824770406149,0.655411394855,0.900176536459,Canada,ALL,Alberta
2020-04-14,2,48,,,,,,,590,271,926,10865,4722,18731,26522,11640,46515,0.824171206083,0.653395480027,0.89951485277,Canada,ALL,Alberta
2020-04-15,0,48,,,,,,,574,263,907,10569,4644,17942,27096,11903,47421,0.823705897202,0.651707638807,0.899154092512,Canada,ALL,Alberta
2020-04-16,0,48,,,,,,,559,256,894,10278,4564,17217,27655,12159,48315,0.823341452863,0.650966126494,0.898918934983,Canada,ALL,Alberta
2020-04-17,2,50,,,,,,,544,247,878,9993,4477,16550,28199,12407,49192,0.823053131979,0.650151057459,0.898695339486,Canada,ALL,Alberta
2020-04-18,1,51,,,,,,,530,238,861,9717,4382,15932,28729,12646,50053,0.822822390673,0.649301974367,0.898607259609,Canada,ALL,Alberta
2020-04-19,0,51,,,,,,,516,232,847,9448,4285,15375,29245,12879,50899,0.822635318403,0.648743184482,0.898552567834,Canada,ALL,Alberta
2020-04-20,8,59,,,,,,,503,224,833,9188,4180,14881,29748,13104,51732,0.822478850237,0.648379379686,0.898426909328,Canada,ALL,Alberta
2020-04-21,2,61,,,,,,,490,219,816,8937,4071,14447,30238,13323,52548,0.822347872239,0.647967502104,0.898361608717,Canada,ALL,Alberta
2020-04-22,5,66,,,,,,,478,212,803,8695,3959,14065,30715,13536,53350,0.822235536067,0.647748132024,0.898315639336,Canada,ALL,Alberta
2020-04-23,2,68,,,,,,,466,205,788,8461,3845,13709,31181,13741,54137,0.8221405873,0.647559637101,0.898275825337,Canada,ALL,Alberta
2020-04-24,4,72,,,,,,,454,197,772,8236,3732,13371,31635,13939,54909,0.822048349976,0.647474859039,0.898239332701,Canada,ALL,Alberta
2020-04-25,1,73,,,,,,,443,191,757,8019,3621,13055,32078,14131,55665,0.821976840686,0.647418747851,0.898202501718,Canada,ALL,Alberta
2020-04-26,0,73,,,,,,,432,186,744,7809,3515,12768,32510,14318,56408,0.821922608499,0.647458198324,0.898167229318,Canada,ALL,Alberta
2020-04-27,2,75,,,,,,,421,180,733,7606,3410,12509,32931,14499,57140,0.82187350581,0.647488507903,0.898132343746,Canada,ALL,Alberta
2020-04-28,5,80,,,,,,,411,174,720,7411,3304,12271,33342,14673,57860,0.821832353635,0.647494446202,0.898097870795,Canada,ALL,Alberta
2020-04-29,7,87,,,,,,,401,168,709,7222,3202,12054,33744,14842,58569,0.821800608939,0.647545343882,0.898063899822,Canada,ALL,Alberta
2020-04-30,3,90,,,,,,,392,161,697,7039,3100,11844,34135,15003,59265,0.821779564067,0.647645120577,0.898030495674,Canada,ALL,Alberta
2020-05-01,2,92,,,,,,,382,153,686,6863,2997,11636,34518,15156,59951,0.821767855622,0.647769366435,0.897997150201,Canada,ALL,Alberta
2020-05-02,2,94,,,,,,,373,146,675,6692,2895,11434,34891,15302,60626,0.821767030336,0.648075488666,0.897968871289,Canada,ALL,Alberta
2020-05-03,1,95,,,,,,,364,138,665,6526,2795,11238,35255,15441,61290,0.821780393819,0.648483396122,0.897983429795,Canada,ALL,Alberta
2020-05-04,9,104,,,,,,,356,131,654,6366,2694,11045,35611,15573,61944,0.821812389516,0.649024677802,0.898033977214,Canada,ALL,Alberta
2020-05-05,2,106,,,,,,,347,126,643,6210,2596,10855,35958,15700,62587,0.821868992063,0.649582271015,0.898013981771,Canada,ALL,Alberta
2020-05-06,6,112,,,,,,,339,123,632,6059,2499,10671,36297,15823,63219,0.821958237966,0.650134066525,0.898041945942,Canada,ALL,Alberta
2020-05-07,2,114,,,,,,,331,117,622,5913,2404,10490,36628,15941,63840,0.822090940598,0.651195854073,0.898116914154,Canada,ALL,Alberta
2020-05-08,1,115,,,,,,,323,114,611,5771,2313,10313,36952,16055,64450,0.822281651574,0.652575111033,0.898236514215,Canada,ALL,Alberta
2020-05-09,1,116,,,,,,,316,109,601,5632,2225,10142,37267,16164,65050,0.822549949074,0.654433363103,0.898626595793,Canada,ALL,Alberta
2020-05-10,1,117,,,,,,,308,104,591,5498,2138,9976,37576,16269,65641,0.822922155226,0.65686675733,0.899045110038,Canada,ALL,Alberta
2020-05-11,0,117,,,,,,,301,100,581,5367,2051,9813,37877,16370,66221,0.823433607453,0.66004536361,0.89976084343,Canada,ALL,Alberta
2020-05-12,1,118,,,,,,,294,97,571,5239,1968,9652,38171,16467,66792,0.824131627359,0.664184858496,0.900951268075,Canada,ALL,Alberta
2020-05-13,2,120,,,,,,,287,93,562,5116,1887,9494,38458,16560,67353,0.825079333857,0.669555429078,0.902362860566,Canada,ALL,Alberta
2020-05-14,1,121,,,,,,,281,89,553,4995,1808,9338,38739,16650,67906,0.826360411865,0.676490039153,0.904558766061,Canada,ALL,Alberta
2020-05-15,4,125,,,,,,,274,86,543,4878,1733,9183,39013,16737,68448,0.82808483104,0.685389997111,0.907223289504,Canada,ALL,Alberta
2020-05-16,1,126,,,,,,,268,83,533,4764,1663,9030,39282,16820,68981,0.830395236541,0.695652589119,0.91086436905,Canada,ALL,Alberta
2020-05-17,1,127,,,,,,,263,80,524,4654,1597,8878,39545,16900,69504,0.833473190588,0.69763012962,0.915648030464,Canada,ALL,Alberta
2020-05-18,1,128,,,,,,,257,77,515,4547,1536,8728,39802,16977,70018,0.837543484325,0.698020520871,0.921804503329,Canada,ALL,Alberta
2020-05-19,0,128,,,,,,,253,75,507,4444,1480,8581,40055,17053,70524,0.842873273141,0.699028546199,0.928423777063,Canada,ALL,Alberta
2020-05-20,0,128,,,,,,,248,73,500,4345,1426,8438,40303,17127,71024,0.849761038972,0.699729071304,0.937153131585,Canada,ALL,Alberta
2020-05-21,4,132,,,,,,,244,71,497,4250,1375,8302,40547,17199,71520,0.858509429558,0.701175095901,0.951501747845,Canada,ALL,Alberta
2020-05-22,2,134,,,,,,,241,69,499,4160,1326,8179,40789,17268,72018,0.869378389539,0.706123400972,0.981599296116,Canada,ALL,Alberta
2020-05-23,1,135,,,,,,,239,69,499,4076,1281,8067,41028,17337,72516,0.882523984286,0.714538665901,1.00652343962,Canada,ALL,Alberta
2020-05-24,0,135,,,,,,,238,69,495,3998,1241,7961,41265,17406,73011,0.897943725843,0.721286922839,1.04163248877,Canada,ALL,Alberta
2020-05-25,3,138,,,,,,,237,69,497,3927,1206,7868,41502,17476,73508,0.915460279385,0.732175733379,1.09587049208,Canada,ALL,Alberta
2020-05-26,1,139,,,,,,,237,68,500,3863,1173,7787,41740,17544,74007,0.934762732809,0.743118758397,1.14963011019,Canada,ALL,Alberta
2020-05-27,2,141,,,,,,,239,68,507,3808,1144,7723,41979,17612,74514,0.955484282601,0.756323125912,1.20123257808,Canada,ALL,Alberta
2020-05-28,2,143,,,,,,,242,68,507,3762,1119,7668,42220,17680,75021,0.977262265139,0.772782623409,1.24639982954,Canada,ALL,Alberta
2020-05-29,0,143,,,,,,,245,68,507,3727,1098,7622,42466,17749,75527,0.999744622372,0.792964271243,1.28375523947,Canada,ALL,Alberta
2020-05-30,0,143,,,,,,,250,68,517,3702,1080,7596,42715,17817,76043,1.02256421368,0.817235562266,1.31322822946,Canada,ALL,Alberta
2020-05-31,0,143,,,,,,,255,67,528,3689,1065,7590,42971,17885,76570,1.04533129139,0.844703692691,1.33580704265,Canada,ALL,Alberta
2020-06-01,0,143,,,,,,,262,70,533,3688,1056,7599,43233,17956,77103,1.06766055671,0.878534453969,1.352770802,Canada,ALL,Alberta
2020-06-02,0,143,,,,,,,270,73,557,3700,1051,7642,43502,18029,77659,1.08919652672,0.916578781799,1.36515072637,Canada,ALL,Alberta
2020-06-03,2,145,,,,,,,278,75,588,3726,1051,7723,43780,18105,78246,1.10960206786,0.93907555821,1.37387054099,Canada,ALL,Alberta
2020-06-04,1,146,,,,,,,287,79,607,3765,1057,7830,44068,18184,78853,1.12852887274,0.953665658164,1.38017437106,Canada,ALL,Alberta
2020-06-05,0,146,,,,,,,298,82,620,3818,1068,7953,44366,18267,79472,1.14562299604,0.976959186392,1.38452604339,Canada,ALL,Alberta
2020-06-06,0,146,,,,,,,309,87,641,3886,1086,8095,44674,18354,80113,1.1605867495,0.981996312288,1.38739622108,Canada,ALL,Alberta
2020-06-07,0,146,,,,,,,320,90,676,3967,1108,8273,44995,18445,80789,1.17325857793,0.985461797373,1.38929572413,Canada,ALL,Alberta
2020-06-08,3,149,,,,,,,333,95,713,4062,1134,8491,45327,18541,81501,1.18365424763,0.987050447753,1.39047572995,Canada,ALL,Alberta
2020-06-09,2,151,,,,,,,346,101,743,4171,1166,8737,45674,18642,82244,1.19194800626,0.988209435627,1.39119462565,Canada,ALL,Alberta
2020-06-10,0,151,,,,,,,360,108,792,4294,1207,9029,46034,18751,83036,1.19841472632,0.989046301978,1.39164039766,Canada,ALL,Alberta
2020-06-11,-2,149,,,,,,,375,114,848,4430,1253,9369,46409,18866,83883,1.20331778169,0.989644368772,1.39133596819,Canada,ALL,Alberta
2020-06-12,0,149,,,,,,,390,120,881,4579,1305,9743,46799,18986,84763,1.20694304989,0.990139292698,1.39105241493,Canada,ALL,Alberta
2020-06-13,1,150,,,,,,,407,126,928,4740,1363,10163,47206,19113,85690,1.2096001449,0.990728868616,1.39135774032,Canada,ALL,Alberta
2020-06-14,0,150,,,,,,,424,134,986,4914,1429,10633,47630,19247,86676,1.21149139316,0.991170561069,1.39111885176,Canada,ALL,Alberta
2020-06-15,1,151,,,,,,,442,139,1048,5101,1501,11153,48072,19386,87723,1.21276894627,0.991304626486,1.39146257157,Canada,ALL,Alberta
2020-06-16,0,151,,,,,,,460,145,1104,5299,1576,11724,48532,19532,88826,1.21349372635,0.991405616489,1.3915471696,Canada,ALL,Alberta
2020-06-17,0,151,,,,,,,480,152,1156,5510,1655,12324,49012,19684,89982,1.21368518455,0.991388082002,1.39144838361,Canada,ALL,Alberta
2020-06-18,1,152,,,,,,,500,162,1208,5732,1741,12943,49512,19847,91189,1.21336223431,0.991525936449,1.39164750428,Canada,ALL,Alberta
2020-06-19,0,152,,,,,,,521,173,1247,5966,1836,13583,50033,20021,92436,1.21254776924,0.99159963171,1.3924072668,Canada,ALL,Alberta
2020-06-20,0,152,,,,,,,543,183,1299,6211,1937,14262,50576,20204,93734,1.21116342566,0.991660688567,1.39181479824,Canada,ALL,Alberta
2020-06-21,0,152,,,,,,,565,189,1362,6467,2039,14983,51141,20394,95095,1.20904512815,0.99180619512,1.39192026507,Canada,ALL,Alberta
2020-06-22,1,153,,,,,,,587,196,1420,6733,2145,15727,51728,20590,96515,1.20605066362,0.991965040911,1.39152343095,Canada,ALL,Alberta
2020-06-23,0,153,,,,,,,609,208,1466,7010,2258,16480,52337,20799,97981,1.20205616061,0.992053126954,1.39061751287,Canada,ALL,Alberta
2020-06-24,0,153,,,,,,,631,216,1514,7294,2372,17251,52968,21015,99494,1.19701721468,0.992083510423,1.39003938913,Canada,ALL,Alberta
2020-06-25,1,154,,,,,,,652,225,1547,7586,2488,18005,53620,21240,101041,1.19091031144,0.992018563005,1.38897950024,Canada,ALL,Alberta
2020-06-26,0,154,,,,,,,673,234,1566,7884,2608,18724,54293,21474,102606,1.18379497525,0.991932201729,1.3884701967,Canada,ALL,Alberta
2020-06-27,0,154,,,,,,,692,244,1609,8186,2732,19452,54985,21718,104214,1.17578709978,0.991428266537,1.38778265104,Canada,ALL,Alberta
2020-06-28,0,154,,,,,,,711,253,1647,8491,2859,20171,55697,21972,105860,1.16697453788,0.989901252755,1.38599764188,Canada,ALL,Alberta
2020-06-29,0,154,,,,,,,729,258,1648,8796,2983,20833,56426,22230,107508,1.15751085884,0.977715628231,1.3836085551,Canada,ALL,Alberta
2020-06-30,0,154,,,,,,,746,264,1684,9100,3108,21469,57172,22495,109192,1.14748191684,0.964169901188,1.3805242601,Canada,ALL,Alberta
2020-07-01,0,154,,,,,,,762,273,1709,9401,3235,22074,57933,22768,110900,1.13697358045,0.956409922742,1.37654547204,Canada,ALL,Alberta
2020-07-02,1,155,,,,,,,776,279,1697,9697,3363,22615,58709,23048,112597,1.12608365402,0.94288572302,1.3714212945,Canada,ALL,Alberta
2020-07-03,0,155,,,,,,,789,287,1707,9986,3488,23114,59498,23336,114303,1.11491451995,0.932843939705,1.36487932864,Canada,ALL,Alberta
2020-07-04,0,155,,,,,,,800,296,1694,10265,3611,23561,60298,23632,115996,1.10356835331,0.923805030276,1.35573613846,Canada,ALL,Alberta
