date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,country,region
2020-02-13,,,,,,,,,Belgium,ALL
2020-02-14,,,,,,,,,Belgium,ALL
2020-02-15,,,,,,,,,Belgium,ALL
2020-02-16,,,,,,,,,Belgium,ALL
2020-02-17,,,,,,,,,Belgium,ALL
2020-02-18,,,,,,,,,Belgium,ALL
2020-02-19,,,,,,,,,Belgium,ALL
2020-02-20,,,,,,,,,Belgium,ALL
2020-02-21,,,,,,,,,Belgium,ALL
2020-02-22,,,,,,,,,Belgium,ALL
2020-02-23,,,,,,,,,Belgium,ALL
2020-02-24,,,,,,,,,Belgium,ALL
2020-02-25,,,,,,,,,Belgium,ALL
2020-02-26,,,,,,,,,Belgium,ALL
2020-02-27,,,,,,,,,Belgium,ALL
2020-02-28,,,,,,,,,Belgium,ALL
2020-02-29,,,,,,,,,Belgium,ALL
2020-03-01,,,,,,,,,Belgium,ALL
2020-03-02,,,,,,,,,Belgium,ALL
2020-03-03,,,,,,,,,Belgium,ALL
2020-03-04,,,,,,,,,Belgium,ALL
2020-03-05,,,,,,,,,Belgium,ALL
2020-03-06,,,,,,,,,Belgium,ALL
2020-03-07,,,,,,,,,Belgium,ALL
2020-03-08,,,,,,,,,Belgium,ALL
2020-03-09,,,,,,,,,Belgium,ALL
2020-03-10,,,,,,,,,Belgium,ALL
2020-03-11,3,3,,,,,,,Belgium,ALL
2020-03-12,0,3,,,,,,,Belgium,ALL
2020-03-13,0,3,,,,,,,Belgium,ALL
2020-03-14,1,4,,,,,,,Belgium,ALL
2020-03-15,0,4,,,,,,,Belgium,ALL
2020-03-16,1,5,,,,,,,Belgium,ALL
2020-03-17,5,10,,,,,,,Belgium,ALL
2020-03-18,4,14,,,,,,,Belgium,ALL
2020-03-19,7,21,,,,,,,Belgium,ALL
2020-03-20,16,37,,,,,,,Belgium,ALL
2020-03-21,30,67,,,,,,,Belgium,ALL
2020-03-22,8,75,,,,,,,Belgium,ALL
2020-03-23,13,88,,,,,,,Belgium,ALL
2020-03-24,34,122,,,,,,,Belgium,ALL
2020-03-25,56,178,,,,,,,Belgium,ALL
2020-03-26,42,220,,,,,,,Belgium,ALL
2020-03-27,69,289,,,,,,,Belgium,ALL
2020-03-28,64,353,,,,,,,Belgium,ALL
2020-03-29,78,431,,,,,,,Belgium,ALL
2020-03-30,82,513,,,,,,,Belgium,ALL
2020-03-31,192,705,,,,,,,Belgium,ALL
2020-04-01,123,828,,,,,,,Belgium,ALL
2020-04-02,183,1011,,,,,,,Belgium,ALL
2020-04-03,132,1143,,,,,,,Belgium,ALL
2020-04-04,,,179,141,227,1322,1284,1370,Belgium,ALL
2020-04-05,,,189,139,250,1511,1423,1620,Belgium,ALL
2020-04-06,,,198,133,270,1708,1556,1890,Belgium,ALL
2020-04-07,,,203,127,287,1912,1683,2177,Belgium,ALL
2020-04-08,,,206,117,298,2117,1800,2476,Belgium,ALL
2020-04-09,,,205,107,314,2323,1907,2790,Belgium,ALL
2020-04-10,,,203,95,322,2525,2003,3112,Belgium,ALL
2020-04-11,,,198,84,325,2723,2087,3437,Belgium,ALL
2020-04-12,,,191,74,336,2914,2162,3773,Belgium,ALL
2020-04-13,,,183,65,342,3097,2227,4115,Belgium,ALL
2020-04-14,,,174,55,341,3271,2282,4456,Belgium,ALL
2020-04-15,,,165,48,347,3437,2330,4803,Belgium,ALL
2020-04-16,,,156,40,349,3593,2370,5152,Belgium,ALL
2020-04-17,,,147,33,351,3740,2403,5503,Belgium,ALL
2020-04-18,,,139,28,346,3879,2431,5849,Belgium,ALL
2020-04-19,,,130,23,345,4009,2455,6194,Belgium,ALL
2020-04-20,,,122,20,341,4132,2475,6535,Belgium,ALL
2020-04-21,,,115,17,338,4247,2492,6873,Belgium,ALL
2020-04-22,,,108,15,334,4354,2507,7207,Belgium,ALL
2020-04-23,,,101,13,325,4455,2520,7531,Belgium,ALL
2020-04-24,,,95,11,314,4550,2531,7845,Belgium,ALL
2020-04-25,,,88,10,304,4638,2541,8149,Belgium,ALL
2020-04-26,,,83,9,294,4721,2550,8443,Belgium,ALL
2020-04-27,,,77,8,283,4798,2558,8726,Belgium,ALL
2020-04-28,,,72,7,272,4871,2565,8998,Belgium,ALL
2020-04-29,,,68,6,262,4938,2572,9260,Belgium,ALL
2020-04-30,,,63,6,251,5002,2578,9512,Belgium,ALL
2020-05-01,,,59,5,239,5061,2583,9751,Belgium,ALL
2020-05-02,,,55,5,222,5116,2588,9973,Belgium,ALL
2020-05-03,,,52,5,206,5167,2593,10179,Belgium,ALL
2020-05-04,,,48,5,191,5215,2598,10370,Belgium,ALL
2020-05-05,,,45,4,178,5260,2602,10547,Belgium,ALL
2020-05-06,,,42,4,167,5302,2606,10715,Belgium,ALL
2020-05-07,,,39,4,158,5342,2610,10873,Belgium,ALL
2020-05-08,,,37,4,149,5378,2614,11022,Belgium,ALL
2020-05-09,,,34,4,139,5413,2618,11161,Belgium,ALL
2020-05-10,,,32,4,130,5445,2622,11290,Belgium,ALL
2020-05-11,,,30,4,122,5475,2626,11412,Belgium,ALL
2020-05-12,,,28,3,114,5503,2629,11526,Belgium,ALL
2020-05-13,,,26,3,107,5529,2632,11634,Belgium,ALL
2020-05-14,,,25,3,100,5554,2635,11734,Belgium,ALL
2020-05-15,,,23,3,94,5577,2638,11828,Belgium,ALL
2020-05-16,,,22,3,87,5599,2641,11915,Belgium,ALL
2020-05-17,,,20,3,83,5619,2644,11998,Belgium,ALL
2020-05-18,,,19,3,76,5639,2647,12075,Belgium,ALL
2020-05-19,,,18,3,71,5657,2650,12146,Belgium,ALL
2020-05-20,,,17,3,66,5674,2653,12212,Belgium,ALL
2020-05-21,,,16,3,61,5690,2656,12273,Belgium,ALL
2020-05-22,,,15,3,57,5705,2659,12330,Belgium,ALL
2020-05-23,,,14,3,52,5720,2662,12382,Belgium,ALL
2020-05-24,,,14,3,49,5733,2665,12430,Belgium,ALL
2020-05-25,,,13,3,45,5746,2668,12476,Belgium,ALL
2020-05-26,,,12,3,41,5759,2671,12517,Belgium,ALL
2020-05-27,,,12,3,38,5770,2674,12555,Belgium,ALL
2020-05-28,,,11,3,35,5781,2677,12590,Belgium,ALL
2020-05-29,,,10,2,32,5792,2679,12623,Belgium,ALL
