date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,r_values_mean,r_values_lower,r_values_upper,country,region,subregion
2020-02-17,,,,,,,,,77,40,106,77,40,106,77,40,106,2.61944711725,2.2,3,Algeria,ALL,
2020-02-18,,,,,,,,,77,40,106,154,80,212,154,80,212,2.61917114414,2.19989189732,2.99999399156,Algeria,ALL,
2020-02-19,,,,,,,,,77,40,106,231,120,318,231,120,318,2.61905191469,2.19984034642,2.99998743994,Algeria,ALL,
2020-02-20,,,,,,,,,77,40,106,307,160,424,307,160,424,2.61888060569,2.19977537498,2.99997602352,Algeria,ALL,
2020-02-21,,,,,,,,,77,40,106,384,200,530,384,200,530,2.61863408452,2.19967719606,2.9999579584,Algeria,ALL,
2020-02-22,,,,,,,,,77,40,106,461,240,636,461,240,636,2.61827873909,2.19952003759,2.99992704921,Algeria,ALL,
2020-02-23,,,,,,,,,77,40,106,538,280,742,538,280,742,2.61776564095,2.19930359739,2.99986894713,Algeria,ALL,
2020-02-24,,,,,,,,,77,40,106,615,320,848,615,320,848,2.61702345251,2.19899969362,2.99977253315,Algeria,ALL,
2020-02-25,,,,,,,,,77,40,106,692,360,954,692,360,954,2.61594804089,2.19856891776,2.99961042343,Algeria,ALL,
2020-02-26,,,,,,,,,277,147,400,969,507,1354,969,507,1354,2.61436037021,2.19792305845,2.99933256218,Algeria,ALL,
2020-02-27,,,,,,,,,276,147,399,1245,655,1753,1245,655,1753,2.6120889873,2.1970335881,2.99892180423,Algeria,ALL,
2020-02-28,,,,,,,,,301,161,440,1547,816,2192,1547,816,2192,2.60877799278,2.19575715255,2.99824322987,Algeria,ALL,
2020-02-29,,,,,,,,,353,186,526,1899,1003,2717,1899,1003,2717,2.60396711972,2.19393787896,2.9971287333,Algeria,ALL,
