date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_new_infected_mean,predicted_new_infected_lower,predicted_new_infected_upper,predicted_current_infected_mean,predicted_current_infected_lower,predicted_current_infected_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper,country,region
2020-02-17,,,,,,,,,156,50,250,156,50,250,156,50,250,Austria,ALL
2020-02-18,,,,,,,,,156,50,250,312,100,500,312,100,500,Austria,ALL
2020-02-19,,,,,,,,,156,50,250,468,150,750,468,150,750,Austria,ALL
2020-02-20,,,,,,,,,156,50,250,624,200,1000,624,200,1000,Austria,ALL
2020-02-21,,,,,,,,,156,50,250,780,250,1250,780,250,1250,Austria,ALL
2020-02-22,,,,,,,,,156,50,250,935,300,1500,935,300,1500,Austria,ALL
2020-02-23,,,,,,,,,156,50,250,1091,350,1750,1091,350,1750,Austria,ALL
2020-02-24,,,,,,,,,156,50,250,1247,400,2000,1247,400,2000,Austria,ALL
2020-02-25,,,,,,,,,156,50,250,1403,450,2250,1403,450,2250,Austria,ALL
2020-02-26,,,,,,,,,428,159,693,1831,609,2943,1831,609,2943,Austria,ALL
2020-02-27,,,,,,,,,426,159,689,2257,769,3631,2257,769,3631,Austria,ALL
2020-02-28,,,,,,,,,449,170,722,2706,940,4352,2706,940,4352,Austria,ALL
2020-02-29,,,,,,,,,495,194,791,3200,1134,5143,3200,1134,5143,Austria,ALL
2020-03-01,,,,,,,,,590,242,935,3791,1377,6078,3791,1377,6078,Austria,ALL
2020-03-02,,,,,,,,,738,318,1158,4529,1696,7236,4529,1696,7236,Austria,ALL
2020-03-03,,,,,,,,,851,380,1316,5225,2026,8301,5381,2076,8551,Austria,ALL
2020-03-04,,,,,,,,,948,439,1468,6016,2416,9518,6328,2516,10018,Austria,ALL
2020-03-05,,,,,,,,,1059,513,1639,6919,2879,10906,7387,3029,11656,Austria,ALL
2020-03-06,,,,,,,,,1187,605,1819,7951,3434,12475,8575,3634,13475,Austria,ALL
2020-03-07,,,,,,,,,1340,722,2018,9135,4107,14242,9914,4357,15492,Austria,ALL
2020-03-08,,,,,,,,,1483,848,2174,10462,4906,16165,11398,5206,17665,Austria,ALL
2020-03-09,,,,,,,,,1610,982,2306,11916,5838,18221,13008,6188,19971,Austria,ALL
2020-03-10,,,,,,,,,1724,1112,2394,13485,6901,20365,14732,7301,22365,Austria,ALL
2020-03-11,,,,,,,,,1827,1202,2450,15156,8053,22564,16559,8503,24814,Austria,ALL
2020-03-12,1,1,,,,,,,1918,1294,2510,16646,9188,24380,18477,9798,27323,Austria,ALL
2020-03-13,0,1,,,,,,,1985,1412,2592,18205,10442,26283,20462,11211,29914,Austria,ALL
2020-03-14,0,1,,,,,,,2024,1459,2652,19780,11730,28214,22486,12670,32566,Austria,ALL
2020-03-15,0,1,,,,,,,2035,1492,2693,21321,13029,30116,24521,14163,35259,Austria,ALL
2020-03-16,2,3,,,,,,,2023,1487,2687,22753,14273,31868,26544,15651,37946,Austria,ALL
2020-03-17,0,3,,,,,,,1991,1461,2720,24006,15416,33431,28535,17112,40666,Austria,ALL
2020-03-18,1,4,,,,,,,1945,1431,2659,25099,16467,34774,30480,18544,43324,Austria,ALL
2020-03-19,2,6,,,,,,,1887,1389,2588,26039,17417,35894,32367,19934,45912,Austria,ALL
2020-03-20,0,6,,,,,,,1823,1348,2495,26803,18253,36750,34190,21282,48406,Austria,ALL
2020-03-21,2,8,,,,,,,1756,1303,2418,27371,18951,37350,35946,22586,50824,Austria,ALL
2020-03-22,8,16,,,,,,,1688,1258,2282,27719,19487,37614,37633,23845,53106,Austria,ALL
2020-03-23,5,21,,,,,,,1620,1215,2185,27856,19853,37625,39254,25060,55290,Austria,ALL
2020-03-24,7,28,,,,,,,1554,1167,2103,27800,20038,37422,40808,26227,57393,Austria,ALL
2020-03-25,2,30,,,,,,,1490,1125,2015,27566,20052,37044,42298,27353,59408,Austria,ALL
2020-03-26,19,49,,,,,,,1428,1079,1925,27167,19929,36519,43726,28433,61332,Austria,ALL
2020-03-27,9,58,,,,,,,1370,1022,1836,26619,19657,35845,45096,29455,63167,Austria,ALL
2020-03-28,10,68,,,,,,,1314,968,1751,25948,19213,35004,46410,30424,64918,Austria,ALL
2020-03-29,18,86,,,,,,,1261,915,1670,25185,18669,34022,47671,31339,66588,Austria,ALL
2020-03-30,22,108,,,,,,,1210,872,1603,24360,18048,32931,48881,32212,68190,Austria,ALL
2020-03-31,20,128,,,,,,,1163,828,1543,23500,17390,31787,50044,33041,69732,Austria,ALL
2020-04-01,18,146,,,,,,,1118,785,1481,22626,16713,30548,51161,33826,71213,Austria,ALL
2020-04-02,12,158,,,,,,,1075,745,1433,21757,16027,29321,52236,34571,72645,Austria,ALL
2020-04-03,10,168,,,,,,,1035,707,1405,20904,15345,28138,53271,35279,74049,Austria,ALL
2020-04-04,18,186,,,,,,,997,673,1370,20078,14669,27013,54268,35952,75419,Austria,ALL
2020-04-05,18,204,,,,,,,961,641,1338,19283,14007,25933,55229,36593,76756,Austria,ALL
2020-04-06,16,220,,,,,,,927,619,1301,18522,13368,24952,56155,37213,78057,Austria,ALL
2020-04-07,23,243,,,,,,,894,589,1273,17796,12741,24040,57049,37802,79329,Austria,ALL
2020-04-08,30,273,,,,,,,864,557,1239,17105,12131,23176,57913,38359,80568,Austria,ALL
2020-04-09,22,295,,,,,,,835,529,1218,16450,11535,22379,58747,38889,81786,Austria,ALL
2020-04-10,24,319,,,,,,,807,506,1193,15828,10962,21647,59554,39395,82979,Austria,ALL
2020-04-11,18,337,,,,,,,781,486,1171,15239,10425,20982,60335,39881,84149,Austria,ALL
2020-04-12,13,350,,,,,,,756,465,1148,14682,9922,20379,61091,40347,85296,Austria,ALL
2020-04-13,18,368,,,,,,,732,447,1129,14153,9455,19838,61824,40795,86425,Austria,ALL
2020-04-14,16,384,,,,,,,710,425,1109,13653,9008,19345,62534,41220,87534,Austria,ALL
2020-04-15,9,393,,,,,,,689,403,1091,13179,8582,18893,63223,41623,88624,Austria,ALL
2020-04-16,17,410,,,,,,,668,382,1072,12729,8179,18484,63891,42006,89696,Austria,ALL
2020-04-17,21,431,,,,,,,649,363,1054,12303,7797,18105,64540,42369,90750,Austria,ALL
2020-04-18,12,443,,,,,,,630,347,1035,11899,7437,17735,65170,42717,91784,Austria,ALL
2020-04-19,9,452,,,,,,,612,330,1018,11514,7094,17383,65782,43047,92802,Austria,ALL
2020-04-20,18,470,,,,,,,595,313,998,11149,6767,17044,66378,43360,93800,Austria,ALL
2020-04-21,21,491,,,,,,,579,294,982,10802,6441,16725,66957,43654,94782,Austria,ALL
2020-04-22,19,510,,,,,,,564,279,966,10471,6132,16418,67521,43934,95747,Austria,ALL
2020-04-23,12,522,,,,,,,549,265,951,10157,5840,16130,68069,44200,96698,Austria,ALL
2020-04-24,8,530,,,,,,,534,253,935,9856,5564,15847,68604,44453,97632,Austria,ALL
2020-04-25,6,536,,,,,,,521,241,920,9570,5298,15574,69124,44694,98552,Austria,ALL
2020-04-26,6,542,,,,,,,507,230,905,9296,5042,15308,69631,44924,99456,Austria,ALL
2020-04-27,7,549,,,,,,,494,219,890,9034,4797,15050,70126,45144,100346,Austria,ALL
2020-04-28,20,569,,,,,,,482,209,875,8784,4559,14796,70608,45354,101221,Austria,ALL
2020-04-29,11,580,,,,,,,470,200,861,8544,4334,14548,71078,45554,102081,Austria,ALL
2020-04-30,4,584,,,,,,,459,191,847,8314,4122,14304,71537,45746,102927,Austria,ALL
2020-05-01,5,589,,,,,,,448,183,833,8094,3923,14064,71984,45929,103759,Austria,ALL
2020-05-02,7,596,,,,,,,437,175,819,7882,3736,13829,72421,46105,104578,Austria,ALL
2020-05-03,2,598,,,,,,,426,168,805,7678,3556,13598,72848,46273,105382,Austria,ALL
2020-05-04,2,600,,,,,,,416,161,791,7482,3388,13371,73264,46435,106173,Austria,ALL
2020-05-05,6,606,,,,,,,406,154,778,7293,3229,13151,73670,46590,106950,Austria,ALL
2020-05-06,2,608,,,,,,,397,148,764,7110,3084,12933,74067,46739,107714,Austria,ALL
2020-05-07,1,609,,,,,,,388,142,751,6934,2947,12718,74455,46882,108465,Austria,ALL
2020-05-08,,,7,3,11,616,612,620,379,137,738,6764,2819,12505,74833,47019,109202,Austria,ALL
2020-05-09,,,6,3,11,622,616,631,370,132,725,6599,2698,12295,75203,47151,109927,Austria,ALL
2020-05-10,,,6,3,11,628,619,641,361,127,712,6440,2584,12087,75564,47278,110639,Austria,ALL
2020-05-11,,,6,3,11,635,623,651,353,122,700,6286,2476,11882,75917,47401,111338,Austria,ALL
2020-05-12,,,6,3,10,641,626,661,345,117,687,6136,2374,11679,76262,47518,112024,Austria,ALL
2020-05-13,,,6,2,10,646,629,671,337,113,674,5990,2278,11478,76598,47632,112698,Austria,ALL
2020-05-14,,,6,2,10,652,632,681,329,109,662,5849,2187,11279,76927,47741,113359,Austria,ALL
2020-05-15,,,5,2,10,657,634,690,335,106,686,5725,2102,11118,77261,47848,114045,Austria,ALL
2020-05-16,,,5,2,10,663,637,699,330,102,683,5607,2021,10968,77591,47951,114727,Austria,ALL
2020-05-17,,,5,2,10,668,639,709,325,99,681,5496,1944,10831,77917,48050,115408,Austria,ALL
2020-05-18,,,5,2,10,673,642,718,321,95,679,5390,1872,10705,78238,48146,116086,Austria,ALL
2020-05-19,,,5,2,9,678,644,727,318,92,678,5292,1803,10591,78556,48238,116764,Austria,ALL
2020-05-20,,,5,2,9,683,646,735,316,89,682,5201,1737,10496,78872,48327,117445,Austria,ALL
2020-05-21,,,5,2,9,688,648,744,313,86,681,5118,1674,10413,79185,48413,118126,Austria,ALL
2020-05-22,,,5,1,9,692,650,752,310,83,679,5040,1614,10340,79495,48496,118805,Austria,ALL
2020-05-23,,,4,1,9,697,652,761,306,80,676,4968,1557,10278,79801,48576,119480,Austria,ALL
2020-05-24,,,4,1,9,701,653,769,303,77,673,4900,1503,10226,80104,48654,120152,Austria,ALL
2020-05-25,,,4,1,9,705,655,777,299,75,670,4839,1451,10183,80403,48730,120822,Austria,ALL
2020-05-26,,,4,1,8,709,657,785,296,74,667,4782,1403,10151,80699,48804,121488,Austria,ALL
2020-05-27,,,4,1,8,713,658,792,292,72,664,4729,1357,10129,80991,48876,122152,Austria,ALL
2020-05-28,,,4,1,8,717,660,800,288,69,661,4681,1314,10115,81280,48946,122812,Austria,ALL
2020-05-29,,,4,1,8,721,661,808,285,68,657,4637,1273,10110,81564,49015,123469,Austria,ALL
2020-05-30,,,4,1,8,725,663,815,281,66,653,4583,1232,10077,81845,49081,124121,Austria,ALL
2020-05-31,,,4,1,8,729,664,822,277,63,649,4530,1193,10043,82122,49145,124770,Austria,ALL
2020-06-01,,,4,1,8,732,665,829,273,61,644,4477,1156,10006,82394,49207,125414,Austria,ALL
2020-06-02,,,4,1,8,736,666,836,269,59,640,4425,1120,9967,82663,49266,126053,Austria,ALL
2020-06-03,,,3,1,7,739,668,843,264,57,637,4371,1085,9926,82927,49323,126689,Austria,ALL
2020-06-04,,,3,1,7,743,669,850,260,54,632,4315,1051,9875,83187,49378,127320,Austria,ALL
2020-06-05,,,3,1,7,746,670,857,256,52,626,4258,1018,9821,83443,49431,127946,Austria,ALL
2020-06-06,,,3,1,7,749,671,864,251,50,621,4199,985,9763,83694,49482,128567,Austria,ALL
2020-06-07,,,3,1,7,753,672,870,247,48,616,4139,954,9703,83940,49531,129182,Austria,ALL
2020-06-08,,,3,0,7,756,673,877,242,46,610,4079,922,9640,84182,49577,129791,Austria,ALL
2020-06-09,,,3,0,7,759,674,884,237,44,604,4017,891,9574,84420,49622,130395,Austria,ALL
2020-06-10,,,3,0,7,762,675,891,233,42,598,3954,860,9505,84652,49664,130993,Austria,ALL
2020-06-11,,,3,0,7,766,676,898,228,40,592,3889,828,9432,84880,49705,131584,Austria,ALL
2020-06-12,,,3,0,7,769,677,905,223,38,585,3824,797,9357,85103,49744,132169,Austria,ALL
2020-06-13,,,3,0,7,772,677,911,218,37,579,3757,766,9279,85321,49781,132748,Austria,ALL
2020-06-14,,,3,0,7,775,678,918,213,35,573,3689,735,9199,85534,49817,133320,Austria,ALL
2020-06-15,,,3,0,7,778,679,925,208,33,566,3621,705,9117,85742,49850,133886,Austria,ALL
2020-06-16,,,3,0,7,781,680,931,203,31,560,3551,675,9032,85945,49882,134445,Austria,ALL
2020-06-17,,,3,0,7,784,681,938,198,30,559,3480,645,8951,86143,49912,135003,Austria,ALL
2020-06-18,,,3,0,7,787,681,945,192,28,555,3408,616,8869,86335,49940,135558,Austria,ALL
2020-06-19,,,3,0,7,790,682,951,187,26,555,3335,588,8792,86522,49967,136112,Austria,ALL
2020-06-20,,,3,0,7,792,683,958,182,25,554,3261,560,8719,86704,49992,136665,Austria,ALL
2020-06-21,,,3,0,7,795,683,964,176,23,553,3186,533,8651,86880,50015,137218,Austria,ALL
2020-06-22,,,3,0,7,798,684,971,171,21,552,3110,506,8588,87051,50037,137769,Austria,ALL
2020-06-23,,,3,0,7,801,685,977,165,20,551,3034,480,8529,87216,50057,138320,Austria,ALL
2020-06-24,,,3,0,7,803,685,984,160,18,550,2956,454,8474,87376,50076,138869,Austria,ALL
2020-06-25,,,3,0,7,806,686,990,155,17,549,2879,429,8425,87531,50094,139418,Austria,ALL
2020-06-26,,,3,0,7,809,686,996,151,16,548,2802,404,8382,87683,50110,139965,Austria,ALL
2020-06-27,,,3,0,7,811,687,1003,147,15,547,2726,381,8344,87829,50125,140512,Austria,ALL
2020-06-28,,,3,0,7,814,687,1009,143,14,546,2651,358,8311,87972,50140,141058,Austria,ALL
2020-06-29,,,2,0,7,816,688,1015,138,13,545,2576,336,8283,88110,50153,141602,Austria,ALL
2020-06-30,,,2,0,7,819,688,1021,135,12,544,2503,315,8261,88245,50165,142146,Austria,ALL
2020-07-01,,,2,0,7,821,689,1027,131,11,543,2431,295,8244,88376,50177,142689,Austria,ALL
2020-07-02,,,2,0,6,823,689,1033,128,10,542,2361,275,8228,88504,50188,143231,Austria,ALL
2020-07-03,,,2,0,6,825,690,1039,124,10,541,2293,257,8214,88628,50198,143772,Austria,ALL
2020-07-04,,,2,0,6,828,690,1045,121,9,540,2227,240,8200,88749,50207,144312,Austria,ALL
2020-07-05,,,2,0,6,830,690,1050,118,8,539,2163,224,8186,88867,50216,144851,Austria,ALL
2020-07-06,,,2,0,6,832,691,1056,115,8,538,2101,209,8171,88981,50225,145389,Austria,ALL
2020-07-07,,,2,0,6,834,691,1062,112,7,538,2042,195,8157,89093,50232,145926,Austria,ALL
2020-07-08,,,2,0,6,836,691,1067,109,7,537,1986,182,8143,89202,50240,146462,Austria,ALL
2020-07-09,,,2,0,6,838,692,1073,106,6,536,1933,170,8128,89309,50246,146997,Austria,ALL
2020-07-10,,,2,0,6,840,692,1078,104,6,535,1881,159,8114,89413,50253,147531,Austria,ALL
2020-07-11,,,2,0,6,842,692,1084,101,5,534,1831,148,8099,89514,50259,148064,Austria,ALL
2020-07-12,,,2,0,6,844,692,1090,99,5,533,1784,138,8085,89613,50264,148596,Austria,ALL
