country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
France,,774,474,1117
United Kingdom,,763,535,1021
Spain,,479,331,678
Italy,,472,304,648
Belgium,,378,276,492
Germany,,228,143,314
Brazil,,212,173,253
Canada,,194,149,263
Netherlands,,129,87,179
Sweden,,126,95,170
Turkey,,104,81,129
Iran,,98,62,130
Mexico,,57,45,71
India,,47,31,70
Switzerland,,45,28,62
Ireland,,41,28,53
Indonesia,,32,17,45
Portugal,,30,22,37
Philippines,,27,14,41
Russia,,26,17,38
Romania,,21,16,28
Poland,,19,13,29
Austria,,16,10,22
Denmark,,11,8,16
Hungary,,11,8,16
Czechia,,8,6,10
Norway,,7,4,12
Finland,,5,4,7
Greece,,4,2,7
Bulgaria,,4,2,6
Slovenia,,3,2,6
Luxembourg,,3,2,5
Croatia,,3,2,4
Lithuania,,3,2,4
Estonia,,2,2,3
Slovakia,,2,1,3
Cyprus,,1,1,2
Latvia,,1,1,2
Malta,,0,0,0
