country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
United Kingdom,,647,431,884
France,,497,278,831
Italy,,407,269,574
Spain,,332,223,484
Brazil,,317,236,392
Belgium,,198,128,286
Germany,,189,123,248
Canada,,133,83,184
Turkey,,130,82,221
Netherlands,,111,68,151
Mexico,,98,68,138
Sweden,,97,71,127
Iran,,84,51,122
Russia,,58,41,77
Ireland,,49,30,72
India,,40,21,60
Switzerland,,31,19,47
Portugal,,28,20,37
Romania,,24,17,30
Indonesia,,21,12,32
Poland,,20,12,28
Austria,,12,7,19
Hungary,,11,7,16
Philippines,,11,4,19
Denmark,,9,5,14
Finland,,9,5,13
Czechia,,6,4,8
Norway,,5,3,8
Greece,,3,1,4
Bulgaria,,2,1,4
Croatia,,2,1,4
Luxembourg,,2,0,3
Slovenia,,2,0,3
Estonia,,1,1,2
Lithuania,,1,0,2
Slovakia,,1,0,2
Latvia,,1,0,1
Cyprus,,0,0,1
Malta,,0,0,1
