country,region,subregion,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio,projection_end_date
Brazil,,,79488,153895,118424,226667,2020-06-04,1473,1.6,2020-11-01
India,,,27497,115024,54307,263911,2020-06-16,2003,1.3,2020-11-01
Mexico,,,39184,78918,54838,119197,2020-06-03,1092,2.1,2020-11-01
United Kingdom,,,45385,49212,45823,54817,2020-04-21,1173,35.1,2020-11-01
Italy,,,35045,35456,35082,35849,2020-03-27,919,291.0,2020-11-01
Iran,,,14188,31266,21108,47652,2020-07-09,221,1.0,2020-11-01
France,,,30155,30632,30168,33024,2020-04-15,1438,,2020-11-01
Spain,,,28420,28642,28439,29225,2020-06-19,1179,,2020-11-01
Peru,,,13187,24580,18484,35711,2020-06-14,380,1.0,2020-11-01
Colombia,,,6736,22432,14488,35432,2020-07-17,259,1.0,2020-11-01
Russia,,,12323,21503,15372,34479,2020-05-29,232,1.6,2020-11-01
South Africa,,,5033,18179,12180,24931,2020-07-16,216,2.0,2020-11-01
Indonesia,,,4143,14965,7355,28400,2020-07-19,127,0.9,2020-11-01
Chile,,,8503,13107,9286,18932,2020-07-17,1057,2.9,2020-11-01
Belgium,,,9800,9912,9811,10277,2020-04-10,496,,2020-11-01
Canada,,,8896,9487,8949,10239,2020-04-16,251,46.0,2020-11-01
Germany,,,9092,9339,9115,9860,2020-04-15,510,255.0,2020-11-01
Pakistan,,,5599,8614,6581,13740,2020-06-14,178,3.2,2020-11-01
Egypt,,,4302,8550,5855,12105,2020-06-15,97,1.4,2020-11-01
Argentina,,,2260,8457,5472,12875,2020-07-15,82,1.8,2020-11-01
Ecuador,,,5313,7889,5615,12609,2020-05-10,410,2.7,2020-11-01
Turkey,,,5491,6733,5566,10160,2020-04-19,127,7.4,2020-11-01
Netherlands,,,6155,6234,6168,6333,2020-04-07,234,,2020-11-01
Sweden,,,5619,6003,5738,6164,2020-04-21,185,,2020-11-01
Bolivia,,,2151,5612,3665,7513,2020-07-01,78,1.2,2020-11-01
Bangladesh,,,2618,5466,3754,9515,2020-06-30,64,1.2,2020-11-01
Philippines,,,1831,5241,2545,11624,2020-07-12,162,0.6,2020-11-01
Saudi Arabia,,,2486,5076,3690,6294,2020-07-05,58,1.1,2020-11-01
China,,,4644,4646,4644,4663,2020-04-17,1290,,2020-11-01
Romania,,,2026,3995,2847,5585,2020-05-08,35,1.4,2020-11-01
Algeria,,,1078,3857,1311,12881,2020-11-01,67,6.7,2020-11-01
Panama,,,1096,3413,2345,4922,2020-07-17,38,1.2,2020-11-01
Honduras,,,900,3380,1896,5878,2020-07-02,49,3.2,2020-11-01
Dominican Republic,,,981,3196,1447,6261,2020-04-12,38,2.3,2020-11-01
Ukraine,,,1504,2754,2011,3740,2020-06-17,31,2.1,2020-11-01
Portugal,,,1689,2170,1746,3108,2020-04-03,37,6.0,2020-11-01
Poland,,,1624,2155,1825,2752,2020-04-24,40,3.3,2020-11-01
Switzerland,,,1969,2044,1978,2400,2020-04-04,75,,2020-11-01
Serbia,,,472,1945,814,4258,2020-07-10,18,1.5,2020-11-01
Ireland,,,1753,1822,1758,2201,2020-04-24,220,,2020-11-01
Japan,,,986,1656,997,2893,2020-05-01,29,,2020-11-01
Nigeria,,,789,1631,994,3388,2020-06-16,31,1.0,2020-11-01
Israel,,,409,1419,658,2931,2020-04-18,13,1.4,2020-11-01
Moldova,,,684,1229,912,1887,2020-06-20,14,1.8,2020-11-01
Belarus,,,499,1086,642,1888,2020-11-01,8,2.0,2020-11-01
Bulgaria,,,300,862,455,1508,2020-06-05,12,7.0,2020-11-01
Austria,,,711,818,722,1057,2020-04-08,30,,2020-11-01
Hungary,,,596,681,605,932,2020-04-24,23,,2020-11-01
Kuwait,,,408,678,442,1311,2020-05-30,11,7.0,2020-11-01
Denmark,,,611,645,621,707,2020-04-04,22,,2020-11-01
Morocco,,,273,557,319,988,2020-03-27,12,1.5,2020-11-01
Czechia,,,359,496,366,739,2020-04-14,18,9.0,2020-11-01
United Arab Emirates,,,339,482,350,981,2020-05-10,13,7.0,2020-11-01
Finland,,,328,356,330,445,2020-04-21,43,,2020-11-01
Australia,,,123,351,125,1127,2020-04-23,8,2.0,2020-11-01
South Korea,,,296,338,297,444,2020-03-02,11,6.0,2020-11-01
Norway,,,255,273,260,307,2020-04-20,16,,2020-11-01
Croatia,,,120,220,133,360,2020-04-19,8,,2020-11-01
Greece,,,194,219,202,266,2020-04-03,10,,2020-11-01
Malaysia,,,123,151,134,177,2020-03-29,8,2.0,2020-11-01
Luxembourg,,,111,141,115,182,2020-04-11,8,,2020-11-01
Slovenia,,,112,122,113,152,2020-04-07,6,3.0,2020-11-01
Lithuania,,,80,105,85,147,2020-04-10,6,,2020-11-01
Cuba,,,87,104,91,137,2020-04-24,6,,2020-11-01
Estonia,,,69,81,73,99,2020-04-02,6,,2020-11-01
Slovakia,,,28,41,28,79,2020-04-15,4,,2020-11-01
Latvia,,,31,39,32,76,2020-04-21,4,,2020-11-01
Cyprus,,,19,29,20,62,2020-03-30,2,,2020-11-01
Iceland,,,10,13,10,23,2020-03-15,5,,2020-11-01
Malta,,,9,12,10,13,2020-05-29,2,,2020-11-01
