country,region,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio
Brazil,,13999,152293,39143,357830,2020-08-04,2909,3.8
United Kingdom,,33693,52857,38999,82728,2020-04-29,4421,1.9
Mexico,,4477,47225,10696,105370,2020-07-28,983,3.8
India,,2649,40685,7465,145489,2020-08-04,813,8.3
Italy,,31368,40052,34567,52568,2020-03-27,919,2.9
France,,27428,35616,30128,51666,2020-04-15,1440,2.5
Spain,,27321,32655,29185,41176,2020-04-02,961,3.9
Russia,,2305,24816,5428,84836,2020-07-21,410,4.4
Canada,,5592,17681,9159,28661,2020-04-16,251,1.1
Germany,,7884,11970,8777,20611,2020-04-15,510,9.8
Iran,,6854,11050,7716,17691,2020-04-04,158,2.0
Belgium,,8903,10635,9309,14013,2020-04-10,496,5.2
Peru,,2267,8560,3435,16841,2020-05-13,112,0.9
Sweden,,3529,8059,5727,14379,2020-04-21,185,1.2
Netherlands,,5609,7935,6213,11844,2020-04-07,234,5.4
Ecuador,,2338,6754,3270,15106,2020-05-10,410,22.0
Turkey,,4007,5612,4613,8498,2020-04-19,127,2.2
Colombia,,525,5056,1549,11705,2020-08-03,89,5.6
South Africa,,238,4761,1591,9900,2020-08-03,97,5.1
Ukraine,,456,4135,1204,9058,2020-07-28,69,4.1
Pakistan,,770,3825,1167,11358,2020-08-02,52,5.8
Romania,,1053,3307,1974,5933,2020-05-08,35,1.8
Argentina,,353,2782,836,6671,2020-08-03,48,2.0
Poland,,883,2748,1250,5995,2020-04-24,40,1.2
Egypt,,571,2679,895,7297,2020-08-04,39,2.6
Japan,,697,2629,929,5589,2020-05-04,49,1.9
Saudi Arabia,,283,2499,915,6091,2020-08-02,43,4.3
Bangladesh,,283,2486,625,7447,2020-08-03,44,3.1
Chile,,368,2248,820,5017,2020-07-28,33,1.5
Switzerland,,1872,2238,1982,2956,2020-04-04,75,29.0
Ireland,,1506,2124,1651,3813,2020-04-24,220,5.7
Philippines,,790,2115,1003,4019,2020-04-12,50,1.4
Portugal,,1184,1959,1481,3041,2020-04-03,37,3.3
Indonesia,,1043,1905,1280,3350,2020-04-14,60,1.6
Moldova,,194,1483,509,3931,2020-07-16,23,2.6
Dominican Republic,,422,917,544,1880,2020-04-12,38,0.8
Hungary,,436,893,523,1901,2020-04-24,23,2.0
Austria,,626,805,691,1068,2020-04-08,30,10.0
Panama,,260,787,369,1823,2020-04-29,11,2.0
Denmark,,537,774,629,1078,2020-04-04,22,3.8
Nigeria,,167,750,296,2275,2020-05-02,17,2.7
Finland,,287,644,363,1276,2020-04-21,43,2.7
Algeria,,529,635,562,845,2020-04-09,30,2.7
Serbia,,224,484,311,898,2020-04-30,54,2.5
Czechia,,293,416,362,503,2020-04-14,18,3.0
Bulgaria,,99,365,192,738,2020-04-29,6,1.3
Israel,,265,359,302,481,2020-04-18,13,9.0
South Korea,,260,326,288,387,2020-03-02,11,
Norway,,232,296,255,374,2020-04-20,16,2.3
Morocco,,190,227,208,260,2020-03-27,12,3.0
Croatia,,94,225,133,405,2020-04-19,8,
Greece,,156,216,185,269,2020-04-03,10,4.0
Malaysia,,112,153,130,174,2020-03-29,8,3.0
Slovenia,,103,137,113,178,2020-04-07,6,
Luxembourg,,103,135,117,165,2020-04-11,8,
Estonia,,62,98,85,114,2020-04-02,6,2.0
Lithuania,,54,83,69,101,2020-04-10,6,
Slovakia,,27,40,31,51,2020-04-15,4,
Latvia,,19,37,34,42,2020-04-21,4,
Cyprus,,17,25,23,29,2020-03-30,2,
Iceland,,10,13,12,15,2020-04-06,2,
Malta,,6,10,9,11,2020-05-13,1,
