country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
US,,1876,1312,2511
US,NY,768,499,1006
US,NJ,237,174,335
US,MI,121,85,146
US,MA,80,58,94
US,IL,72,57,87
US,LA,66,54,79
US,PA,63,48,77
US,GA,62,49,75
US,CA,49,38,60
US,FL,36,27,53
US,CT,34,28,42
US,IN,28,19,37
US,OH,25,20,31
US,CO,20,15,27
US,TX,20,15,26
US,WA,20,8,84
US,MD,18,13,24
US,OK,12,7,16
US,WI,11,9,14
US,VA,10,5,17
US,AL,9,8,11
US,NC,9,6,12
US,KY,8,6,11
US,MO,8,6,11
US,NV,8,6,11
US,TN,8,6,11
US,AZ,8,6,10
US,SC,8,6,10
US,MS,8,4,11
US,RI,5,4,6
US,MN,5,3,8
US,KS,5,2,9
US,NH,4,3,6
US,OR,4,2,7
US,DC,3,2,4
US,VT,3,1,5
US,ME,2,2,3
US,PR,2,2,3
US,UT,2,1,4
US,AR,2,1,3
US,IA,2,1,3
US,ID,2,1,2
US,NE,2,1,2
US,SD,1,1,3
US,DE,1,1,2
US,GU,1,1,2
US,NM,1,1,2
US,AK,1,0,2
US,HI,1,0,2
US,WV,1,0,2
US,MP,0,0,1
US,MT,0,0,1
US,ND,0,0,1
US,VI,0,0,0
US,AS,,,
US,WY,,,
