country,region,subregion,daily_deaths,daily_deaths_lower,daily_deaths_upper
India,,,1150.98412371,700,1608
Brazil,,,776.408017606,485,1236
Mexico,,,481.479724962,333,671
Argentina,,,213.435304126,133,303
Colombia,,,204.063936038,135,307
Iran,,,138.732531216,80,230
Peru,,,120.918096715,37,229
Russia,,,110.850844656,36,221
Indonesia,,,105.223729463,63,173
Philippines,,,87.1373908769,50,148
South Africa,,,81.6287245081,46,135
Spain,,,74.8987244873,16,307
Ukraine,,,51.6217317224,32,72
Bolivia,,,48.0055123012,27,76
Chile,,,46.2572613816,12,104
Turkey,,,42.9258686481,7,94
Romania,,,38.9795899417,27,53
France,,,36.1293944711,0,214
Bangladesh,,,33.1749771033,14,58
Morocco,,,32.5572224704,19,49
Ecuador,,,31.8924762502,3,82
Saudi Arabia,,,28.1839487983,12,48
Egypt,,,17.1282083528,2,47
Israel,,,15.2370758409,8,25
Dominican Republic,,,15.1049134159,8,25
United Kingdom,,,14.8680409627,0,62
Honduras,,,13.8482730717,6,23
Italy,,,12.2969088179,0,56
Poland,,,11.9038309192,4,20
Panama,,,11.3664790786,5,19
Japan,,,10.7838946167,3,21
Moldova,,,9.26133974738,5,14
Algeria,,,8.78958157349,2,17
Australia,,,6.76449668777,2,12
Bulgaria,,,5.87485180637,4,8
Belarus,,,5.66849956345,2,11
Pakistan,,,5.65782259157,0,11
Canada,,,5.47536915972,0,20
Germany,,,4.91115817613,0,18
Czechia,,,4.30313927262,2,8
Portugal,,,3.88911221726,0,10
Croatia,,,3.68137332319,2,6
Nigeria,,,3.37558787384,1,8
Belgium,,,3.21307631752,0,14
Greece,,,3.19939505102,2,5
Netherlands,,,3.1685894521,0,13
Hungary,,,2.84811831495,0,6
Kuwait,,,2.81925049257,0,6
Switzerland,,,2.57423850058,0,9
South Korea,,,2.57051173705,0,7
Sweden,,,2.11119194126,0,7
Serbia,,,1.54927544119,0,3
Austria,,,1.54417040547,0,5
United Arab Emirates,,,1.23996520196,0,4
Ireland,,,0.904190035866,0,4
China,,,0.736003677217,0,7
Cuba,,,0.672193440887,0,2
Denmark,,,0.642428262696,0,2
Finland,,,0.321644785065,0,2
Malta,,,0.250907322364,0,1
Norway,,,0.228243099994,0,1
Luxembourg,,,0.207706715525,0,1
Slovakia,,,0.193954052124,0,1
Slovenia,,,0.186721819788,0,1
Malaysia,,,0.156294260947,0,1
Lithuania,,,0.147568996704,0,1
Estonia,,,0.0724585051985,0,1
Cyprus,,,0.072062084239,0,1
Latvia,,,0.0639976776307,0,1
Iceland,,,0.0183345408319,0,1
