country,region,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio
Brazil,,16118,143834,39729,353770,2020-08-04,2694,5.9
Mexico,,5177,72926,14099,164218,2020-08-02,1808,13.7
United Kingdom,,34716,50818,38879,74146,2020-04-29,4421,4.8
India,,3025,42012,7547,159258,2020-08-04,1015,6.6
Italy,,31908,38997,34580,48178,2020-03-27,919,5.4
France,,28111,36290,30833,50971,2020-04-15,1440,1.5
Spain,,27563,31785,28909,38386,2020-04-02,961,
Russia,,2631,17289,4644,58041,2020-08-04,305,3.2
Canada,,5903,15079,8753,27544,2020-04-16,251,1.6
Iran,,6988,11201,7769,18617,2020-04-04,158,2.8
Germany,,7962,10901,8654,16729,2020-04-15,510,9.5
Belgium,,9052,10417,9374,12841,2020-04-10,496,6.7
Peru,,2648,10085,3862,17783,2020-05-16,131,0.8
Ecuador,,2736,7753,3755,15850,2020-05-10,410,2.0
Ukraine,,514,7683,2460,16810,2020-08-04,180,10.6
Netherlands,,5699,7604,6242,10366,2020-04-07,234,15.3
Sweden,,3679,7516,5757,10802,2020-04-21,185,17.2
South Africa,,264,5636,1673,15520,2020-08-04,143,47.7
Turkey,,4140,5628,4688,8237,2020-04-19,127,2.7
Colombia,,574,5134,1589,11945,2020-08-04,110,9.2
Chile,,450,4831,1715,9765,2020-08-04,102,3.5
Pakistan,,873,4676,1323,12712,2020-08-04,82,2.1
China,,4638,4642,4638,4667,2020-04-17,1290,
Egypt,,630,3625,1079,11096,2020-08-04,70,3.9
Bangladesh,,328,3206,860,8361,2020-08-04,72,5.1
Romania,,1107,3010,1902,5132,2020-05-08,35,2.0
Saudi Arabia,,312,2687,933,6578,2020-08-04,57,5.7
Poland,,925,2528,1307,5189,2020-04-24,40,2.6
Indonesia,,1148,2378,1443,4380,2020-04-14,60,0.4
Argentina,,373,2345,752,6571,2020-08-04,55,5.5
Switzerland,,1881,2217,1981,2818,2020-04-04,75,30.0
Philippines,,824,2046,1015,3901,2020-04-12,50,3.4
Ireland,,1543,1964,1656,2879,2020-04-24,220,5.2
Portugal,,1218,1846,1476,2664,2020-04-03,37,2.1
Japan,,744,1821,890,3308,2020-05-04,49,0.9
Moldova,,211,1400,545,3393,2020-08-01,23,5.8
Panama,,275,802,377,1913,2020-04-29,11,1.5
Austria,,629,775,686,951,2020-04-08,30,
Hungary,,451,775,523,1479,2020-04-24,23,4.3
Dominican Republic,,428,775,523,1386,2020-04-12,38,
Denmark,,547,746,634,981,2020-04-04,22,3.8
Nigeria,,182,656,283,1695,2020-05-02,17,1.3
Algeria,,548,655,578,869,2020-04-09,30,3.2
Finland,,298,556,362,1019,2020-04-21,43,8.0
Czechia,,298,402,358,463,2020-04-14,18,4.5
Serbia,,230,395,305,641,2020-04-30,54,2.5
Bulgaria,,108,377,207,692,2020-04-29,6,1.7
Israel,,272,359,308,471,2020-04-18,13,2.2
South Korea,,263,326,284,415,2020-03-02,11,6.0
Norway,,232,280,249,328,2020-04-20,16,
Morocco,,192,225,208,255,2020-03-27,12,
Greece,,163,215,188,260,2020-04-03,10,4.0
Croatia,,95,187,125,312,2020-04-19,8,
Malaysia,,113,147,129,165,2020-03-29,8,
Luxembourg,,107,134,121,152,2020-04-11,8,1.0
Slovenia,,104,131,113,164,2020-04-07,6,3.0
Estonia,,63,92,81,103,2020-04-02,6,
Lithuania,,56,82,70,99,2020-04-10,6,1.0
Slovakia,,28,38,31,48,2020-04-15,4,
Latvia,,19,35,30,40,2020-04-21,4,
Cyprus,,17,24,22,26,2020-03-30,2,
Iceland,,10,13,12,14,2020-04-06,2,
Malta,,6,9,9,10,2020-05-13,1,
