country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
US,,2012,1507,2728
US,NY,739,541,1039
US,NJ,230,175,342
US,MI,162,141,193
US,MA,96,72,117
US,IL,79,62,96
US,PA,78,55,95
US,GA,61,51,74
US,LA,60,46,80
US,CT,58,47,75
US,IN,44,35,57
US,CA,44,33,53
US,FL,43,31,60
US,MD,28,19,35
US,OH,26,18,34
US,TX,25,18,31
US,CO,22,16,29
US,WA,20,9,51
US,VA,16,13,20
US,MO,15,11,19
US,WI,14,11,18
US,NC,11,7,14
US,AL,10,8,13
US,AZ,9,7,12
US,NV,9,7,12
US,KY,9,7,11
US,TN,9,6,11
US,MS,9,4,12
US,MN,8,6,11
US,OK,8,5,12
US,RI,7,6,8
US,SC,7,5,8
US,KS,7,4,11
US,DC,5,4,6
US,DE,4,3,6
US,PR,4,3,6
US,ID,4,3,5
US,OR,4,2,7
US,NH,3,2,5
US,IA,3,2,4
US,NE,3,2,3
US,VT,3,1,5
US,ME,2,2,3
US,NM,2,2,3
US,UT,2,1,4
US,AR,2,1,3
US,HI,2,1,2
US,GU,1,1,2
US,ND,1,1,1
US,SD,1,0,3
US,AK,1,0,2
US,WV,1,0,2
US,MT,1,0,1
US,MP,0,0,1
US,VI,0,0,1
US,AS,,,
US,WY,,,
