country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
United Kingdom,,559,363,791
Brazil,,500,384,606
France,,358,171,689
Italy,,327,204,497
Spain,,254,150,407
Germany,,150,90,217
Canada,,140,94,190
Belgium,,130,79,213
Mexico,,113,81,148
Russia,,111,74,145
Netherlands,,86,50,129
Sweden,,84,53,126
Turkey,,82,52,123
India,,78,57,92
Iran,,71,39,108
Ireland,,39,24,58
Romania,,25,19,32
Portugal,,23,16,31
Switzerland,,22,12,37
Poland,,20,12,29
Indonesia,,19,11,28
Philippines,,13,5,22
Hungary,,10,6,15
Austria,,9,5,14
Denmark,,7,4,11
Finland,,7,4,11
Czechia,,4,2,6
Norway,,3,1,5
Croatia,,3,1,4
Bulgaria,,2,1,3
Greece,,2,1,3
Slovenia,,1,0,3
Estonia,,1,0,2
Lithuania,,1,0,2
Luxembourg,,1,0,2
Slovakia,,1,0,2
Latvia,,1,0,1
Cyprus,,0,0,1
Malta,,0,0,1
