date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper
2020-01-31,,,,,,,,,104,100,200
2020-02-01,,,,,,,,,208,200,400
2020-02-02,,,,,,,,,312,300,600
2020-02-03,,,,,,,,,415,400,800
2020-02-04,,,,,,,,,519,500,1000
2020-02-05,,,,,,,,,623,600,1200
2020-02-06,,,,,,,,,727,700,1400
2020-02-07,,,,,,,,,831,800,1600
2020-02-08,,,,,,,,,935,900,1800
2020-02-09,,,,,,,,,1165,1119,2240
2020-02-10,,,,,,,,,1394,1339,2679
2020-02-11,,,,,,,,,1630,1564,3130
2020-02-12,,,,,,,,,1881,1803,3608
2020-02-13,,,,,,,,,2162,2071,4143
2020-02-14,,,,,,,,,2490,2382,4766
2020-02-15,,,,,,,,,2854,2725,5454
2020-02-16,,,,,,,,,3244,3094,6191
2020-02-17,,,,,,,,,3663,3489,6982
2020-02-18,,,,,,,,,4114,3913,7831
2020-02-19,,,,,,,,,4605,4373,8753
2020-02-20,,,,,,,,,5136,4869,9747
2020-02-21,,,,,,,,,5705,5399,10810
2020-02-22,,,,,,,,,6313,5963,11943
2020-02-23,,,,,,,,,6962,6562,13146
2020-02-24,,,,,,,,,7654,7199,14426
2020-02-25,,,,,,,,,8391,7874,15785
2020-02-26,,,,,,,,,9175,8588,17225
2020-02-27,,,,,,,,,10007,9341,18745
2020-02-28,,,,,,,,,10887,10133,20347
2020-02-29,,,,,,,,,11818,10964,22031
2020-03-01,,,,,,,,,12801,11835,23798
2020-03-02,,,,,,,,,13838,12745,25649
2020-03-03,,,,,,,,,14930,13693,27579
2020-03-04,,,,,,,,,16077,14679,29587
2020-03-05,,,,,,,,,17279,15700,31673
2020-03-06,,,,,,,,,18538,16754,33870
2020-03-07,,,,,,,,,19850,17836,36198
2020-03-08,,,,,,,,,21215,18936,38651
2020-03-09,,,,,,,,,22630,20051,41216
2020-03-10,,,,,,,,,24090,21177,43878
2020-03-11,17,17,,,,,,,25590,22302,46616
2020-03-12,0,17,,,,,,,27124,23409,49413
2020-03-13,0,17,,,,,,,28685,24505,52255
2020-03-14,0,17,,,,,,,30266,25579,55096
2020-03-15,0,17,,,,,,,31858,26622,57939
2020-03-16,0,17,,,,,,,33453,27627,60746
2020-03-17,0,17,,,,,,,35043,28600,63495
2020-03-18,0,17,,,,,,,36621,29545,66208
2020-03-19,0,17,,,,,,,38181,30465,68838
2020-03-20,1,18,,,,,,,39717,31348,71369
2020-03-21,1,19,,,,,,,41226,32188,73824
2020-03-22,6,25,,,,,,,42707,32989,76219
2020-03-23,8,33,,,,,,,44157,33752,78550
2020-03-24,2,35,,,,,,,45577,34483,80821
2020-03-25,3,38,,,,,,,46966,35183,83006
2020-03-26,7,45,,,,,,,48324,35849,85116
2020-03-27,9,54,,,,,,,49653,36481,87160
2020-03-28,14,68,,,,,,,50952,37084,89147
2020-03-29,3,71,,,,,,,52223,37663,91076
2020-03-30,7,78,,,,,,,53465,38216,92995
2020-03-31,10,88,,,,,,,54682,38746,94908
2020-04-01,8,96,,,,,,,55872,39253,96810
2020-04-02,11,107,,,,,,,57037,39735,98700
2020-04-03,29,136,,,,,,,58178,40193,100580
2020-04-04,8,144,,,,,,,59296,40627,102450
2020-04-05,8,152,,,,,,,60392,41041,104310
2020-04-06,11,163,,,,,,,61466,41436,106160
2020-04-07,14,177,,,,,,,62519,41814,107988
2020-04-08,5,182,,,,,,,63553,42175,109810
2020-04-09,21,203,,,,,,,64567,42522,111627
2020-04-10,18,221,,,,,,,65562,42853,113421
2020-04-11,26,247,,,,,,,66540,43170,115206
2020-04-12,50,297,,,,,,,67500,43475,116985
2020-04-13,18,315,,,,,,,68444,43770,118755
2020-04-14,20,335,,,,,,,69371,44055,120516
2020-04-15,14,349,,,,,,,70282,44329,122269
2020-04-16,13,362,,,,,,,71179,44593,124012
2020-04-17,25,387,,,,,,,72060,44847,125747
2020-04-18,10,397,,,,,,,72928,45092,127474
2020-04-19,12,409,,,,,,,73781,45328,129189
2020-04-20,19,428,,,,,,,74621,45555,130891
2020-04-21,9,437,,,,,,,75448,45773,132590
2020-04-22,9,446,,,,,,,76262,45984,134278
2020-04-23,16,462,,,,,,,77064,46188,135949
2020-04-24,,,12,4,19,474,466,481,77853,46385,137617
2020-04-25,,,11,4,19,485,471,500,78631,46575,139273
2020-04-26,,,11,4,19,496,475,519,79398,46759,140921
2020-04-27,,,11,4,19,507,480,537,80153,46938,142556
2020-04-28,,,11,3,19,518,484,556,80897,47110,144186
2020-04-29,,,11,3,19,529,487,574,81630,47278,145807
2020-04-30,,,10,3,19,539,491,593,82353,47440,147418
2020-05-01,,,10,3,19,549,495,611,83065,47598,149021
2020-05-02,,,10,3,18,559,498,629,83768,47751,150614
2020-05-03,,,10,3,18,569,501,647,84460,47900,152198
2020-05-04,,,10,3,18,579,504,664,85143,48045,153772
2020-05-05,,,9,2,18,588,507,682,85816,48186,155337
2020-05-06,,,9,2,18,597,510,700,86480,48322,156892
2020-05-07,,,9,2,18,606,513,717,87135,48455,158438
2020-05-08,,,9,2,18,615,515,735,87780,48585,159975
2020-05-09,,,9,2,18,624,518,752,88417,48711,161501
2020-05-10,,,9,2,18,633,520,769,89044,48833,163018
2020-05-11,,,9,2,18,641,523,786,89663,48952,164525
2020-05-12,,,8,2,18,650,525,803,90274,49069,166022
2020-05-13,,,8,2,18,658,527,820,90876,49181,167510
2020-05-14,,,8,2,17,666,529,837,91470,49291,168987
2020-05-15,,,8,2,17,674,531,854,92055,49398,170455
2020-05-16,,,8,1,17,682,533,871,92633,49502,171911
2020-05-17,,,8,1,17,690,535,887,93202,49604,173357
2020-05-18,,,8,1,17,698,537,904,93763,49702,174794
2020-05-19,,,8,1,17,705,539,920,94317,49798,176220
2020-05-20,,,7,1,17,713,541,936,94862,49891,177635
2020-05-21,,,7,1,17,720,542,953,95400,49981,179041
2020-05-22,,,7,1,17,727,544,969,95931,50069,180436
2020-05-23,,,7,1,17,734,546,985,96453,50154,181820
2020-05-24,,,7,1,16,741,547,1001,96969,50237,183195
2020-05-25,,,7,1,16,748,549,1017,97476,50317,184558
2020-05-26,,,7,1,16,755,550,1032,97977,50395,185911
2020-05-27,,,7,1,16,762,552,1048,98470,50470,187254
2020-05-28,,,7,1,16,769,553,1063,98956,50543,188586
2020-05-29,,,7,1,16,775,554,1079,99434,50613,189907
2020-05-30,,,6,1,16,782,556,1094,99906,50681,191218
2020-05-31,,,6,1,16,788,557,1110,100370,50747,192517
2020-06-01,,,6,1,16,794,558,1125,100827,50810,193806
2020-06-02,,,6,1,16,800,559,1140,101277,50871,195084
2020-06-03,,,6,1,15,807,560,1155,101720,50930,196351
2020-06-04,,,6,1,15,813,562,1170,102156,50986,197607
2020-06-05,,,6,1,15,819,563,1184,102586,51040,198852
2020-06-06,,,6,1,15,824,564,1199,103008,51092,200086
2020-06-07,,,6,1,15,830,565,1214,103423,51142,201309
2020-06-08,,,6,1,15,836,566,1228,103832,51189,202520
2020-06-09,,,6,0,15,841,567,1242,104234,51234,203721
2020-06-10,,,6,0,15,847,568,1257,104629,51277,204910
2020-06-11,,,5,0,15,852,569,1271,105017,51317,206088
2020-06-12,,,5,0,15,858,570,1285,105398,51355,207255
2020-06-13,,,5,0,14,863,570,1299,105773,51391,208410
2020-06-14,,,5,0,14,868,571,1313,106141,51425,209554
2020-06-15,,,5,0,14,874,572,1326,106503,51457,210687
2020-06-16,,,5,0,14,879,573,1340,106858,51486,211808
2020-06-17,,,5,0,14,884,574,1354,107206,51513,212918
2020-06-18,,,5,0,14,889,574,1367,107547,51538,214016
2020-06-19,,,5,0,14,893,575,1380,107882,51561,215102
2020-06-20,,,5,0,14,898,576,1394,108211,51581,216178
2020-06-21,,,5,0,14,903,577,1407,108533,51600,217242
2020-06-22,,,5,0,13,908,577,1420,108850,51618,218295
2020-06-23,,,5,0,13,912,578,1433,109162,51634,219338
2020-06-24,,,5,0,13,917,578,1445,109467,51649,220369
2020-06-25,,,4,0,13,921,579,1458,109767,51662,221390
2020-06-26,,,4,0,13,925,580,1471,110062,51675,222400
2020-06-27,,,4,0,13,930,580,1483,110352,51686,223400
2020-06-28,,,4,0,13,934,581,1495,110637,51697,224390
2020-06-29,,,4,0,13,938,581,1508,110917,51707,225369
2020-06-30,,,4,0,13,942,582,1520,111192,51716,226338
2020-07-01,,,4,0,13,946,582,1532,111462,51724,227297
2020-07-02,,,4,0,12,950,583,1544,111728,51731,228246
2020-07-03,,,4,0,12,954,583,1555,111990,51738,229185
2020-07-04,,,4,0,12,958,583,1567,112247,51745,230115
2020-07-05,,,4,0,12,962,584,1579,112500,51751,231035
2020-07-06,,,4,0,12,965,584,1590,112749,51756,231945
2020-07-07,,,4,0,12,969,584,1601,112993,51761,232846
2020-07-08,,,4,0,12,972,585,1613,113234,51765,233738
2020-07-09,,,3,0,12,976,585,1624,113471,51770,234620
2020-07-10,,,3,0,11,979,585,1635,113705,51773,235494
2020-07-11,,,3,0,11,983,585,1645,113934,51777,236358
2020-07-12,,,3,0,11,986,586,1656,114160,51780,237213
2020-07-13,,,3,0,11,989,586,1667,114382,51783,238059
2020-07-14,,,3,0,11,992,586,1677,114601,51786,238897
2020-07-15,,,3,0,11,996,586,1688,114817,51788,239726
2020-07-16,,,3,0,11,999,586,1698,115029,51791,240546
2020-07-17,,,3,0,11,1002,586,1708,115238,51793,241358
2020-07-18,,,3,0,11,1005,587,1719,115444,51795,242161
2020-07-19,,,3,0,11,1007,587,1729,115647,51796,242956
2020-07-20,,,3,0,10,1010,587,1738,115847,51798,243743
2020-07-21,,,3,0,10,1013,587,1748,116044,51800,244522
2020-07-22,,,3,0,10,1016,587,1758,116238,51801,245292
2020-07-23,,,3,0,10,1019,587,1767,116428,51802,246055
2020-07-24,,,3,0,10,1021,587,1777,116617,51803,246809
2020-07-25,,,3,0,10,1024,587,1786,116802,51804,247556
2020-07-26,,,3,0,10,1026,587,1796,116985,51805,248295
2020-07-27,,,3,0,10,1029,587,1805,117165,51806,249027
2020-07-28,,,2,0,10,1031,587,1814,117342,51807,249751
2020-07-29,,,2,0,10,1034,587,1823,117517,51808,250467
2020-07-30,,,2,0,9,1036,587,1832,117690,51809,251176
2020-07-31,,,2,0,9,1039,587,1841,117860,51809,251877
2020-08-01,,,2,0,9,1041,588,1849,118027,51810,252571
2020-08-02,,,2,0,9,1043,588,1858,118192,51810,253258
2020-08-03,,,2,0,9,1046,588,1867,118355,51811,253938
2020-08-04,,,2,0,9,1048,588,1875,118516,51811,254611
