country,region,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio
United Kingdom,,18791,44668,25788,107257,2020-04-10,981,1.3
Italy,,25549,43792,33281,65145,2020-03-27,919,1.7
France,,21889,40752,26716,92331,2020-04-15,1440,1.7
Spain,,22157,31622,26939,42767,2020-04-02,961,1.9
Brazil,,3331,27986,11413,60542,2020-04-23,425,0.8
Germany,,5575,27325,10278,46308,2020-04-15,510,1.2
Belgium,,6490,12536,8690,24518,2020-04-10,496,1.4
Netherlands,,4192,11452,6036,23408,2020-04-07,234,1.2
Canada,,2241,10493,4039,20316,2020-04-16,251,0.8
Iran,,5481,9860,7065,15425,2020-04-04,158,1.6
Mexico,,1069,9401,3209,20468,2020-04-23,212,0.6
Sweden,,2021,8770,4251,17737,2020-04-21,185,1.2
Turkey,,2491,7122,4045,16174,2020-04-22,139,1.2
Russia,,555,4097,1525,10246,2020-05-02,62,1.5
Portugal,,820,3100,1680,6207,2020-04-03,37,0.8
Switzerland,,1549,2815,1983,5248,2020-04-04,75,1.4
India,,721,2754,1203,6195,2020-04-21,53,1.0
Poland,,454,2308,757,5772,2020-08-04,30,1.1
Romania,,545,2286,1231,4812,2020-04-19,30,1.0
Ireland,,794,2284,1225,4779,2020-04-20,77,1.7
Indonesia,,647,1592,886,2913,2020-04-14,60,2.1
Austria,,522,1285,746,3025,2020-04-08,30,1.7
Finland,,172,1197,361,2721,2020-04-21,43,0.7
Hungary,,239,1175,428,3087,2020-04-19,17,0.9
Philippines,,462,1048,588,1875,2020-04-12,50,1.0
Denmark,,394,772,553,1260,2020-04-04,22,1.5
Czechia,,210,491,352,665,2020-04-14,18,4.5
Norway,,194,481,292,1154,2020-04-20,16,1.0
Croatia,,50,288,121,1021,2020-04-19,8,1.5
Bulgaria,,52,261,116,813,2020-04-22,4,1.0
Greece,,125,254,182,397,2020-04-03,10,1.0
Luxembourg,,83,159,112,228,2020-04-11,8,1.0
Slovenia,,79,159,104,293,2020-04-07,6,
Estonia,,45,120,91,155,2020-04-02,6,2.0
Lithuania,,40,119,78,207,2020-04-10,6,1.0
Latvia,,11,64,47,83,2020-04-21,4,
Slovakia,,15,45,25,91,2020-04-15,4,1.0
Cyprus,,13,32,27,50,2020-03-30,2,
Malta,,3,11,10,13,2020-04-11,1,
