date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper
2020-01-25,,,,,,,,,199,100,300
2020-01-26,,,,,,,,,398,200,600
2020-01-27,,,,,,,,,597,300,900
2020-01-28,,,,,,,,,796,400,1200
2020-01-29,,,,,,,,,995,500,1500
2020-01-30,,,,,,,,,1194,600,1800
2020-01-31,,,,,,,,,1393,700,2100
2020-02-01,,,,,,,,,1592,800,2400
2020-02-02,,,,,,,,,1791,900,2700
2020-02-03,,,,,,,,,2421,1239,3660
2020-02-04,,,,,,,,,3051,1578,4616
2020-02-05,,,,,,,,,3726,1945,5642
2020-02-06,,,,,,,,,4494,2369,6810
2020-02-07,,,,,,,,,5454,2910,8269
2020-02-08,,,,,,,,,6715,3635,10186
2020-02-09,,,,,,,,,8223,4513,12477
2020-02-10,,,,,,,,,9968,5544,15121
2020-02-11,,,,,,,,,12013,6773,18212
2020-02-12,,,,,,,,,14441,8257,21865
2020-02-13,,,,,,,,,17356,10073,26272
2020-02-14,,,,,,,,,20809,12259,31519
2020-02-15,,,,,,,,,24847,14860,37629
2020-02-16,,,,,,,,,29553,17948,44708
2020-02-17,,,,,,,,,35029,21612,52819
2020-02-18,,,,,,,,,41382,25952,62076
2020-02-19,2,2,,,,,,,48691,31053,72453
2020-02-20,0,2,,,,,,,57001,36852,84180
2020-02-21,2,4,,,,,,,66337,43403,97193
2020-02-22,1,5,,,,,,,76694,50722,111285
2020-02-23,3,8,,,,,,,88025,58774,126109
2020-02-24,4,12,,,,,,,100234,67664,141695
2020-02-25,4,16,,,,,,,113186,77351,158121
2020-02-26,3,19,,,,,,,126730,87638,175166
2020-02-27,7,26,,,,,,,140715,98459,192612
2020-02-28,8,34,,,,,,,155003,109672,210316
2020-02-29,9,43,,,,,,,169471,121109,228197
2020-03-01,11,54,,,,,,,184018,132643,246013
2020-03-02,12,66,,,,,,,198563,144226,263789
2020-03-03,11,77,,,,,,,213044,155845,281401
2020-03-04,15,92,,,,,,,227417,167419,298840
2020-03-05,15,107,,,,,,,241646,178938,316087
2020-03-06,17,124,,,,,,,255704,190350,332971
2020-03-07,21,145,,,,,,,269571,201677,349553
2020-03-08,49,194,,,,,,,283233,212891,365825
2020-03-09,43,237,,,,,,,296681,223992,381798
2020-03-10,54,291,,,,,,,309908,234961,397493
2020-03-11,63,354,,,,,,,322912,245737,412942
2020-03-12,75,429,,,,,,,335689,256336,428125
2020-03-13,85,514,,,,,,,348239,266730,442951
2020-03-14,97,611,,,,,,,360564,276950,457434
2020-03-15,113,724,,,,,,,372666,286917,471722
2020-03-16,129,853,,,,,,,384547,296640,485789
2020-03-17,135,988,,,,,,,396210,306060,499595
2020-03-18,147,1135,,,,,,,407658,315225,513291
2020-03-19,149,1284,,,,,,,418896,324141,526822
2020-03-20,149,1433,,,,,,,429927,332790,540193
2020-03-21,123,1556,,,,,,,440755,341188,553428
2020-03-22,129,1685,,,,,,,451384,349354,566562
2020-03-23,127,1812,,,,,,,461819,357275,579582
2020-03-24,122,1934,,,,,,,472063,364947,592522
2020-03-25,143,2077,,,,,,,482120,372356,605358
2020-03-26,157,2234,,,,,,,491994,379521,618085
2020-03-27,144,2378,,,,,,,501690,386466,630765
2020-03-28,139,2517,,,,,,,511212,393179,643413
2020-03-29,123,2640,,,,,,,520562,399667,655989
2020-03-30,117,2757,,,,,,,529745,405942,668481
2020-03-31,141,2898,,,,,,,538765,411986,680901
2020-04-01,138,3036,,,,,,,547625,417844,693252
2020-04-02,124,3160,,,,,,,556328,423512,705552
2020-04-03,134,3294,,,,,,,564878,428983,717786
2020-04-04,158,3452,,,,,,,573279,434249,729970
2020-04-05,151,3603,,,,,,,581533,439335,742097
2020-04-06,136,3739,,,,,,,589644,444252,754177
2020-04-07,133,3872,,,,,,,597614,449000,766179
2020-04-08,121,3993,,,,,,,605448,453590,778160
2020-04-09,117,4110,,,,,,,613147,458025,790117
2020-04-10,122,4232,,,,,,,620714,462288,801964
2020-04-11,125,4357,,,,,,,628153,466410,813742
2020-04-12,117,4474,,,,,,,635466,470378,825519
2020-04-13,111,4585,,,,,,,642656,474195,837187
2020-04-14,98,4683,,,,,,,649725,477875,848831
2020-04-15,94,4777,,,,,,,656675,481424,860416
2020-04-16,92,4869,,,,,,,663510,484850,871973
2020-04-17,89,4958,,,,,,,670231,488154,883445
2020-04-18,73,5031,,,,,,,676841,491342,894886
2020-04-19,87,5118,,,,,,,683342,494417,906282
2020-04-20,91,5209,,,,,,,689737,497391,917637
2020-04-21,88,5297,,,,,,,696026,500268,928975
2020-04-22,94,5391,,,,,,,702214,503043,940325
2020-04-23,90,5481,,,,,,,708300,505722,951687
2020-04-24,,,87,56,123,5568,5537,5604,714288,508299,962978
2020-04-25,,,86,54,123,5654,5592,5727,720180,510779,974222
2020-04-26,,,84,52,122,5738,5645,5849,725976,513173,985420
2020-04-27,,,83,51,122,5820,5696,5970,731680,515482,996556
2020-04-28,,,81,49,121,5902,5746,6091,737293,517714,1007632
2020-04-29,,,80,47,121,5981,5793,6211,742816,519871,1018658
2020-04-30,,,78,46,120,6060,5839,6331,748251,521954,1029622
2020-05-01,,,77,44,120,6137,5884,6450,753600,523965,1040524
2020-05-02,,,76,42,119,6213,5927,6569,758865,525907,1051366
2020-05-03,,,74,41,118,6287,5968,6686,764046,527784,1062138
2020-05-04,,,73,39,118,6360,6008,6804,769146,529596,1072850
