date,actual_deaths,total_deaths,predicted_deaths_mean,predicted_deaths_lower,predicted_deaths_upper,predicted_total_deaths_mean,predicted_total_deaths_lower,predicted_total_deaths_upper,predicted_total_infected_mean,predicted_total_infected_lower,predicted_total_infected_upper
2020-02-16,,,,,,,,,356,100,500
2020-02-17,,,,,,,,,713,200,1000
2020-02-18,,,,,,,,,1069,300,1500
2020-02-19,,,,,,,,,1426,400,2000
2020-02-20,,,,,,,,,1782,500,2500
2020-02-21,,,,,,,,,2138,600,3000
2020-02-22,,,,,,,,,2495,700,3500
2020-02-23,,,,,,,,,2851,800,4000
2020-02-24,,,,,,,,,3208,900,4500
2020-02-25,,,,,,,,,4096,1179,5700
2020-02-26,,,,,,,,,4982,1459,6896
2020-02-27,,,,,,,,,5905,1753,8136
2020-02-28,,,,,,,,,6905,2079,9470
2020-02-29,,,,,,,,,8064,2470,10998
2020-03-01,,,,,,,,,9471,2963,12828
2020-03-02,,,,,,,,,11069,3537,14886
2020-03-03,,,,,,,,,12825,4182,17130
2020-03-04,,,,,,,,,14763,4914,19582
2020-03-05,,,,,,,,,16915,5751,22272
2020-03-06,,,,,,,,,19332,6723,25260
2020-03-07,,,,,,,,,22028,7840,28554
2020-03-08,,,,,,,,,25005,9110,32153
2020-03-09,,,,,,,,,28278,10550,36069
2020-03-10,,,,,,,,,31878,12187,40327
2020-03-11,1,1,,,,,,,35839,14049,44961
2020-03-12,0,1,,,,,,,40190,16167,50001
2020-03-13,0,1,,,,,,,44953,18568,55466
2020-03-14,1,2,,,,,,,50149,21286,61376
2020-03-15,1,3,,,,,,,55800,24360,67757
2020-03-16,3,6,,,,,,,61931,27838,74641
2020-03-17,1,7,,,,,,,68558,31769,82069
2020-03-18,3,10,,,,,,,75687,36205,90059
2020-03-19,1,11,,,,,,,83315,41201,98665
2020-03-20,5,16,,,,,,,91427,46750,107941
2020-03-21,4,20,,,,,,,99997,52763,117889
2020-03-22,1,21,,,,,,,108987,59235,128422
2020-03-23,4,25,,,,,,,118351,66187,139499
2020-03-24,11,36,,,,,,,128035,73624,151033
2020-03-25,26,62,,,,,,,137982,81522,162941
2020-03-26,15,77,,,,,,,148137,89664,175259
2020-03-27,28,105,,,,,,,158446,98021,187894
2020-03-28,0,105,,,,,,,168862,106398,200789
2020-03-29,5,110,,,,,,,179338,114789,213848
2020-03-30,36,146,,,,,,,189838,123157,227134
2020-03-31,34,180,,,,,,,200327,131405,240549
2020-04-01,59,239,,,,,,,210777,139516,254034
2020-04-02,69,308,,,,,,,221167,147453,267537
2020-04-03,50,358,,,,,,,231478,155177,281148
2020-04-04,15,373,,,,,,,241696,162679,294825
2020-04-05,28,401,,,,,,,251809,169903,308433
2020-04-06,76,477,,,,,,,261810,176910,321908
2020-04-07,114,591,,,,,,,271692,183708,335336
2020-04-08,96,687,,,,,,,281450,190323,348699
2020-04-09,106,793,,,,,,,291083,196752,362039
2020-04-10,77,870,,,,,,,300589,203000,375423
2020-04-11,17,887,,,,,,,309965,209037,388822
2020-04-12,12,899,,,,,,,319213,214875,401970
2020-04-13,20,919,,,,,,,328333,220462,415118
2020-04-14,114,1033,,,,,,,337326,225865,428270
2020-04-15,170,1203,,,,,,,346192,231053,441395
2020-04-16,130,1333,,,,,,,354934,236107,454390
2020-04-17,67,1400,,,,,,,363553,240969,467379
2020-04-18,111,1511,,,,,,,372051,245643,480361
2020-04-19,29,1540,,,,,,,380430,250137,493323
2020-04-20,40,1580,,,,,,,388691,254476,506231
2020-04-21,185,1765,,,,,,,396837,258659,519112
2020-04-22,172,1937,,,,,,,404869,262683,531963
2020-04-23,84,2021,,,,,,,412789,266554,544780
2020-04-24,,,103,79,134,2124,2100,2155,420600,270279,557562
2020-04-25,,,103,77,135,2227,2177,2290,428303,273863,570306
2020-04-26,,,102,74,137,2329,2252,2426,435900,277297,583009
2020-04-27,,,101,72,135,2430,2324,2561,443393,280584,595670
2020-04-28,,,100,70,135,2529,2394,2695,450783,283747,608303
2020-04-29,,,99,68,134,2628,2462,2829,458072,286791,620907
2020-04-30,,,97,66,134,2726,2529,2962,465262,289721,633478
2020-05-01,,,96,64,134,2822,2593,3095,472355,292542,646016
2020-05-02,,,95,62,134,2917,2656,3228,479352,295259,658516
2020-05-03,,,94,60,134,3011,2716,3362,486254,297875,670978
2020-05-04,,,92,58,132,3103,2775,3493,493063,300396,683399
2020-05-05,,,91,56,132,3194,2831,3625,499781,302824,695776
2020-05-06,,,90,54,132,3284,2885,3756,506408,305162,708108
2020-05-07,,,89,52,132,3373,2938,3887,512946,307399,720392
2020-05-08,,,87,50,130,3460,2988,4017,519397,309540,732627
2020-05-09,,,86,48,130,3547,3037,4147,525761,311590,744810
2020-05-10,,,85,46,130,3632,3084,4277,532040,313553,756938
2020-05-11,,,84,45,130,3716,3129,4406,538235,315431,769011
2020-05-12,,,83,43,129,3798,3173,4535,544346,317239,781027
2020-05-13,,,82,42,129,3880,3215,4664,550376,318985,792982
2020-05-14,,,80,40,129,3960,3255,4792,556325,320670,804876
2020-05-15,,,79,38,129,4039,3294,4920,562193,322298,816706
2020-05-16,,,78,37,128,4118,3332,5048,567983,323871,828471
2020-05-17,,,77,36,128,4195,3368,5175,573695,325388,840169
2020-05-18,,,76,34,127,4271,3402,5302,579330,326839,851798
2020-05-19,,,75,33,127,4346,3435,5429,584888,328246,863357
2020-05-20,,,74,31,127,4420,3467,5555,590371,329605,874844
2020-05-21,,,73,30,126,4493,3498,5681,595779,330918,886256
2020-05-22,,,72,29,126,4564,3527,5807,601114,332182,897594
2020-05-23,,,71,28,126,4635,3555,5932,606376,333399,908854
2020-05-24,,,70,27,125,4705,3583,6057,611565,334571,920037
2020-05-25,,,69,26,125,4775,3609,6182,616683,335704,931139
2020-05-26,,,68,25,125,4843,3634,6306,621730,336798,942160
2020-05-27,,,67,24,124,4910,3659,6429,626707,337845,953098
2020-05-28,,,66,23,124,4976,3682,6553,631614,338847,963953
2020-05-29,,,65,22,123,5042,3705,6675,636453,339811,974722
2020-05-30,,,65,21,123,5106,3726,6798,641223,340741,985405
2020-05-31,,,64,20,122,5170,3747,6919,645926,341640,996000
2020-06-01,,,63,19,122,5233,3767,7041,651018,342566,1007772
2020-06-02,,,62,18,121,5295,3786,7161,656038,343453,1019450
2020-06-03,,,61,18,121,5356,3804,7281,661010,344311,1031147
2020-06-04,,,60,17,120,5416,3821,7401,665959,345140,1042961
2020-06-05,,,60,16,119,5476,3838,7520,670935,345941,1055111
2020-06-06,,,59,16,119,5534,3855,7638,675990,346721,1067756
2020-06-07,,,58,15,118,5592,3870,7756,681084,347484,1080741
2020-06-08,,,57,15,117,5649,3886,7873,686189,348217,1093954
2020-06-09,,,56,14,117,5706,3900,7989,691307,348928,1107518
2020-06-10,,,56,14,116,5761,3914,8104,696442,349619,1121344
2020-06-11,,,55,13,115,5816,3928,8219,701614,350287,1135566
2020-06-12,,,54,13,115,5870,3941,8333,706823,350937,1150206
2020-06-13,,,53,12,114,5924,3954,8447,712061,351560,1165232
2020-06-14,,,53,12,113,5976,3966,8559,717324,352160,1180632
2020-06-15,,,52,11,112,6028,3978,8671,722613,352735,1196414
2020-06-16,,,51,11,111,6080,3989,8782,727933,353285,1212605
2020-06-17,,,50,10,111,6130,4000,8892,733286,353813,1229222
2020-06-18,,,50,10,110,6180,4011,9001,738671,354317,1246262
2020-06-19,,,49,10,109,6229,4021,9110,744087,354799,1263726
2020-06-20,,,49,9,108,6279,4031,9218,749533,355260,1281615
2020-06-21,,,49,9,110,6327,4040,9327,755012,355705,1299939
2020-06-22,,,49,9,112,6377,4050,9438,760524,356134,1318710
2020-06-23,,,49,9,113,6426,4059,9551,766069,356541,1337932
2020-06-24,,,49,8,115,6476,4068,9665,771649,356933,1357607
2020-06-25,,,50,8,117,6525,4076,9781,777264,357308,1377742
2020-06-26,,,50,8,120,6575,4085,9901,782917,357668,1398347
2020-06-27,,,50,8,124,6625,4093,10025,788607,358010,1419430
2020-06-28,,,51,7,127,6676,4101,10152,794336,358336,1440996
2020-06-29,,,51,7,130,6727,4108,10281,800103,358646,1463051
2020-06-30,,,51,7,132,6777,4116,10413,805910,358941,1485602
2020-07-01,,,51,7,136,6829,4123,10548,811758,359222,1508654
2020-07-02,,,51,6,140,6880,4130,10687,817648,359490,1532213
2020-07-03,,,52,6,143,6932,4136,10830,823580,359745,1556284
2020-07-04,,,52,6,147,6984,4143,10976,829554,359987,1580870
2020-07-05,,,52,6,151,7036,4149,11127,835572,360218,1605975
2020-07-06,,,53,6,155,7089,4155,11281,841633,360438,1631602
2020-07-07,,,53,5,159,7142,4161,11439,847738,360648,1657754
2020-07-08,,,53,5,163,7195,4167,11601,853889,360847,1684434
2020-07-09,,,54,5,167,7249,4172,11767,860084,361037,1711643
2020-07-10,,,54,5,171,7303,4177,11938,866325,361218,1739383
2020-07-11,,,54,4,175,7357,4182,12113,872612,361390,1767654
2020-07-12,,,54,4,180,7411,4186,12292,878944,361553,1796475
2020-07-13,,,55,4,184,7466,4191,12475,885323,361709,1825820
2020-07-14,,,55,4,188,7521,4195,12663,891748,361858,1855684
2020-07-15,,,55,4,193,7577,4199,12856,898219,361999,1886056
2020-07-16,,,56,3,197,7632,4203,13053,904737,362134,1916932
2020-07-17,,,56,3,202,7689,4207,13254,911300,362262,1948322
2020-07-18,,,57,3,207,7745,4210,13460,917910,362384,1980221
2020-07-19,,,57,3,212,7802,4214,13671,924565,362500,2012585
2020-07-20,,,57,3,216,7859,4217,13887,931266,362610,2045437
2020-07-21,,,58,3,221,7917,4220,14108,938012,362715,2078781
2020-07-22,,,58,2,226,7975,4223,14333,944803,362816,2112596
2020-07-23,,,59,2,231,8034,4226,14564,951637,362911,2146890
2020-07-24,,,59,2,236,8093,4229,14800,958516,363002,2181635
2020-07-25,,,59,2,241,8152,4231,15041,965437,363088,2216785
2020-07-26,,,60,2,246,8212,4234,15287,972401,363170,2252397
2020-07-27,,,60,2,252,8272,4236,15538,979405,363249,2288459
2020-07-28,,,61,2,257,8333,4238,15794,986451,363323,2324939
2020-07-29,,,61,2,262,8394,4241,16056,993535,363394,2361829
2020-07-30,,,62,2,267,8455,4243,16323,1000658,363462,2399126
2020-07-31,,,62,1,273,8517,4244,16595,1007818,363526,2436839
2020-08-01,,,62,1,278,8580,4246,16872,1015015,363587,2474928
2020-08-02,,,63,1,283,8642,4248,17155,1022246,363646,2513329
2020-08-03,,,63,1,289,8706,4250,17443,1029510,363701,2552080
2020-08-04,,,64,1,294,8770,4251,17737,1036806,363754,2591181
