country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
Brazil,,538,396,722
United Kingdom,,485,298,707
Italy,,272,159,404
France,,270,136,522
Spain,,213,127,345
Belgium,,165,127,239
Canada,,140,91,189
Mexico,,125,88,167
Germany,,125,72,189
Russia,,94,62,136
India,,91,60,116
Sweden,,80,53,117
Netherlands,,72,39,113
Turkey,,65,39,102
Iran,,65,36,100
Ireland,,32,18,52
Romania,,24,18,30
Portugal,,20,13,28
Poland,,19,10,27
Switzerland,,18,10,31
Indonesia,,17,9,26
Philippines,,13,5,22
Hungary,,9,5,14
Austria,,7,4,11
Finland,,7,4,11
Denmark,,7,4,10
Czechia,,4,2,6
Norway,,3,1,5
Croatia,,3,1,4
Bulgaria,,2,1,4
Greece,,2,0,3
Estonia,,1,0,2
Lithuania,,1,0,2
Luxembourg,,1,0,2
Slovenia,,1,0,2
Latvia,,1,0,1
Slovakia,,1,0,1
Cyprus,,0,0,1
Malta,,0,0,1
