country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
France,,1029,674,1248
United Kingdom,,920,634,1188
Spain,,578,458,936
Italy,,499,358,616
Belgium,,369,266,452
Germany,,256,216,302
Brazil,,148,133,191
Netherlands,,133,100,165
Sweden,,119,91,155
Iran,,100,78,121
Turkey,,93,70,117
Canada,,68,53,88
Switzerland,,53,37,69
India,,33,29,34
Romania,,33,24,40
Mexico,,31,28,38
Ireland,,30,24,37
Portugal,,29,24,34
Greece,,28,19,34
Bulgaria,,27,19,34
Poland,,24,17,30
Austria,,22,17,29
Indonesia,,21,15,28
Hungary,,19,13,22
Philippines,,18,9,30
Denmark,,15,11,20
Croatia,,12,8,15
Czechia,,11,9,13
Finland,,10,7,12
Slovenia,,7,4,10
Lithuania,,5,3,6
Luxembourg,,4,3,6
Cyprus,,4,3,5
Estonia,,3,2,4
Slovakia,,2,2,3
Latvia,,1,0,1
Malta,,0,0,0
