country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
France,,939,562,1422
United Kingdom,,848,583,1048
Spain,,623,506,899
Italy,,483,348,622
Belgium,,283,150,368
Germany,,280,194,318
Brazil,,152,137,157
Netherlands,,146,70,182
Sweden,,111,82,137
Turkey,,85,58,106
Iran,,83,53,106
Canada,,59,49,85
Switzerland,,55,33,74
India,,34,24,46
Ireland,,31,21,45
Romania,,29,22,33
Portugal,,28,18,35
Mexico,,27,22,31
Poland,,27,17,39
Bulgaria,,25,18,45
Greece,,25,18,45
Austria,,22,16,31
Hungary,,19,12,28
Philippines,,16,7,45
Denmark,,14,11,20
Indonesia,,13,9,20
Croatia,,12,8,16
Czechia,,10,8,12
Finland,,9,6,13
Slovenia,,7,4,13
Lithuania,,4,3,6
Cyprus,,4,3,5
Estonia,,4,3,5
Luxembourg,,4,2,7
Slovakia,,2,1,2
Latvia,,0,0,0
Malta,,0,0,0
