country,region,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio
Brazil,,15662,164847,41735,357802,2020-08-04,3226,4.6
United Kingdom,,34546,51894,40271,74132,2020-04-29,4421,1.7
Mexico,,5045,49891,12151,105294,2020-07-28,1043,3.8
Italy,,31763,39121,34586,47753,2020-03-27,919,5.1
India,,2871,36074,7351,140578,2020-08-04,708,6.0
Spain,,27563,31937,28991,38099,2020-04-02,961,8.2
France,,27532,31457,28109,43449,2020-04-15,1440,
Russia,,2537,23647,5521,80272,2020-07-23,388,3.3
Canada,,5800,16081,8828,27314,2020-04-16,251,1.3
Germany,,7938,11067,8702,16583,2020-04-15,510,5.5
Iran,,6937,10865,7730,17013,2020-04-04,158,4.1
Belgium,,9005,10410,9350,12734,2020-04-10,496,6.8
Peru,,2523,9792,3727,17596,2020-05-16,131,0.8
Ecuador,,2688,8259,3791,16001,2020-05-10,410,1.1
Sweden,,3674,7761,5836,13728,2020-04-21,185,3.1
Netherlands,,5689,7637,6265,10903,2020-04-07,234,5.6
Turkey,,4096,5580,4652,8181,2020-04-19,127,2.9
Colombia,,562,5069,1889,11291,2020-08-04,90,5.6
Ukraine,,497,4969,1712,9652,2020-08-03,90,4.3
China,,4638,4642,4638,4668,2020-04-17,1290,129.0
South Africa,,261,4617,1622,9537,2020-08-03,94,6.7
Pakistan,,834,4229,1277,11158,2020-05-15,64,
Egypt,,612,3331,1053,9961,2020-08-02,52,2.6
Romania,,1094,3028,1914,4883,2020-05-08,35,1.1
Chile,,421,2894,1164,5534,2020-07-30,45,1.7
Bangladesh,,314,2892,842,7477,2020-08-04,53,3.3
Japan,,725,2554,945,5466,2020-05-04,49,2.8
Poland,,915,2505,1317,4944,2020-04-24,40,2.9
Saudi Arabia,,302,2456,926,5934,2020-08-02,42,4.2
Argentina,,363,2289,731,6349,2020-08-04,48,6.9
Switzerland,,1879,2175,1971,2687,2020-04-04,75,59.0
Philippines,,817,2083,1018,3934,2020-04-12,50,2.2
Indonesia,,1089,2022,1347,3520,2020-04-14,60,1.8
Ireland,,1533,1990,1655,3097,2020-04-24,220,3.5
Portugal,,1203,1865,1477,2648,2020-04-03,37,2.4
Moldova,,207,1329,544,3110,2020-07-15,19,3.8
Dominican Republic,,428,824,536,1409,2020-04-12,38,2.5
Hungary,,448,806,527,1514,2020-04-24,23,2.2
Austria,,629,780,688,959,2020-04-08,30,20.0
Denmark,,543,747,631,984,2020-04-04,22,2.5
Panama,,269,747,370,1715,2020-04-29,11,2.3
Algeria,,542,650,572,867,2020-04-09,30,3.2
Nigeria,,176,641,284,1610,2020-05-02,17,1.4
Finland,,297,592,368,1064,2020-04-21,43,2.0
Serbia,,228,422,300,648,2020-04-30,54,1.7
Czechia,,296,406,361,481,2020-04-14,18,9.0
Bulgaria,,105,367,206,675,2020-04-29,6,1.3
Israel,,268,354,304,435,2020-04-18,13,4.5
South Korea,,262,324,287,382,2020-03-02,11,
Norway,,232,285,253,344,2020-04-20,16,
Morocco,,192,227,209,258,2020-03-27,12,3.0
Greece,,162,219,190,262,2020-04-03,10,2.0
Croatia,,95,190,127,306,2020-04-19,8,
Malaysia,,113,151,130,171,2020-03-29,8,3.0
Luxembourg,,104,132,117,150,2020-04-11,8,
Slovenia,,103,130,112,164,2020-04-07,6,
Estonia,,63,95,84,109,2020-04-02,6,
Lithuania,,55,81,69,97,2020-04-10,6,1.0
Slovakia,,28,40,32,50,2020-04-15,4,1.0
Latvia,,19,36,33,39,2020-04-21,4,
Cyprus,,17,24,23,27,2020-03-30,2,
Iceland,,10,13,12,15,2020-04-06,2,
Malta,,6,10,9,10,2020-05-13,1,
