target,location,location_name,type,quantile,value
1 day ahead inc,US,US,quantile,0.01,1584.052396172916
1 day ahead inc,US,US,quantile,0.025,1662.990443138129
1 day ahead inc,US,US,quantile,0.05,1738.6180642189188
1 day ahead inc,US,US,quantile,0.1,1812.7279380513535
1 day ahead inc,US,US,quantile,0.15,1877.9714291186453
1 day ahead inc,US,US,quantile,0.2,1929.571616029725
1 day ahead inc,US,US,quantile,0.25,1970.5669066688565
1 day ahead inc,US,US,quantile,0.3,2004.4866980950344
1 day ahead inc,US,US,quantile,0.35,2046.8556532530436
1 day ahead inc,US,US,quantile,0.4,2091.136661139621
1 day ahead inc,US,US,quantile,0.45,2125.7213680159175
1 day ahead inc,US,US,quantile,0.5,2150.742921566643
1 day ahead inc,US,US,quantile,0.55,2193.318449827949
1 day ahead inc,US,US,quantile,0.6,2236.961015527314
1 day ahead inc,US,US,quantile,0.65,2272.859307992936
1 day ahead inc,US,US,quantile,0.7,2306.189758023253
1 day ahead inc,US,US,quantile,0.75,2351.8076178321344
1 day ahead inc,US,US,quantile,0.8,2394.191760396838
1 day ahead inc,US,US,quantile,0.85,2466.0868281825096
1 day ahead inc,US,US,quantile,0.9,2543.596449413701
1 day ahead inc,US,US,quantile,0.95,2639.0482233009484
1 day ahead inc,US,US,quantile,0.975,2737.630429198052
1 day ahead inc,US,US,quantile,0.99,2825.387531195709
1 day ahead inc,US,US,point,NA,2166.9650365910766
1 day ahead cum,US,US,quantile,0.01,29910.05239617292
1 day ahead cum,US,US,quantile,0.025,29988.99044313813
1 day ahead cum,US,US,quantile,0.05,30064.61806421892
1 day ahead cum,US,US,quantile,0.1,30138.727938051357
1 day ahead cum,US,US,quantile,0.15,30203.971429118646
1 day ahead cum,US,US,quantile,0.2,30255.571616029723
1 day ahead cum,US,US,quantile,0.25,30296.566906668857
1 day ahead cum,US,US,quantile,0.3,30330.48669809504
1 day ahead cum,US,US,quantile,0.35,30372.855653253042
1 day ahead cum,US,US,quantile,0.4,30417.136661139622
1 day ahead cum,US,US,quantile,0.45,30451.72136801592
1 day ahead cum,US,US,quantile,0.5,30476.742921566634
1 day ahead cum,US,US,quantile,0.55,30519.318449827948
1 day ahead cum,US,US,quantile,0.6,30562.961015527315
1 day ahead cum,US,US,quantile,0.65,30598.85930799293
1 day ahead cum,US,US,quantile,0.7,30632.18975802325
1 day ahead cum,US,US,quantile,0.75,30677.807617832135
1 day ahead cum,US,US,quantile,0.8,30720.191760396836
1 day ahead cum,US,US,quantile,0.85,30792.086828182513
1 day ahead cum,US,US,quantile,0.9,30869.5964494137
1 day ahead cum,US,US,quantile,0.95,30965.048223300953
1 day ahead cum,US,US,quantile,0.975,31063.63042919805
1 day ahead cum,US,US,quantile,0.99,31151.387531195713
1 day ahead cum,US,US,point,NA,30492.96503659108
2 day ahead inc,US,US,quantile,0.01,1509.5329107194227
2 day ahead inc,US,US,quantile,0.025,1581.2672074803834
2 day ahead inc,US,US,quantile,0.05,1671.848328519332
2 day ahead inc,US,US,quantile,0.1,1768.1404708900236
2 day ahead inc,US,US,quantile,0.15,1831.7055734192745
2 day ahead inc,US,US,quantile,0.2,1890.775701384386
2 day ahead inc,US,US,quantile,0.25,1937.0173625754087
2 day ahead inc,US,US,quantile,0.3,1978.0601675106768
2 day ahead inc,US,US,quantile,0.35,2019.527710722619
2 day ahead inc,US,US,quantile,0.4,2070.146589686909
2 day ahead inc,US,US,quantile,0.45,2102.294983391822
2 day ahead inc,US,US,quantile,0.5,2149.2904816194928
2 day ahead inc,US,US,quantile,0.55,2179.727863088477
2 day ahead inc,US,US,quantile,0.6,2244.146099289785
2 day ahead inc,US,US,quantile,0.65,2282.749627332775
2 day ahead inc,US,US,quantile,0.7,2322.408065087357
2 day ahead inc,US,US,quantile,0.75,2361.944890757893
2 day ahead inc,US,US,quantile,0.8,2433.237121653695
2 day ahead inc,US,US,quantile,0.85,2506.050238538704
2 day ahead inc,US,US,quantile,0.9,2581.5966304296
2 day ahead inc,US,US,quantile,0.95,2714.066640549417
2 day ahead inc,US,US,quantile,0.975,2828.2979600171416
2 day ahead inc,US,US,quantile,0.99,2942.4613790552685
2 day ahead inc,US,US,point,NA,2164.3346488806646
2 day ahead cum,US,US,quantile,0.01,31419.58530689234
2 day ahead cum,US,US,quantile,0.025,31570.257650618514
2 day ahead cum,US,US,quantile,0.05,31736.466392738253
2 day ahead cum,US,US,quantile,0.1,31906.868408941376
2 day ahead cum,US,US,quantile,0.15,32035.67700253792
2 day ahead cum,US,US,quantile,0.2,32146.34731741411
2 day ahead cum,US,US,quantile,0.25,32233.584269244267
2 day ahead cum,US,US,quantile,0.3,32308.546865605716
2 day ahead cum,US,US,quantile,0.35,32392.383363975663
2 day ahead cum,US,US,quantile,0.4,32487.283250826535
2 day ahead cum,US,US,quantile,0.45,32554.01635140774
2 day ahead cum,US,US,quantile,0.5,32626.03340318613
2 day ahead cum,US,US,quantile,0.55,32699.046312916427
2 day ahead cum,US,US,quantile,0.6,32807.1071148171
2 day ahead cum,US,US,quantile,0.65,32881.60893532571
2 day ahead cum,US,US,quantile,0.7,32954.59782311061
2 day ahead cum,US,US,quantile,0.75,33039.75250859003
2 day ahead cum,US,US,quantile,0.8,33153.42888205053
2 day ahead cum,US,US,quantile,0.85,33298.13706672122
2 day ahead cum,US,US,quantile,0.9,33451.1930798433
2 day ahead cum,US,US,quantile,0.95,33679.114863850366
2 day ahead cum,US,US,quantile,0.975,33891.928389215194
2 day ahead cum,US,US,quantile,0.99,34093.848910250985
2 day ahead cum,US,US,point,NA,32657.299685471742
3 day ahead inc,US,US,quantile,0.01,1410.6499302491088
3 day ahead inc,US,US,quantile,0.025,1505.6294104199935
3 day ahead inc,US,US,quantile,0.05,1598.7101519639646
3 day ahead inc,US,US,quantile,0.1,1721.4162627684354
3 day ahead inc,US,US,quantile,0.15,1778.533485570743
3 day ahead inc,US,US,quantile,0.2,1830.1103017617831
3 day ahead inc,US,US,quantile,0.25,1899.192515706584
3 day ahead inc,US,US,quantile,0.3,1937.1009676514593
3 day ahead inc,US,US,quantile,0.35,1982.075064252812
3 day ahead inc,US,US,quantile,0.4,2043.8745282865962
3 day ahead inc,US,US,quantile,0.45,2077.1584067786293
3 day ahead inc,US,US,quantile,0.5,2124.76021515193
3 day ahead inc,US,US,quantile,0.55,2166.8266604833607
3 day ahead inc,US,US,quantile,0.6,2228.8972320403077
3 day ahead inc,US,US,quantile,0.65,2280.297889215179
3 day ahead inc,US,US,quantile,0.7,2320.007809251363
3 day ahead inc,US,US,quantile,0.75,2375.2100255261075
3 day ahead inc,US,US,quantile,0.8,2452.2225360495613
3 day ahead inc,US,US,quantile,0.85,2541.957772240889
3 day ahead inc,US,US,quantile,0.9,2639.3091300158053
3 day ahead inc,US,US,quantile,0.95,2777.993422743714
3 day ahead inc,US,US,quantile,0.975,2911.8854334775824
3 day ahead inc,US,US,quantile,0.99,3057.8357015754523
3 day ahead inc,US,US,point,NA,2151.0749048690495
3 day ahead cum,US,US,quantile,0.01,32830.235237141445
3 day ahead cum,US,US,quantile,0.025,33075.887061038506
3 day ahead cum,US,US,quantile,0.05,33335.17654470222
3 day ahead cum,US,US,quantile,0.1,33628.28467170981
3 day ahead cum,US,US,quantile,0.15,33814.21048810866
3 day ahead cum,US,US,quantile,0.2,33976.4576191759
3 day ahead cum,US,US,quantile,0.25,34132.77678495085
3 day ahead cum,US,US,quantile,0.3,34245.64783325717
3 day ahead cum,US,US,quantile,0.35,34374.458428228485
3 day ahead cum,US,US,quantile,0.4,34531.15777911313
3 day ahead cum,US,US,quantile,0.45,34631.17475818637
3 day ahead cum,US,US,quantile,0.5,34750.793618338066
3 day ahead cum,US,US,quantile,0.55,34865.87297339978
3 day ahead cum,US,US,quantile,0.6,35036.004346857415
3 day ahead cum,US,US,quantile,0.65,35161.906824540885
3 day ahead cum,US,US,quantile,0.7,35274.60563236197
