country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
Brazil,,607,420,833
United Kingdom,,416,223,654
Italy,,228,138,350
France,,190,73,413
Spain,,170,85,285
Mexico,,167,114,227
Canada,,155,104,200
India,,107,74,144
Germany,,96,46,163
Russia,,93,61,129
Belgium,,77,34,142
Sweden,,72,47,108
Netherlands,,59,29,99
Iran,,57,28,93
Turkey,,53,32,89
Romania,,24,17,31
Ireland,,22,11,38
Indonesia,,18,10,27
Poland,,17,9,26
Portugal,,16,9,25
Philippines,,14,5,23
Switzerland,,13,6,24
Hungary,,9,4,14
Denmark,,6,3,10
Finland,,6,3,9
Austria,,5,2,9
Czechia,,3,2,5
Bulgaria,,2,1,4
Croatia,,2,1,3
Norway,,2,0,3
Greece,,1,0,3
Estonia,,1,0,2
Luxembourg,,1,0,2
Slovenia,,1,0,2
Lithuania,,1,0,1
Cyprus,,0,0,1
Latvia,,0,0,1
Malta,,0,0,1
Slovakia,,0,0,1
