country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
Brazil,,557,407,736
United Kingdom,,486,314,714
Italy,,258,164,385
France,,252,125,503
Spain,,201,123,333
Mexico,,167,127,232
Canada,,165,113,216
Germany,,118,66,180
India,,104,67,137
Belgium,,98,52,172
Russia,,88,61,120
Sweden,,83,53,121
Netherlands,,68,36,107
Iran,,64,35,100
Turkey,,61,38,97
Ireland,,29,15,46
Romania,,25,19,32
Poland,,19,10,27
Portugal,,18,11,25
Indonesia,,18,9,28
Switzerland,,16,9,28
Philippines,,16,6,26
Hungary,,9,4,14
Denmark,,7,3,10
Austria,,6,3,11
Finland,,6,3,10
Czechia,,4,2,6
Bulgaria,,2,1,4
Croatia,,2,1,4
Norway,,2,1,4
Greece,,2,0,3
Estonia,,1,0,2
Lithuania,,1,0,2
Luxembourg,,1,0,2
Slovenia,,1,0,2
Latvia,,1,0,1
Slovakia,,1,0,1
Cyprus,,0,0,1
Malta,,0,0,1
