country,region,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio
United Kingdom,,26166,50832,32866,106982,2020-04-29,4421,0.2
Brazil,,5513,42088,15179,97168,2020-04-28,480,1.0
Italy,,27682,41432,33048,59455,2020-03-27,919,2.4
France,,24121,39007,27436,85247,2020-04-15,1440,2.0
Spain,,24275,32792,27964,45326,2020-04-02,961,1.8
Germany,,6467,17863,9029,41490,2020-04-15,510,1.4
Canada,,3155,12049,5676,18864,2020-04-16,251,0.8
Belgium,,7501,11816,9020,20685,2020-04-10,496,1.8
Iran,,5957,9641,7238,14589,2020-04-04,158,1.8
Netherlands,,4727,9612,5999,18781,2020-04-07,234,1.0
Sweden,,2462,8936,4418,22386,2020-04-21,185,0.9
Mexico,,1732,8683,3505,16702,2020-04-23,212,0.7
India,,1079,6647,3038,13410,2020-05-10,85,1.2
Russia,,972,6166,2596,13043,2020-04-29,105,0.8
Turkey,,3081,6132,4192,12156,2020-04-19,127,1.4
Ireland,,1190,3499,1709,8147,2020-04-24,220,1.7
Poland,,624,2987,1064,6351,2020-08-04,44,1.6
Romania,,693,2885,1585,5726,2020-04-25,34,0.9
Portugal,,973,2666,1733,4709,2020-04-03,37,1.2
Switzerland,,1716,2665,2034,4360,2020-04-04,75,3.4
Indonesia,,784,2227,1059,4407,2020-04-14,60,2.2
Philippines,,558,1497,698,2849,2020-04-12,50,0.6
Austria,,580,1030,716,1629,2020-04-08,30,1.7
Finland,,206,975,330,2292,2020-04-21,43,1.9
Hungary,,300,833,422,2286,2020-04-24,23,1.4
Denmark,,443,734,568,1082,2020-04-04,22,1.7
Czechia,,227,395,342,503,2020-04-14,18,
Croatia,,67,350,139,832,2020-04-19,8,1.2
Norway,,207,343,266,494,2020-04-20,16,7.0
Bulgaria,,64,272,120,648,2020-04-29,6,0.5
Greece,,139,235,181,315,2020-04-03,10,4.0
Slovenia,,89,146,109,216,2020-04-07,6,1.0
Luxembourg,,89,143,112,184,2020-04-11,8,
Estonia,,50,108,86,123,2020-04-02,6,
Lithuania,,45,98,72,131,2020-04-10,6,1.0
Latvia,,15,67,51,83,2020-04-21,4,0.5
Slovakia,,22,56,33,106,2020-04-15,4,0.5
Cyprus,,15,28,21,34,2020-03-30,2,
Malta,,4,11,10,13,2020-04-25,1,
