country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
US,,2044,1479,2671
US,NY,543,412,680
US,NJ,250,185,317
US,MA,191,145,247
US,MI,125,94,158
US,CT,103,74,130
US,PA,99,73,129
US,IL,88,64,117
US,CA,84,54,116
US,LA,62,46,78
US,MD,53,38,73
US,FL,47,28,68
US,OH,37,28,49
US,GA,35,25,46
US,IN,32,23,44
US,CO,30,22,43
US,TX,26,19,35
US,VA,25,16,33
US,NC,19,14,25
US,MN,16,9,25
US,WA,15,9,23
US,AZ,13,10,17
US,MO,13,9,17
US,RI,13,9,17
US,AL,10,7,12
US,MS,9,6,12
US,WI,9,6,12
US,DC,9,5,14
US,OK,8,6,10
US,KY,8,5,11
US,NV,7,5,10
US,IA,6,5,8
US,DE,6,4,9
US,NM,6,4,8
US,SC,6,3,10
US,TN,6,3,8
US,KS,5,3,8
US,NE,3,2,4
US,OR,3,1,6
US,PR,3,1,6
US,NH,3,1,5
US,WV,3,1,4
US,ME,2,2,4
US,ID,2,1,4
US,AR,2,1,3
US,UT,2,1,3
US,SD,1,0,2
US,VT,1,0,2
US,WY,1,0,2
US,HI,1,0,1
US,MP,1,0,1
US,MT,1,0,1
US,ND,1,0,1
US,AK,0,0,1
US,GU,0,0,1
US,VI,0,0,1
US,AS,,,
