abbr,country,population,case_7day_perc_change,death_7day_perc_change,test_7day_perc_change,case_7day_change,death_7day_change,test_7day_change,current_r,cur_infected_perc,total_infected_perc,Confirmed,Deaths,daily_tests_7day_ma,pos_rate_7day_ma,net_hosp_7day_ma,daily_confirmed_7day_ma,daily_deaths_7day_ma,c19pro_score_cases,c19pro_score_deaths
DZA,Algeria,43053054,-0.18815943728018758,-0.2222222222222222,,-45.85714285714286,-2.0,,0.9808853022224095,0.0005659064279156596,0.010564221530022004,50579,1703,,,,197.85714285714286,7.0,0.07111176108914499,0.1337606257280597
ARG,Argentina,44780677,-0.012410501193317516,0.48486799742434006,,-137.42857142857247,107.57142857142858,,0.9502723496704071,0.027348983580574273,0.12091610405979347,678266,14766,,,,10936.142857142857,329.42857142857144,0.25532670696263254,-100.0
AUS,Australia,25203198,-0.531986531986532,-0.20000000000000007,,-22.571428571428573,-1.1428571428571432,,0.7986094558722502,0.0002808770537770643,0.008756269740054418,27000,869,,,,19.857142857142858,4.571428571428571,0.03919345869108992,0.07883275173503398
AUT,Austria,8858775,0.07750759878419453,1.5000000000000002,,51.0,2.1428571428571432,,1.077286654005888,0.003503757573705168,0.026835990303399736,40816,783,,,,709.0,3.5714285714285716,-0.29725814431412095,-1.4829257241555536
BGD,Bangladesh,163046161,-0.015406410483442415,-0.05333333333333347,,-24.857142857142662,-1.7142857142857189,,0.9842059193346873,0.0008489558978331297,0.011045313725601916,355384,5072,,,,1588.5714285714287,30.428571428571427,0.005719010704123043,0.029759859672115762
BLR,Belarus,9452411,0.19197707736389696,-0.20512820512820504,,38.285714285714306,-1.1428571428571423,,1.0125257165485089,0.005121021504460608,0.046721518986002616,76651,802,,,,237.71428571428572,4.428571428571429,-0.19563990116939126,0.16435854940469663
BEL,Belgium,11455519,0.45680345572354225,0.5263157894736843,,483.42857142857156,1.4285714285714288,,1.0269775669070371,0.004464311045182676,0.142854810855798,108768,9965,,,,1541.7142857142858,4.142857142857143,-10.442075385212611,-0.35622654136462223
BOL,Bolivia,11513100,-0.3864595320291523,-0.2012578616352202,,-287.8571428571429,-9.142857142857146,,0.9195032557008359,0.008097124145538561,0.12166071692246223,132618,7765,,,,457.0,36.285714285714285,2.9374757840485084,3.160163044877276
BRA,Brazil,211049527,-0.06741034387388223,-0.09975983742841318,,-2089.1428571428587,-77.14285714285722,,0.9253858972114355,0.010504870735862867,0.16410493542589177,4657702,139808,,,,28902.285714285714,696.1428571428571,6.036050657227619,9.893507123225081
BGR,Bulgaria,7000039,0.08773784355179708,-0.1627906976744186,,11.857142857142861,-1.0,,0.9808174589947096,0.0061275372894351015,0.06159108542109551,19573,785,,,,147.0,5.142857142857143,-0.04287656339688482,0.17703597338258745
