country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
United Kingdom,,650,470,844
France,,608,393,885
Italy,,445,318,589
Spain,,371,276,512
Belgium,,217,148,302
Brazil,,203,154,255
Germany,,184,131,225
Turkey,,150,103,230
Canada,,128,88,177
Netherlands,,111,74,141
Sweden,,92,66,126
Iran,,90,61,123
Mexico,,53,38,72
Russia,,49,37,69
Ireland,,45,29,62
India,,37,22,54
Switzerland,,35,23,50
Portugal,,28,20,35
Indonesia,,22,14,32
Romania,,21,16,26
Poland,,17,11,22
Austria,,14,9,20
Hungary,,12,8,17
Philippines,,12,5,19
Denmark,,9,6,13
Finland,,8,5,11
Czechia,,7,5,9
Norway,,6,4,8
Greece,,3,2,4
Slovenia,,3,1,4
Bulgaria,,2,1,3
Croatia,,2,1,3
Luxembourg,,2,1,3
Estonia,,2,1,2
Lithuania,,2,1,2
Slovakia,,1,1,2
Latvia,,1,1,1
Cyprus,,0,0,1
Malta,,0,0,0
