country,region,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio
Italy,,23660,44283,31909,71824,2020-03-27,919,1.8
France,,19744,44196,27807,83713,2020-04-15,1440,2.3
United Kingdom,,16095,41649,24306,82704,2020-04-10,981,1.4
Spain,,20453,31889,26095,48040,2020-04-02,961,2.1
Brazil,,2462,20984,9165,49365,2020-05-02,276,2.6
Germany,,4586,16169,7914,29152,2020-04-15,510,1.7
Turkey,,2017,15110,5775,39035,2020-05-01,294,2.3
Belgium,,5683,13144,8188,24356,2020-04-10,496,1.4
Iran,,5118,9916,6874,15488,2020-04-04,158,1.7
Netherlands,,3697,9698,5367,17027,2020-04-07,234,1.8
Canada,,1564,6869,3397,12356,2020-04-16,251,0.7
Sweden,,1540,5319,2809,11844,2020-04-15,170,3.0
Mexico,,650,4783,2053,9660,2020-04-19,104,0.8
Russia,,361,4518,1734,10925,2020-05-05,83,1.7
Portugal,,714,3612,1628,7085,2020-08-04,41,1.5
Switzerland,,1393,2846,1814,5845,2020-04-04,75,2.3
Ireland,,610,2340,1120,5628,2020-04-17,44,1.1
India,,559,2013,1030,5019,2020-04-09,48,1.1
Romania,,451,1962,969,4813,2020-04-19,30,0.7
Indonesia,,582,1816,885,3280,2020-04-14,60,0.6
Poland,,360,1363,608,3450,2020-04-08,30,1.5
Austria,,452,1159,658,2682,2020-04-08,30,2.2
Philippines,,409,1066,562,1926,2020-04-12,50,1.3
Denmark,,355,901,544,1813,2020-04-04,22,1.7
Hungary,,189,856,361,2192,2020-04-19,17,0.8
Czechia,,186,720,407,1225,2020-04-14,18,1.8
Finland,,94,472,192,1089,2020-04-18,8,1.5
Norway,,165,451,259,1031,2020-04-07,13,7.0
Greece,,113,295,182,702,2020-04-03,10,1.3
Slovenia,,74,217,110,493,2020-04-07,6,0.8
Croatia,,47,215,102,512,2020-04-19,8,0.4
Luxembourg,,73,202,112,465,2020-04-11,8,3.0
Bulgaria,,42,182,90,491,2020-04-03,4,3.0
Lithuania,,35,166,83,399,2020-04-10,6,1.0
Estonia,,40,163,97,314,2020-04-02,6,1.0
Slovakia,,12,85,29,209,2020-04-15,4,1.0
Cyprus,,12,53,32,117,2020-03-30,2,
Latvia,,5,36,14,60,2020-04-12,2,
Malta,,3,34,13,58,2020-08-01,1,
