country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
United Kingdom,,713,524,925
France,,682,445,963
Italy,,463,338,611
Spain,,403,298,549
Belgium,,265,190,358
Brazil,,221,172,281
Turkey,,196,150,229
Germany,,184,129,226
Canada,,116,83,153
Netherlands,,114,78,145
Iran,,94,64,128
Sweden,,85,62,117
Mexico,,77,62,95
Ireland,,42,30,60
Russia,,41,35,62
India,,41,29,64
Switzerland,,38,25,52
Portugal,,30,22,36
Indonesia,,24,15,35
Romania,,20,15,26
Poland,,17,11,23
Austria,,14,9,20
Hungary,,13,8,19
Philippines,,13,6,20
Denmark,,10,7,14
Czechia,,8,6,9
Norway,,6,4,8
Finland,,5,3,7
Greece,,3,2,5
Slovenia,,3,2,4
Luxembourg,,2,1,4
Bulgaria,,2,1,3
Croatia,,2,1,3
Lithuania,,2,1,3
Estonia,,2,1,2
Slovakia,,1,1,2
Cyprus,,1,0,1
Latvia,,0,0,0
Malta,,0,0,0
