country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
US,,1779,1267,2390
US,NY,385,282,519
US,NJ,235,185,308
US,MA,162,123,206
US,PA,107,74,145
US,MI,106,74,142
US,IL,89,66,111
US,CT,79,55,105
US,CA,72,46,99
US,MD,53,37,71
US,LA,49,34,65
US,IN,42,30,61
US,OH,40,29,54
US,FL,39,24,54
US,GA,35,24,46
US,TX,28,19,38
US,CO,27,19,37
US,VA,24,16,31
US,MN,20,13,27
US,NC,17,13,23
US,WA,14,7,23
US,MO,12,8,16
US,AZ,12,8,15
US,AL,11,8,14
US,RI,11,7,14
US,DC,10,7,14
US,MS,10,6,13
US,SC,9,6,13
US,IA,8,6,11
US,WI,8,5,11
US,DE,7,5,10
US,KY,7,4,10
US,NV,7,4,10
US,OK,7,4,9
US,NM,6,4,9
US,TN,4,3,6
US,KS,4,2,6
US,NE,3,2,5
US,NH,3,2,5
US,OR,2,1,4
US,PR,2,1,4
US,AR,2,1,3
US,ME,2,1,3
US,WV,2,1,3
US,UT,2,1,2
US,ID,1,0,2
US,ND,1,0,2
US,SD,1,0,2
US,VT,1,0,2
US,HI,1,0,1
US,AK,0,0,1
US,GU,0,0,1
US,MP,0,0,1
US,MT,0,0,1
US,VI,0,0,1
US,WY,0,0,1
US,AS,,,
