country,region,subregion,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio,projection_end_date
Brazil,,,70398,147499,111930,226601,2020-06-04,1473,0.9,2020-11-01
India,,,22123,114704,47075,250515,2020-06-16,2003,1.7,2020-11-01
Mexico,,,34191,87768,64834,109771,2020-06-03,1092,1.0,2020-11-01
United Kingdom,,,44735,49165,45338,53617,2020-04-21,1172,19.6,2020-11-01
Italy,,,34938,35746,35039,36579,2020-03-27,919,72.0,2020-11-01
France,,,30007,30745,30031,34128,2020-04-15,1438,36.2,2020-11-01
Spain,,,28403,29007,28438,30866,2020-06-19,1179,432.0,2020-11-01
Iran,,,12447,25949,19626,40325,2020-07-09,221,1.2,2020-11-01
Peru,,,11500,23302,16914,32486,2020-06-14,380,1.0,2020-11-01
Russia,,,11000,23146,14230,43257,2020-05-29,232,0.9,2020-11-01
Colombia,,,4985,21045,13798,32353,2020-06-28,310,0.9,2020-11-01
South Africa,,,3860,18927,9873,30359,2020-07-07,192,1.1,2020-11-01
Egypt,,,3702,14609,8558,22476,2020-08-24,110,1.3,2020-11-01
Indonesia,,,3469,13472,6150,25748,2020-10-06,106,2.0,2020-11-01
Pakistan,,,5123,12731,7924,20612,2020-06-14,178,1.4,2020-11-01
Chile,,,6781,12276,7882,16773,2020-06-08,627,1.6,2020-11-01
Argentina,,,1774,11729,4501,20186,2020-09-21,110,2.0,2020-11-01
Canada,,,8811,10290,9024,13611,2020-04-16,251,12.1,2020-11-01
Belgium,,,9781,10047,9802,10845,2020-04-10,496,104.0,2020-11-01
Germany,,,9063,9483,9107,10489,2020-04-15,510,42.3,2020-11-01
Ecuador,,,4939,8782,5335,14196,2020-05-10,410,2.2,2020-11-01
Saudi Arabia,,,2151,8764,5179,12544,2020-08-27,70,1.4,2020-11-01
Bangladesh,,,2275,7357,4440,13620,2020-06-30,64,1.5,2020-11-01
Turkey,,,5323,7029,5435,12215,2020-04-19,127,5.0,2020-11-01
Bolivia,,,1702,6979,3654,12184,2020-07-01,78,1.0,2020-11-01
Netherlands,,,6155,6309,6176,6503,2020-04-07,234,-176.0,2020-11-01
Sweden,,,5526,6020,5693,6219,2020-04-21,185,3.7,2020-11-01
China,,,4641,4646,4641,4676,2020-04-17,1290,,2020-11-01
Dominican Republic,,,864,4233,1420,8850,2020-04-12,38,1.7,2020-11-01
Honduras,,,750,4210,2713,7191,2020-07-02,49,0.8,2020-11-01
Romania,,,1847,4057,2678,5817,2020-05-08,35,1.8,2020-11-01
Panama,,,863,3425,2422,5479,2020-07-03,31,1.1,2020-11-01
Philippines,,,1360,3299,1529,7069,2020-04-12,50,0.4,2020-11-01
Ukraine,,,1362,3133,2041,4792,2020-06-17,31,1.1,2020-11-01
Algeria,,,996,2966,1384,7427,2020-11-01,36,4.5,2020-11-01
Poland,,,1562,2928,1892,5249,2020-04-24,40,1.7,2020-11-01
Nigeria,,,709,2310,1006,5236,2020-06-16,31,0.8,2020-11-01
Portugal,,,1646,2270,1740,3330,2020-04-03,37,15.5,2020-11-01
Switzerland,,,1966,2069,1979,2480,2020-04-04,75,,2020-11-01
Ireland,,,1744,1836,1752,2264,2020-04-24,220,54.0,2020-11-01
Japan,,,982,1557,989,2755,2020-05-01,29,,2020-11-01
Moldova,,,635,1395,1057,2020,2020-06-20,14,0.9,2020-11-01
Belarus,,,454,1158,616,2389,2020-10-30,9,1.8,2020-11-01
Israel,,,351,1075,420,3461,2020-04-18,13,3.0,2020-11-01
Bulgaria,,,267,920,475,1535,2020-06-05,12,1.4,2020-11-01
Austria,,,706,832,722,1069,2020-04-08,30,,2020-11-01
Serbia,,,370,753,462,1266,2020-07-10,18,0.4,2020-11-01
Hungary,,,593,727,609,1118,2020-04-24,23,6.5,2020-11-01
Kuwait,,,383,709,427,1359,2020-05-30,11,6.0,2020-11-01
Denmark,,,609,686,625,894,2020-04-04,22,,2020-11-01
Czechia,,,352,489,361,724,2020-04-14,18,,2020-11-01
Morocco,,,243,484,274,961,2020-03-27,12,5.0,2020-11-01
United Arab Emirates,,,330,479,349,908,2020-05-10,13,3.5,2020-11-01
Finland,,,329,375,335,527,2020-04-21,43,,2020-11-01
South Korea,,,288,342,289,486,2020-03-02,11,,2020-11-01
Norway,,,252,275,259,320,2020-04-20,16,,2020-11-01
Croatia,,,117,255,140,380,2020-04-19,8,1.0,2020-11-01
Greece,,,193,227,205,292,2020-04-03,10,,2020-11-01
Australia,,,107,159,107,378,2020-04-23,8,3.0,2020-11-01
Malaysia,,,121,156,137,188,2020-03-29,8,,2020-11-01
Slovenia,,,111,124,113,161,2020-04-07,6,,2020-11-01
Luxembourg,,,110,120,112,146,2020-04-11,8,,2020-11-01
Lithuania,,,79,115,87,182,2020-04-10,6,,2020-11-01
Cuba,,,86,105,91,145,2020-04-24,6,,2020-11-01
Estonia,,,69,88,76,115,2020-04-02,6,,2020-11-01
Slovakia,,,28,40,28,81,2020-04-15,4,,2020-11-01
Latvia,,,30,39,32,57,2020-04-21,4,,2020-11-01
Cyprus,,,19,32,21,68,2020-03-30,2,,2020-11-01
Iceland,,,10,14,10,27,2020-03-15,5,,2020-11-01
Malta,,,9,13,11,14,2020-05-29,2,,2020-11-01
