country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
US,,1805,1350,2352
US,NY,523,414,659
US,NJ,241,181,306
US,MA,118,93,144
US,MI,107,79,143
US,PA,88,69,109
US,IL,79,60,100
US,CT,77,50,118
US,CA,70,46,98
US,LA,53,39,66
US,MD,41,29,55
US,FL,41,27,58
US,GA,37,26,51
US,OH,31,24,40
US,IN,31,22,42
US,TX,26,18,35
US,VA,24,16,30
US,CO,21,15,29
US,NC,20,16,27
US,RI,15,12,19
US,WA,15,9,22
US,MN,12,8,16
US,MO,11,8,14
US,AZ,10,8,13
US,AL,10,8,12
US,WI,10,7,13
US,MS,9,7,12
US,KY,7,5,10
US,OK,7,5,9
US,DC,7,4,11
US,KS,6,4,8
US,NV,6,4,8
US,TN,6,4,7
US,DE,5,4,8
US,IA,5,4,6
US,SC,5,3,7
US,NM,4,3,6
US,OR,3,2,5
US,PR,3,2,5
US,WV,3,2,4
US,NH,2,2,4
US,ID,2,2,3
US,ME,2,2,2
US,AR,2,1,3
US,UT,2,1,3
US,NE,2,1,2
US,SD,1,1,2
US,VT,1,1,2
US,HI,1,1,1
US,MT,1,1,1
US,MP,1,0,1
US,ND,1,0,1
US,AK,0,0,1
US,GU,0,0,1
US,VI,0,0,0
US,WY,0,0,0
US,AS,,,
