country,region,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio
US,,44444,129658,71709,280754,2020-04-16,4591,0.8
US,NY,19104,35238,26465,57609,2020-04-16,3215,1.5
US,NJ,4753,13651,8123,24663,2020-04-16,362,1.0
US,MA,1961,8076,3798,16166,2020-04-19,302,0.5
US,MI,2575,6798,4219,15983,2020-04-17,231,1.2
US,PA,1614,6679,2899,16440,2020-04-21,266,0.3
US,IL,1468,6653,2703,15590,2020-04-08,154,0.7
US,CA,1282,5352,2176,15721,2020-04-18,103,1.2
US,LA,1405,4164,2275,9087,2020-04-14,129,0.8
US,CT,1423,4030,2288,8790,2020-04-20,204,0.9
US,MD,652,3355,1295,8448,2020-04-20,121,0.6
US,GA,798,3124,1338,8220,2020-04-07,100,1.7
US,OH,557,3060,1135,7877,2020-04-14,50,0.7
US,IN,635,2486,1105,6732,2020-04-21,58,0.6
US,FL,867,2411,1317,5327,2020-04-02,77,1.0
US,TX,533,2205,936,6730,2020-04-16,39,1.1
US,CO,483,2178,837,5330,2020-04-21,63,0.3
US,VA,324,1905,684,5466,2020-04-09,43,1.0
US,NC,245,1826,635,5282,2020-04-21,27,0.8
US,WA,664,1315,832,2981,2020-04-06,45,1.0
US,AL,183,1307,479,3258,2020-04-21,20,0.9
US,AZ,208,1173,492,2610,2020-04-17,19,0.6
US,RI,171,1100,471,2575,2020-04-17,31,0.9
US,MN,160,1062,365,3126,2020-04-17,24,0.7
US,MS,183,940,354,2389,2020-04-21,14,0.8
US,MO,224,939,401,2790,2020-04-14,26,0.5
US,WI,244,889,414,2352,2020-04-05,20,0.9
US,OK,164,817,351,2057,2020-04-21,21,0.5
US,IA,83,634,214,1821,2020-04-18,10,2.2
US,KY,171,590,286,1304,2020-04-07,20,0.5
US,DC,112,512,232,1307,2020-04-14,15,1.0
US,DE,82,500,201,1332,2020-04-21,10,0.5
US,TN,157,491,297,884,2020-04-14,15,1.4
US,KS,109,482,212,1222,2020-04-11,13,0.9
US,NV,163,448,259,910,2020-04-07,26,1.8
US,SC,124,421,223,1227,2020-04-09,16,6.0
US,OR,78,321,132,989,2020-04-09,11,1.3
US,WV,26,296,95,903,2020-04-20,6,2.0
US,NM,58,289,130,701,2020-04-18,9,
US,NH,42,231,94,724,2020-04-09,8,
US,PR,64,229,118,631,2020-04-09,9,3.0
US,UT,32,204,79,572,2020-04-14,5,0.8
US,ID,48,187,108,397,2020-04-15,6,0.7
US,AR,42,183,107,426,2020-04-16,4,2.0
US,ME,36,182,118,355,2020-04-15,4,2.0
US,NE,33,150,93,233,2020-04-20,5,
US,VT,40,131,73,287,2020-04-16,4,0.5
US,SD,8,90,37,233,2020-04-07,2,1.0
US,MT,12,75,40,163,2020-03-30,4,0.5
US,ND,13,59,37,105,2020-04-21,4,0.2
US,HI,10,52,38,88,2020-04-11,2,
US,MP,2,38,27,74,2020-04-28,1,
US,AK,9,37,28,62,2020-04-04,2,
US,WY,2,34,13,71,2020-04-16,1,
US,VI,3,30,15,64,2020-04-18,1,
US,GU,5,29,16,70,2020-04-11,1,
US,AS,0,,,,,,
