date,total_cases,total_deaths,total_tests,daily_positive_7day_ma,daily_deaths_7day_ma,daily_tests_7day_ma,positivity_rate_orig_7day_ma,positivity_rate_7day_ma,prevalence_ratio_mean,prevalence_ratio_lower,prevalence_ratio_upper,rt_mean,new_infected_mean,new_infected_lower,new_infected_upper,current_infected_mean,current_infected_lower,current_infected_upper,perc_current_infected_mean,perc_current_infected_lower,perc_current_infected_upper,total_infected_mean,total_infected_lower,total_infected_upper,perc_total_infected_mean,perc_total_infected_lower,perc_total_infected_upper
2020-02-12,0,0,0,,,,,,,,,,55.2857,36.8571,82.9286,55.2857,36.8571,82.9286,1.66586e-07,1.11057e-07,2.49878e-07,55.2857,36.8571,82.9286,1.66586e-07,1.11057e-07,2.49878e-07
2020-02-13,0,0,0,,,,,,,,,,133.634,89.0896,200.452,188.92,125.947,283.38,5.6925e-07,3.795e-07,8.53875e-07,188.92,125.947,283.38,5.6925e-07,3.795e-07,8.53875e-07
2020-02-14,0,0,0,,,,,,,,,,192.088,128.059,288.132,381.008,254.005,571.512,1.14804e-06,7.65363e-07,1.72207e-06,381.008,254.005,571.512,1.14804e-06,7.65363e-07,1.72207e-06
2020-02-15,0,0,0,,,,,,,,,,268.749,179.166,403.124,649.757,433.172,974.636,1.95783e-06,1.30522e-06,2.93675e-06,649.757,433.172,974.636,1.95783e-06,1.30522e-06,2.93675e-06
2020-02-16,0,0,0,,,,,,,,,,547.15,364.767,820.725,1196.91,797.938,1795.36,3.60649e-06,2.40433e-06,5.40974e-06,1196.91,797.938,1795.36,3.60649e-06,2.40433e-06,5.40974e-06
2020-02-17,0,0,0,,,,,,,,,,645.753,430.502,968.629,1842.66,1228.44,2763.99,5.55226e-06,3.70151e-06,8.32839e-06,1842.66,1228.44,2763.99,5.55226e-06,3.70151e-06,8.32839e-06
2020-02-18,0,0,0,,,,,,,,,,796.789,531.193,1195.18,2639.45,1759.63,3959.17,7.95313e-06,5.30208e-06,1.19297e-05,2639.45,1759.63,3959.17,7.95313e-06,5.30208e-06,1.19297e-05
2020-02-19,0,0,0,,,,,,,,,,996.243,664.162,1494.36,3635.69,2423.79,5453.54,1.0955e-05,7.30332e-06,1.64325e-05,3635.69,2423.79,5453.54,1.0955e-05,7.30332e-06,1.64325e-05
2020-02-20,0,0,0,,,,,,,,,,1248.95,832.633,1873.42,4884.64,3256.43,7326.96,1.47183e-05,9.81219e-06,2.20774e-05,4884.64,3256.43,7326.96,1.47183e-05,9.81219e-06,2.20774e-05
2020-02-21,0,0,0,,,,,,,,,,1562.44,1041.63,2343.66,6447.08,4298.05,9670.62,1.94262e-05,1.29508e-05,2.91393e-05,6447.08,4298.05,9670.62,1.94262e-05,1.29508e-05,2.91393e-05
2020-02-22,0,0,0,,,,,,,,,,1982.42,1321.61,2973.63,8429.5,5619.67,12644.2,2.53996e-05,1.6933e-05,3.80994e-05,8429.5,5619.67,12644.2,2.53996e-05,1.6933e-05,3.80994e-05
2020-02-23,0,0,0,,,,,,,,,,2509.4,1672.94,3764.1,10938.9,7292.6,16408.4,3.29608e-05,2.19739e-05,4.94413e-05,10938.9,7292.6,16408.4,3.29608e-05,2.19739e-05,4.94413e-05
2020-02-24,0,0,0,,,,,,,,,,3242.34,2161.56,4863.51,14181.2,9454.16,21271.9,4.27306e-05,2.84871e-05,6.40959e-05,14181.2,9454.16,21271.9,4.27306e-05,2.84871e-05,6.40959e-05
2020-02-25,0,0,0,,,,,,,,,,4163.57,2775.71,6245.35,18344.8,12229.9,27517.2,5.52761e-05,3.68508e-05,8.29142e-05,18344.8,12229.9,27517.2,5.52761e-05,3.68508e-05,8.29142e-05
2020-02-26,0,0,0,,,,,,,,,,5293.01,3528.67,7939.51,23637.8,15758.5,35456.7,7.12249e-05,4.74833e-05,0.000106837,23637.8,15758.5,35456.7,7.12249e-05,4.74833e-05,0.000106837
2020-02-27,0,0,0,,,,,,,,,,6665.85,4443.9,9998.77,30248.4,20165.6,45372.6,9.11437e-05,6.07625e-05,0.000136716,30303.7,20202.4,45455.5,9.13103e-05,6.08735e-05,0.000136965
2020-02-28,0,0,0,,,,,,,,,,8442.3,5628.2,12663.5,38557,25704.7,57835.6,0.000116179,7.74528e-05,0.000174269,38746,25830.6,58119,0.000116748,7.78323e-05,0.000175123
2020-02-29,18,5,42,2.57143,0.714286,6,0.428571,0.428571,104.514,69.6758,156.77,3.24803,10489,6992.69,15733.5,48854,32569.3,73281,0.000147206,9.81371e-05,0.000220809,49235,32823.3,73852.5,0.000148354,9.89025e-05,0.000222531
2020-03-01,50,8,131,7.14286,1.14286,18.7143,0.381679,0.381679,76.601,51.0674,114.902,3.20352,13121.9,8747.91,19682.8,61707.1,41138.1,92560.7,0.000185934,0.000123956,0.000278902,62356.9,41571.2,93535.3,0.000187892,0.000125261,0.000281838
2020-03-02,94,11,336,13.4286,1.57143,48,0.283133,0.279762,48.088,32.0586,72.1319,3.16546,16512.2,11008.1,24768.3,77672.2,51781.4,116508,0.00023404,0.000156027,0.00035106,78869.1,52579.4,118304,0.000237646,0.000158431,0.00035647
2020-03-03,145,14,606,20.7143,2,86.5714,0.241265,0.239274,38.4657,25.6438,57.6985,3.12776,20767.7,13845.1,31151.6,97794.1,65196.1,146691,0.000294671,0.000196447,0.000442006,99636.8,66424.5,149455,0.000300223,0.000200149,0.000450335
2020-03-04,279,16,1614,39.8571,2.28571,230.828,0.173615,0.172671,24.9954,16.6636,37.493,3.0967,25969.2,17312.8,38953.8,122967,81977.7,184450,0.00037052,0.000247013,0.00055578,125606,83737.3,188409,0.000378473,0.000252315,0.000567709
2020-03-05,367,20,2174,52.4286,2.85714,310.935,0.170302,0.168616,23.8219,15.8813,35.7329,3.05901,32474.9,21650,48712.4,154445,102963,231668,0.000465371,0.000310247,0.000698056,158081,105387,237121,0.000476326,0.00031755,0.000714488
2020-03-06,497,26,3011,71,3.71429,430.778,0.166332,0.164818,22.0062,14.6708,33.0093,3.00741,40683.1,27122.1,61024.6,193879,129253,290819,0.000584193,0.000389462,0.000876289,198764,132509,298146,0.000598911,0.000399274,0.000898366
