date,daily_positive_7day_ma,daily_tests_7day_ma,positivity_rate_orig_7day_ma,positivity_rate_7day_ma,prevalence_ratio_mean,prevalence_ratio_lower,prevalence_ratio_upper,rt_mean,new_infected_mean,new_infected_lower,new_infected_upper,current_infected_mean,current_infected_lower,current_infected_upper,perc_current_infected_mean,perc_current_infected_lower,perc_current_infected_upper,total_infected_mean,total_infected_lower,total_infected_upper,perc_total_infected_mean,perc_total_infected_lower,perc_total_infected_upper
2020-02-19,,,,,,,,,79.37876722538152,52.91917815025435,119.0681508380723,79.37876722538152,52.91917815025435,119.0681508380723,2.391822180095452e-07,1.594548120063635e-07,3.587733270143179e-07,79.37876722538152,52.91917815025435,119.0681508380723,2.391822180095452e-07,1.594548120063635e-07,3.587733270143179e-07
2020-02-20,,,,,,,,,223.1039853445431,148.73599022969535,334.65597801681463,302.4827525699246,201.6551683799497,453.72412885488694,9.114338531346386e-07,6.076225687564256e-07,1.3671507797019579e-06,302.4827525699246,201.6551683799497,453.72412885488694,9.114338531346386e-07,6.076225687564256e-07,1.3671507797019579e-06
2020-02-21,,,,,,,,,277.6681694546753,185.11211296978354,416.50225418201296,580.1509220245999,386.76728134973325,870.2263830368998,1.7480969931938825e-06,1.1653979954625881e-06,2.622145489790824e-06,580.1509220245999,386.76728134973325,870.2263830368998,1.7480969931938825e-06,1.1653979954625881e-06,2.6221454897908234e-06
2020-02-22,,,,,,,,,344.8070676560219,229.8713784373479,517.2106014840327,924.9579896806217,616.6386597870811,1387.4369845209326,2.7870614683308074e-06,1.8580409788872046e-06,4.18059220249621e-06,924.9579896806217,616.6386597870811,1387.4369845209326,2.787061468330807e-06,1.8580409788872046e-06,4.18059220249621e-06
2020-02-23,,,,,,,,,608.031793509892,405.3545290065947,912.047690264838,1532.989783190514,1021.9931887936758,2299.48467478577,4.6191684419638785e-06,3.079445627975919e-06,6.928752662945817e-06,1532.989783190514,1021.9931887936758,2299.48467478577,4.6191684419638785e-06,3.079445627975919e-06,6.928752662945816e-06
2020-02-24,,,,,,,,,798.2749542370369,532.1833028246913,1197.4124313555558,2331.2647374275507,1554.1764916183672,3496.8971061413263,7.024511593662907e-06,4.683007729108604e-06,1.053676739049436e-05,2331.2647374275507,1554.1764916183672,3496.8971061413263,7.024511593662907e-06,4.683007729108604e-06,1.053676739049436e-05
2020-02-25,,,,,,,,,1047.204813178949,698.1365421192995,1570.8072197684235,3378.469550606501,2252.3130337376665,5067.704325909749,1.0179924290048589e-05,6.786616193365725e-06,1.5269886435072882e-05,3378.469550606501,2252.3130337376665,5067.704325909749,1.0179924290048592e-05,6.786616193365725e-06,1.5269886435072882e-05
2020-02-26,,,,,,,,,1354.3807160319193,902.9204773546127,2031.5710740478792,4732.850266638419,3155.23351109228,7099.275399957628,1.4260912128648945e-05,9.507274752432628e-06,2.1391368192973417e-05,4732.850266638419,3155.23351109228,7099.275399957628,1.4260912128648945e-05,9.507274752432632e-06,2.1391368192973413e-05
2020-02-27,,,,,,,,,1763.3126713456531,1175.541780897102,2644.9690070184793,6496.162937984073,4330.775291989382,9744.24440697611,1.9574084032406267e-05,1.3049389354937509e-05,2.9361126048609395e-05,6496.162937984073,4330.775291989382,9744.24440697611,1.957408403240627e-05,1.3049389354937512e-05,2.93611260486094e-05
2020-02-28,,,,,,,,,2303.938779766244,1535.9591865108293,3455.9081696493663,8800.101717750314,5866.73447850021,13200.152576625474,2.6516257698798158e-05,1.7677505132532103e-05,3.9774386548197235e-05,8800.101717750314,5866.73447850021,13200.152576625474,2.651625769879815e-05,1.7677505132532103e-05,3.9774386548197235e-05
