date,daily_positive_7day_ma,daily_tests_7day_ma,positivity_rate_orig_7day_ma,positivity_rate_7day_ma,prevalence_ratio_mean,prevalence_ratio_lower,prevalence_ratio_upper,rt_mean,new_infected_mean,new_infected_lower,new_infected_upper,current_infected_mean,current_infected_lower,current_infected_upper,perc_current_infected_mean,perc_current_infected_lower,perc_current_infected_upper,total_infected_mean,total_infected_lower,total_infected_upper,perc_total_infected_mean,perc_total_infected_lower,perc_total_infected_upper
2020-02-15,,,,,,,,,93.73753624699481,62.49169083132987,140.6063043704922,93.73753624699481,62.49169083132987,140.6063043704922,2.8244772013966735e-07,1.8829848009311158e-07,4.2367158020950105e-07,93.73753624699481,62.49169083132987,140.6063043704922,2.8244772013966735e-07,1.8829848009311158e-07,4.2367158020950105e-07
2020-02-16,,,,,,,,,263.68052839094145,175.7870189272943,395.5207925864122,357.41806463793625,238.2787097586242,536.1270969569044,1.07696363202584e-06,7.179757546838933e-07,1.6154454480387604e-06,357.41806463793625,238.2787097586242,536.1270969569044,1.07696363202584e-06,7.179757546838934e-07,1.6154454480387604e-06
2020-02-17,,,,,,,,,326.15094927741313,217.43396618494205,489.2264239161197,683.5690139153494,455.71267594356624,1025.353520873024,2.0597139339119428e-06,1.3731426226079616e-06,3.089570900867914e-06,683.5690139153494,455.71267594356624,1025.353520873024,2.0597139339119428e-06,1.3731426226079618e-06,3.089570900867914e-06
2020-02-18,,,,,,,,,402.5171462994931,268.34476419966205,603.7757194492397,1086.0861602148425,724.0574401432284,1629.129240322264,3.2725690487492673e-06,2.181712699166178e-06,4.908853573123901e-06,1086.0861602148425,724.0574401432284,1629.129240322264,3.2725690487492673e-06,2.1817126991661784e-06,4.908853573123902e-06
2020-02-19,,,,,,,,,702.6359523443839,468.42396822958926,1053.9539285165756,1788.7221125592264,1192.4814083728177,2683.0831688388403,5.389735029140582e-06,3.593156686093721e-06,8.084602543710873e-06,1788.7221125592264,1192.4814083728177,2683.0831688388403,5.389735029140582e-06,3.593156686093722e-06,8.084602543710877e-06
2020-02-20,,,,,,,,,917.4134242267495,611.6089494844997,1376.1201363401242,2706.135536785976,1804.0903578573175,4059.203305178964,8.154063391853212e-06,5.4360422612354735e-06,1.2231095087779817e-05,2706.135536785976,1804.0903578573175,4059.203305178964,8.154063391853212e-06,5.436042261235475e-06,1.2231095087779819e-05
2020-02-21,,,,,,,,,1196.6210649735183,797.7473766490122,1794.9315974602769,3902.756601759493,2601.8377345063295,5854.134902639243,1.1759693592995892e-05,7.839795728663925e-06,1.7639540389493832e-05,3902.756601759493,2601.8377345063295,5854.134902639243,1.1759693592995887e-05,7.839795728663927e-06,1.763954038949384e-05
2020-02-22,,,,,,,,,1538.0300131833048,1025.353342122203,2307.0450197749574,5440.786614942799,3627.1910766285328,8161.179922414198,1.6394049136386162e-05,1.0929366090924106e-05,2.4591073704579243e-05,5440.786614942799,3627.1910766285328,8161.179922414198,1.6394049136386162e-05,1.0929366090924109e-05,2.4591073704579243e-05
2020-02-23,,,,,,,,,1989.7662349345349,1326.51082328969,2984.649352401803,7430.552849877334,4953.701899918222,11145.829274816004,2.2389565544960074e-05,1.4926377029973381e-05,3.358434831744011e-05,7430.552849877334,4953.701899918222,11145.829274816004,2.2389565544960074e-05,1.4926377029973381e-05,3.358434831744012e-05
2020-02-24,,,,,,,,,2583.465166512119,1722.3101110080793,3875.197749768179,10014.018016389453,6676.0120109263025,15021.027024584177,3.017400148766374e-05,2.0116000991775823e-05,4.526100223149561e-05,10014.018016389453,6676.0120109263025,15021.027024584177,3.017400148766374e-05,2.011600099177583e-05,4.526100223149561e-05
2020-02-25,,,,,,,,,3311.83930231284,2207.8928682085616,4967.758953469263,13325.857318702296,8883.904879134863,19988.785978053435,4.015315709446792e-05,2.6768771396311945e-05,6.022973564170189e-05,13325.857318702296,8883.904879134863,19988.785978053435,4.015315709446793e-05,2.676877139631195e-05,6.022973564170187e-05
2020-02-26,,,,,,,,,4193.673417877623,2795.7822785850826,6290.510126816436,17519.530736579916,11679.687157719947,26279.29610486988,5.278943433530308e-05,3.519295622353538e-05,7.918415150295464e-05,17519.530736579916,11679.687157719947,26279.29610486988,5.278943433530308e-05,3.5192956223535396e-05,7.918415150295464e-05
2020-02-27,,,,,,,,,5337.665588169002,3558.4437254460013,8006.498382253503,22857.196324748915,15238.130883165948,34285.794487123385,6.887276164053322e-05,4.591517442702214e-05,0.00010330914246079983,22857.196324748915,15238.130883165948,34285.794487123385,6.887276164053321e-05,4.591517442702215e-05,0.00010330914246079985
