country,region,subregion,daily_deaths,daily_deaths_lower,daily_deaths_upper
Brazil,,,1037,700,1359
Mexico,,,495,347,607
India,,,297,195,375
United Kingdom,,,180,118,235
Russia,,,163,97,228
Peru,,,144,90,192
Chile,,,93,73,118
Pakistan,,,80,51,115
Iran,,,71,31,123
Canada,,,62,28,96
South Africa,,,58,45,75
Colombia,,,52,41,65
Italy,,,51,13,61
Sweden,,,42,22,67
France,,,40,6,110
Bangladesh,,,37,25,51
Indonesia,,,36,22,49
Egypt,,,36,21,50
Ecuador,,,35,18,65
Saudi Arabia,,,30,24,38
Spain,,,27,3,68
Germany,,,26,10,47
Argentina,,,20,14,27
Turkey,,,19,7,37
Bolivia,,,18,13,23
Ukraine,,,15,10,21
Belgium,,,14,5,29
Netherlands,,,13,4,24
Poland,,,11,6,16
Nigeria,,,10,6,13
Romania,,,9,6,12
Honduras,,,8,6,10
Moldova,,,8,6,10
Portugal,,,8,5,11
Panama,,,7,4,11
Kuwait,,,7,4,9
Philippines,,,7,3,13
Algeria,,,6,2,12
Belarus,,,5,2,9
Dominican Republic,,,4,2,8
Hungary,,,3,1,5
Bulgaria,,,3,1,4
Ireland,,,3,0,8
Japan,,,3,0,6
United Arab Emirates,,,2,1,4
Switzerland,,,2,0,6
Denmark,,,1,0,3
Israel,,,1,0,3
Austria,,,1,0,2
Czechia,,,1,0,2
Finland,,,1,0,2
Serbia,,,1,0,2
South Korea,,,1,0,2
Lithuania,,,1,0,1
China,,,0,0,2
Australia,,,0,0,1
Croatia,,,0,0,1
Cuba,,,0,0,1
Cyprus,,,0,0,1
Estonia,,,0,0,1
Greece,,,0,0,1
Iceland,,,0,0,1
Latvia,,,0,0,1
Luxembourg,,,0,0,1
Malaysia,,,0,0,1
Malta,,,0,0,1
Morocco,,,0,0,1
Norway,,,0,0,1
Slovakia,,,0,0,1
Slovenia,,,0,0,1
