country,region,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio
Brazil,,9190,73325,22072,174325,2020-07-09,744,1.2
United Kingdom,,30689,50829,36387,85896,2020-04-29,4421,1.5
Italy,,29958,40396,34232,53159,2020-03-27,919,2.8
France,,25990,33301,27685,50833,2020-04-15,1440,4.9
Spain,,26070,32257,28493,40183,2020-04-02,961,3.9
Canada,,4541,14946,7176,23905,2020-04-16,251,0.9
Germany,,7392,14155,9006,26513,2020-04-15,510,1.8
Mexico,,2961,13048,6502,20820,2020-05-07,257,0.6
Belgium,,8415,11484,9519,17400,2020-04-10,496,3.9
Iran,,6486,9161,7397,12035,2020-04-04,158,2.1
Netherlands,,5306,8549,6215,13571,2020-04-07,234,1.8
Russia,,1625,8479,3914,19370,2020-05-22,112,1.3
Sweden,,3040,7981,5212,17377,2020-04-21,185,0.9
India,,1889,7692,3740,14358,2020-05-04,175,1.0
Turkey,,3641,5499,4392,9207,2020-04-19,127,2.1
Romania,,888,3026,1775,5186,2020-04-25,34,1.1
Ireland,,1403,2771,1698,5978,2020-04-24,220,1.7
Poland,,755,2508,1079,5617,2020-04-24,40,1.0
Switzerland,,1810,2374,2005,3370,2020-04-04,75,11.2
Portugal,,1105,2193,1551,3401,2020-04-03,37,1.8
Indonesia,,930,1973,1152,3714,2020-04-14,60,0.7
Philippines,,685,1645,851,2806,2020-04-12,50,0.6
Hungary,,383,951,489,2186,2020-04-24,23,1.3
Austria,,609,874,695,1214,2020-04-08,30,20.0
Denmark,,514,830,634,1233,2020-04-04,22,1.9
Finland,,255,821,339,1942,2020-04-21,43,2.7
Czechia,,270,427,363,533,2020-04-14,18,1.1
Norway,,217,336,262,533,2020-04-20,16,7.0
Bulgaria,,84,328,156,674,2020-04-29,6,
Croatia,,86,324,156,730,2020-04-19,8,3.0
Greece,,148,222,180,293,2020-04-03,10,4.0
Luxembourg,,100,147,119,190,2020-04-11,8,1.5
Slovenia,,99,144,115,196,2020-04-07,6,
Estonia,,56,103,81,122,2020-04-02,6,2.0
Lithuania,,49,84,65,101,2020-04-10,6,1.0
Latvia,,18,48,39,57,2020-04-21,4,1.0
Slovakia,,26,45,33,68,2020-04-15,4,1.0
Cyprus,,15,24,19,28,2020-03-30,2,
Malta,,5,11,10,13,2020-05-05,1,
