country,region,daily_deaths,daily_deaths_lower,daily_deaths_upper
Brazil,,493,364,656
United Kingdom,,470,291,691
Italy,,266,158,394
France,,256,125,503
Spain,,207,127,335
Canada,,166,107,219
Mexico,,160,132,221
Germany,,121,68,183
Belgium,,110,71,187
India,,102,67,132
Russia,,86,59,117
Sweden,,79,53,115
Netherlands,,70,38,109
Turkey,,66,41,105
Iran,,66,37,104
Ireland,,30,17,49
Romania,,24,18,30
Portugal,,19,12,27
Poland,,19,11,27
Indonesia,,19,10,29
Switzerland,,17,9,29
Philippines,,16,7,27
Hungary,,9,5,14
Austria,,7,3,11
Denmark,,7,3,10
Finland,,7,3,10
Czechia,,4,2,6
Norway,,3,1,5
Bulgaria,,2,1,4
Croatia,,2,1,4
Greece,,2,0,3
Estonia,,1,0,2
Lithuania,,1,0,2
Luxembourg,,1,0,2
Slovenia,,1,0,2
Latvia,,1,0,1
Slovakia,,1,0,1
Cyprus,,0,0,1
Malta,,0,0,1
