country,region,subregion,current_deaths,total_deaths,total_deaths_lower,total_deaths_upper,peak_date,peak_deaths,peak_over_current_deaths_ratio,projection_end_date
US,,,106177,187171,127420,280129,2020-04-16,4591,2.1,2020-09-01
US,NY,,29968,33033,30652,38033,2020-04-16,3215,14.2,2020-09-01
US,NJ,,11771,14285,12605,16558,2020-04-30,457,6.1,2020-09-01
US,CA,,4305,13003,5979,24074,2020-04-22,139,1.5,2020-09-01
US,IL,,5525,10520,7344,14223,2020-05-13,191,1.1,2020-09-01
US,MA,,7085,9508,7935,12498,2020-04-19,302,3.5,2020-09-01
US,PA,,5667,9418,6686,13902,2020-05-05,341,1.3,2020-09-01
US,FL,,2530,7139,3456,12273,2020-04-23,94,0.9,2020-09-01
US,MI,,5553,6991,6002,9477,2020-04-22,238,3.7,2020-09-01
US,OH,,2259,6756,3581,10704,2020-04-29,138,1.2,2020-09-01
US,MD,,2597,6117,3457,9798,2020-04-20,121,1.2,2020-09-01
US,GA,,2102,5888,3078,9889,2020-04-07,100,6.0,2020-09-01
US,TX,,1716,5297,2599,10288,2020-05-14,63,1.4,2020-09-01
US,CT,,3972,5266,4301,6866,2020-04-20,204,49.5,2020-09-01
US,IN,,2197,4869,2852,8088,2020-05-06,166,0.8,2020-09-01
US,LA,,2835,4235,3221,6890,2020-04-14,129,1.9,2020-09-01
US,VA,,1407,4158,1915,7586,2020-05-28,57,2.7,2020-09-01
US,MN,,1082,4009,1849,6362,2020-08-10,40,1.8,2020-09-01
US,CO,,1474,3831,2024,6515,2020-04-24,122,1.9,2020-09-01
US,NC,,961,3455,1693,5968,2020-05-22,47,2.8,2020-09-01
US,AZ,,943,3017,1320,5746,2020-05-08,67,1.1,2020-09-01
US,MO,,786,2616,1310,4389,2020-04-27,47,2.5,2020-09-01
US,MS,,767,2548,1128,4167,2020-05-06,32,0.8,2020-09-01
US,AL,,653,2342,1191,3859,2020-05-12,32,3.1,2020-09-01
US,SC,,501,1793,820,3092,2020-04-29,39,17.0,2020-09-01
US,RI,,732,1723,1155,2327,2020-04-17,31,1.2,2020-09-01
US,WA,,1129,1718,1233,2995,2020-04-06,45,3.7,2020-09-01
US,WI,,607,1692,902,3036,2020-05-27,22,1.2,2020-09-01
US,IA,,561,1624,1072,2362,2020-05-20,26,2.3,2020-09-01
US,KY,,442,1124,605,2149,2020-05-19,20,3.0,2020-09-01
US,NM,,367,1105,578,1721,2020-05-24,15,2.2,2020-09-01
US,TN,,381,1029,535,1946,2020-06-02,17,0.5,2020-09-01
US,DE,,373,896,538,1381,2020-05-16,15,1.4,2020-09-01
US,NV,,417,891,526,1596,2020-04-07,26,,2020-09-01
US,DC,,470,764,537,1207,2020-05-08,19,5.5,2020-09-01
US,NH,,256,741,341,1437,2020-05-07,22,0.5,2020-09-01
US,OK,,339,579,407,1068,2020-04-21,21,1.4,2020-09-01
US,NE,,170,492,303,785,2020-05-20,15,,2020-09-01
US,AR,,136,458,225,844,2020-05-02,8,1.3,2020-09-01
US,UT,,113,450,198,834,2020-05-19,8,,2020-09-01
US,KS,,222,385,251,877,2020-04-11,13,1.0,2020-09-01
US,OR,,157,246,177,423,2020-04-09,11,1.0,2020-09-01
US,PR,,138,200,160,290,2020-04-09,9,1.5,2020-09-01
US,SD,,62,197,102,420,2020-05-29,5,,2020-09-01
US,ND,,65,185,116,337,2020-05-06,6,0.5,2020-09-01
US,ME,,94,156,117,270,2020-06-02,5,0.4,2020-09-01
US,WV,,78,133,95,215,2020-04-20,6,1.0,2020-09-01
US,ID,,83,106,93,135,2020-04-15,6,2.0,2020-09-01
US,VT,,55,65,60,73,2020-04-16,4,,2020-09-01
US,WY,,17,45,32,75,2020-04-22,4,,2020-09-01
US,HI,,17,21,19,22,2020-04-27,2,,2020-09-01
US,MT,,17,21,18,24,2020-03-30,4,,2020-09-01
US,AK,,10,12,11,13,2020-04-04,2,,2020-09-01
US,VI,,6,8,7,9,2020-05-12,1,,2020-09-01
US,GU,,5,7,6,8,2020-04-11,1,,2020-09-01
US,MP,,2,4,3,5,2020-04-07,1,,2020-09-01
US,AS,,0,,,,,,,2020-09-01
